@relation 'Dataset dblp publish-venue_title_co-authors ychen'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71}
@data
'th design autom confer advanc techniqu rtl debug yu chin hsu bassam tabbara furshing tsai',10
'ieee th intern logic synthesi high probabl high densiti state travers chien pang lu wen chien liu',10
'dac design autom confer advanc techniqu rtl debug bassam tabbara furshing tsai yu chin hsu',10
'asp dac design autom confer space time effici bdd construct via work set control bwolen yang david r o hallaron randal e bryant',10
'iccad intern confer comput aid design acv arithmet circuit verifi randal e bryant',10
'design autom confer verif arithmet circuit binari moment diagram randal e bryant',10
'dac design autom confer verif arithmet circuit binari moment diagram randal e bryant',10
'proceed th intern confer comput aid verif verif float point adder randal e bryant',10
'intern journal softwar tool technolog transfer verif arithmet circuit us binari moment diagram randal e bryant',10
'proceed formal method comput aid design verif circuit float point unit us word level model check p h ho e clark t kam y hoskote j o leary m khaira',10
'tech report cmu cs school comput scienc carnegi mellon univers verif arithmet function binari moment diagram randal e bryant',10
'proceed asian pacif design autom confer aspdac algorithm compact error trace fang sung chen',10
'iccad intern confer comput aid design phdd effici graph represent float point circuit verif randal e bryant',10
'proceed asian pacif design autom confer aspdac equival check integ multipli jiunn chern chen',10
'ieee tran comput systol algorithm k nearest neighbor problem long wen chang youn long lin',10
'ieee transact comput aid design integr circuit system effici graph represent arithmet circuit verif randal e bryant',10
'tech report cmu cs school comput scienc carnegi mellon univers breadth first depth first bdd construct hybrid approach bwolen yang randal e bryant',10
'proceed intern symposium vlsi larg scale integr technolog system applic new global router asic design base simul evolut young long lin',10
'proceed intern confer comput aid design acv arithmet circuit verifi randal e bryant',10
'tech report cmu cs school comput scienc carnegi mellon univers pbhd effici graph represent float point circuit verif randal e bryant',10
'proceed intern confer comput aid design phdd effici graph represent float point circuit verifica tion randal e bryant',10
'ieee tran comput systol algorithm k nearest neighbor problem young long lin long wen chang',10
'fmcad formal method comput aid design verif circuit float point unit us word level model check edmund m clarke john w o leary manpreet khaira pei hsin ho timothy kam xudong zhao yatin vasant hoskote',10
'appli soft comput hybrid optim method us real code multi parent ea simplex simul anneal applic resolut overlap signal noel mendoza zensho nakao tatsuhiro adachi',11
'proc ieee intern confer industri electroni control instrument nagoya hybrid optim method us real code multi parent ea simplex simul anneal applic resolut overlap signal noel mendoza y w chen z nakao',11
'proc th int conf neural inform process shanghai systemat sc base methodolog super resolut video sequenc noel mendoza jeng shyang pan',11
'methodolog concept design applic soft comput ed t yamakawa g matsumoto world scientif studi adapt complex system simpl condit t miyagi z nakao y w chen',11
'proc th int conf neural inform process shanghai ct reconstruct base princip compon analysi shinya nozaki zensho nakao',11
'radiat c japanes ghigh resolut penumbr imag n miyanaga y w chen et al',11
'proc int tech conf circuit system comput commun tokushima fourier seri base method ct imag reconstruct shinya nozaki tetsuya kohatsu zensho nakao',11
'proc ieee int conf system man cybernet tokyo w comput tomographi base self organ neural network hiroaki monma zensho nakao',11
'review scientif instrument press sci scalabl coher interfac heurist penumbr imag techniqu measur laser produc plasma densiti profil shinya nozaki zensho nakao shinsuke fujioka hiroyuki shiraga',11
'proc int tech conf circuit system comput commun ed z nakao y w chen evolutionari ct imag reconstruct variant chromosom size h nagamoto f ali z nakao y w chen',11
'methodolog concept design applic soft comput ed t yamakawa g matsumoto world scientif adapt simul anneal optim phase distribut kinoform s nozaki y w chen z nakao',11
'proc ieee int conf system man cybernet tokyo new optim algorithm kinoform base simul anneal shinya nozaki zensho nakao',11
'imag process algorithm system spie intern societi optic engin press reconstruct rai penumbr imag base heurist method shinya nozaki zensho nakao hiroyuki shiraga',11
'seal simul evolut learn evolutionari ct imag reconstruct imag partit midori takashibu zensho nakao',11
'proc int tech conf circuit system comput commun ed z nakao y w chen grai imag reconstruct new back propag neural network s tobaru f ali z nakao y w chen',11
'proc spie intern societi optic engin coupl lattic neural network blind deconvolut n wang y w chen z nakao',11
'proc ieee int conf system man cybernet tokyo w evolutionari self organ neural network blind deconvolut ning wang zensho nakao shinichi tamura',11
'jpn j appl phy sci scalabl coher interfac analysi laser beam propag effect atom laser isotop separ y w chen y izawa s nakai c yamanaka',11
'j opt soc b sci scalabl coher interfac numer studi propag laser puls multilevel photoion system y w chen h niki s adachi y izawa s nakai c yamanaka',11
'ieic tran fundament sci scalabl coher interfac nois smooth filter base adapt window appli penumbr imag y w chen h arakawa z nakao k yamashita r kodama',11
'ieee tran sci scalabl coher interfac penumbr imag laser implod target blind reconstruct y w chen r kodama z nakao',11
'proc int conf nonlinear scienc border millenium saint p parallel distribut blind deconvolut base self organ neural network two step learn method ning wang',11
'neural network signal process ed s usui et ieee press parallel genet algorithm base island model imag restor y w chen z nakao x fang',11
'proc th int conf pattern recognit w parallel genet algorithm imag restor y w chen z nakao x fang s tamura',11
'proc ieee rd int conf evolutionari comput nagoya parallel genet algorithm imag restor perform analysi y w chen z nakao x fang',11
'rev sci instrum sci scalabl coher interfac develop rai emiss comput tomographi icf research m nakai s shinohara m katayama y w chen s kobayashi n miyanaga k tanaka k nishihara m yamanaka t yamanaka s nakai',11
'proc ieee intern confer industri electroni control instrument nagoya ei pyramid model blind deconvolut base simul anneal y w chen t enokura n mendoza z nakao',11
'rev sci instrum sci scalabl coher interfac rai particl diagnost high densiti plasma laser implos m nakai m yamanaka h azechi y w chen t jitsuno m katayama k mima n miyanaga h nakaishi m nakatsuka a nishiguchi p a norreys y setsuhara m takagi t norimatsu t yamanaka s nakai',11
'proc th int conf pattern recognit reconstruct neutron penumbr imag constraint genet algorithm y w chen z nakao k arakaki i nakamura s tamura',11
'proc joint technic confer circuit system comput commun kumamoto ada base support packag fuzzi expert system construct gui z nakao y w chen t tengan m kinjo',11
'lectur note artifici intellig ed yao j h kim t furuhashi springer evolutionari ct imag reconstruct imag partit z nakao m takashibu y w chen',11
'proc int fuzzi system intellig control conf hawai evolutionari reconstruct grai imag z nakao y w chen m takashibu y kina',11
'j jpn soc fuzzi theo sy evolutionari reconstruct plane binari imag project z nakao y w chen f ali',11
'fuzzi logic applic complex system edit w chiang j lee world scientif evolutionari reconstruct plane color imag project z nakao y w chen m takashibu y kina',11
'appl opt parallel distribut blind deconvolut base self organ neural network n wang y w chen z nakao s tamura',11
'proc intern confer neural inform process beij evolutionari reconstruct techniqu plane uniform imag z nakao y w chen f ali',11
'proc int tech conf circuit system comput commun ed z nakao y w chen pattern recognit base artifici immun neural network n wang l liu y w chen',11
'proc th iast intern confer appli informat innsbruck neuro genet reconstruct ternari grai imag project z nakao y w chen t tengan',11
'intern journal opt electron synthesi binari comput gener hologram base code frequenc domain optim algorithm n wang y w chen z nakao s tamura h aritome',11
'methodolog concept design applic intellig system edit t yamakawa g matsumoto world scientif reconstruct grai imag neural network z nakao y w chen m noborikawa s tobaru t tengan',11
'proc second int conf konwledg base intellig electron system adelaid editor l c jain r k jian optim comput gener hologram artifici neural network s yamauchi y w chen z nakao',11
'icpr intern confer pattern recognit blind separ base evolutionari neural network xiang yan zeng zensho nakao',11
'proc th int conf neural inform process shanghai h textur segment base pattern map obtain independ compon analysi xiang yan zeng zensho nakao hanqing lu',11
'proc int tech conf circuit system comput commun tokushima h textur segment base pattern map obtain princip compon analysi xiang yan zeng zensho nakao hanqing lu',11
'ieic tran inform system press sci scalabl coher interfac new textur featur base pca pattern map applic imag retriev xiang yan zeng zensho nakao hanqing lu',11
'ieic tran fundament sci scalabl coher interfac blind deconvolut base genet algorithm y w chen z nakao k arakaki s tamura',11
'proc int tech conf circuit system comput commun souel korea blind deconvolut base genet algorithm y w chen z nakao k arakaki s tamura',11
'proc spie intern societi optic engin ei blind deconvolut genet algorithm y w chen z nakao m iguchi s tamura',11
'rev sci instrum sci scalabl coher interfac blind dconvolut rai penumbr imag y w chen k otsuki z nakao r kodama',11
'proc int tech conf circuit system comput commun ed z nakao y w chen blind dconvolut spatial encod penumbr imag y w chen k otsuki z nakao r kodama',11
'proc ieee instrument measur confer budapest blind nonlinear channel identif base constrain genet algorithm shusuke narieda katsumi yamashita',11
'jpn j appl phy sci scalabl coher interfac observ burn pusher region laser driven larg high aspect ratio target particl imag y w chen n miyanaga m yamanaka h azechi k nishihara t yamanaka s nakai c yamanaka',11
'knowledg base intellig inform engin system alli technolog ed n baba l c jain r j howlett io press channel nois reduct m r vq index assign t c yang y w chen b y liao',11
'neural network signal process ed s usui et ieee press reconstruct neutron penumbr imag genet algorithm laplacian constraint y w chen z nakao k arakaki s tamura',11
'ieee tran sci scalabl coher interfac distort free reconstruct neutron penumbr imag genet algorithm y w chen z nakao k arakaki s tamura',11
'invit speech proc rd conf associ scienc technolog chines academ press review imag techniqu burn region observ laser fusion research y w chen',11
'ieic tran fundament sci scalabl coher interfac fast kinoform optim algorithm base simul anneal y w chen s yamauchi n wang z nakao',11
'proc th separ phenomena liquid gass beijin research activ atom laser isotop separ ilt il osaka univers y w chen k nomaru k kou y izawa s nakai c yamanaka',11
'fuzzi set system sci scalabl coher interfac restor grai imag base genet algorithm laplacian constraint z nakao k arakaki x fang s tamura',11
'proc ieee instrument measur technolog confer st paul simultan measur time resolv d temperatur distribut evapor surfac heat electron beam sweep mode y w chen',11
'ieee tran instrument measur sci scalabl coher interfac simultan measur time resolv d temperatur distribut evapor surfac heat swept electron beam y w chen',11
'proc ieee instrument measur confer budapest estim wind speed lower atmospher wind profil base genet algorithm noel mendoza shinyu uehara zensho nakao tatsuhiro adachi yoshihisa masuda',11
'j appl phy three dimension imag laser implod target y w chen n miyanaga m yamanaka m nakai k a tanaka k nishihara t yamanaka s nakai',11
'proc joint technic confer circuit system comput commun kumamoto art estim color imag project z nakao y w chen y kina',11
'ieee tran sci scalabl coher interfac three dimension imag laser implod target us rai comput tomographi techniqu y w chen n miyanaga m yamanaka m nakai t yamanaka s nakai',11
'intern confer evolutionari comput evolutionari reconstruct grai imag makoto nakasone midori takashibu yasuyuki kina zensho nakao',11
'opt commun sci scalabl coher interfac three dimension reconstruct laser irradi target us ura code apertur camera y w chen m yamanaka n miyanaga t yamanaka s nakai c yamanaka s tamura',11
'proc int tech conf circuit system comput commun ed z nakao y w chen parallel evolutionari reconstruct grai imag exponenti grai level growth m nakasone f ali z nakao y w chen',11
'proc ieee int conf system man cybernet nashvil blind nonlinear channel identif base higher order statist us hybrid genet algorithm s narieda y w chen k yamashita',11
'proc th inter symposium advanc nuclear energi research mito laser isotop separ gadolinium h niki n e s aly k kou k nomaru y w chen y izawa s nakai c yamanaka',11
'proc int tech conf circuit system comput commun ed z nakao y w chen grai imag reconstruct parallel simul anneal m noborikawa f ali z nakao y w chen',11
'journal nuclear scienc technolog sci scalabl coher interfac growth spatial nonuniform laser beam propag near reson atom vapor k nomaru y izawa y w chen',11
'laser interact relat plasma phenomera edit s nakai g h mieli aip press spatial tempor behavi laser beam propag atom vapor k nomaru y w chen y izawa s nakai c yamanaka',11
'j nucl sci technol sci scalabl coher interfac near reson effect propag frequenc swept laser puls atom vapor laser isotop separ k noumaru y w chen y izawa s nakai c yamanaka',11
'proc th inter symposium advanc nuclear energi research mito propag laser puls near reson medium k noumaru y w chen y izawa s nakai c yamanaka',11
'proc int tech conf circuit system comput commun ed z nakao y w chen compar evalu three new soft comput approach imag reconstruct project f ali m nakasone h nagamoto s tobaru m noborikawa z nakao y w chen',11
'proc rd int l conf knowledg base intelligentinform engin system adelaid ct imag reconstruct stochast relax f f ali s yokegawa z nakao y w chen',11
'intern confer evolutionari comput ga base reconstruct plane binari imag fath el alem f ali zensho nakao',11
'ieic tran fundament sci scalabl coher interfac adapt backpropag limit angl ct imag reconstruct f f ali z nakao y w chen',11
'journal robot mechatron evolutionari algorithm ct imag reconstruct f f ali k matsuo z nakao y w chen',11
'fuzzi set system sci scalabl coher interfac two new neural network approach two dimension ct imag reconstruct f ali z nakao y w chen',11
'proc rd int l conf knowledg base intelligentinform engin system adelaid fast imag restor algorithm base simul anneal y w chen t enokura z nakao',11
'rew laser eng sci scalabl coher interfac select photoion scheme atom gadolinium laser isotop separ n s aly k noumaru y w chen h niki y izawa s nakai',11
'opsearech geograph inform system construct us high resolut satellit imagesh yen wei chen xiang yan zeng zensho nakao',11
'intern confer evolutionari comput evolutionari reconstruct neutron penumbr imag kouichi arakaki shinichi tamura zensho nakano',11
'proc joint technic confer circuit system comput commun kumamoto genet algorithm code apertur imag y w chen z nakao m iguchi s tamura',11
'proc int tech conf circuit system comput commun souel korea nois smooth filter base adapt window penumbr imag h arakawa y w chen z nakao k yamashita i nakamura s tamura',11
'optic review b genet algorithm appli neutron penumbr imag y w chen z nakao k arakaki',11
'proc ieee intern intellig signal process budapest hedg detect learn princip compon imag xiang yan zeng zensho nakao hanqing lu',11
'ieic tran electron c sci scalabl coher interfac high resolut penumbr imag mev neutron y w chen n miyanaga m yamanaka t yamanaka s nakai t iguchi m nakazawa t iida s tamura',11
'proc ieee intern intellig signal process budapest heurist approach imag superresolut noel mendoza',11
'ieee tran instrument measur press sci scalabl coher interfac h estim wind speed lower atmospher wind profil base genet algorithm noel mendoza zensho nakao tatsuhiro adachi',11
'ieic tran fundament sci scalabl coher interfac attenu correct rai emiss comput tomographi laser produc plasma y w chen z nakao s tamura',11
'proc second int conf konwledg base intellig electron system adelaid editor l c jain r k jian hybrid ga sa approach blind deconvolut y w chen t enokura z nakao',11
'proc ieee int conf system man cybernet tokyo w fast algorithm imag restor base hybrid ga sa tatsuro enokura zensho nakao',11
'proc fifth int conf neural network inform process kitakyushu hybrid neural network train approach backpropag genet algorithm classif remot sens imag y w chen x y zang z nakao',11
'intern confer evolutionari comput parallel genet algorithm imag restor perform analysi xue fang zensho nakao',11
'proc spie intern societi optic engin ei near reson effect laser puls propag atom laser isotop separ y izawa y w chen k noumaru n s aly k kou h niki s nakai c yamanaka',11
'proc second int conf konwledg base intellig electron system adelaid editor l c jain r k jian applic automaton neural network artifici agent y kawano z nakao y w chen',11
'methodolog concept design applic soft comput ed t yamakawa g matsumoto world scientif automaton neural network artifici agent simul y kawano z nakao y w chen',11
'proc int tech conf circuit system comput commun souel korea quantit evalu ura code apertur imag k kishimoto y w chen z nakao i nakamura s tamura',11
'proc int tech conf circuit system comput commun ed z nakao y w chen tomograph resolut ura code apertur imag enhans k kishimoto y w chen z nakao',11
'proc int tech conf circuit system comput commun pusan korea improv tomograph imag code apertur system base simul anneal n kitabatake z nakao',11
'knowledg base intellig inform engin system alli technolog ed n baba l c jain r j howlett io press ct imag reconstruct base heurist method limit number project tetsuya kohatsu shinya nozaki',11
'proc ieee int conf system man cybernet san diego hybrid approach blind deconvolut us genet algorithm simul anneal y w chen t enokura z nakao',11
'proc asian confer comput vision evolutionari reconstruct code imag y w chen z nakao m iguchi',11
'proc ieee rd int conf evolutionari comput nagoya evolutionari reconstruct neutron penumbr imag y w chen z nakao k arakaki s tamura',11
'ieic tran electron c quantit evalu neutron penumbr imag toroid segment apertur y w chen z nakao i nakamura',11
