@relation 'Dataset dblp title jsmith'
@attribute Text string
@attribute class-att {155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 182, 183, 184}
@data
'mafra java memet algorithm framework',155
'emerg profit search strategi simpl inherit mechan',155
'protein structur predict evolutionari algorithm',155
'recent advanc memet algorithm',155
'co evolut memet algorithm initi result',155
'adapt parameteris evolutionari ststem self adapt recombin mutat steadi state genet algorithm',155
'genet featur select cluster classif',155
'genet algorithm',155
'co evolut memet algorithm protein structur predict',155
'microprocessor design verif two phase evolut variabl length test',155
'model ga self adapt mutat rate',155
'new method tunabl random landscap',155
'paramet perturb mechan binari code ga self adapt mutat',155
'oper paramet adapt genet algorithm',155
'replac strategi steadi state genet algorithm dynam environ',155
'adapt imag segment visual interact feedback learn',155
'hybrid genet algorithm solv lot size schedul problem',155
'modifi neocognitron network medic signal classif',155
'altern approach evalu neocognitron',155
'strategi paramet variat self adapt mutat rate',155
'introduct evolutionari comput',155
'appropri adapt level learn gene linkag',155
'align protein structur memet evolutionari algorithm',155
'co evolv memet algorithm initi investig',155
'self adapt mutat rate steadi state genet algorithm',155
'memet algorithm self adapt local search tsp as case studi',155
'adapt poli parent recombin strategi',155
'examin tuneabl random search landscap',155
'recombin strategi adapt via evolut gene linkag',155
'replac strategi steadi state genet algorithm static environ',155
'self adapt mutat rate steadi state genet algorithm',155
'strategi paramet varieti self adapt mutat rate',155
'replac strategi steadi state genet algorithm static environ',155
'adapt parameteris evolutionari self adapt recombin mutat genet algorithm',155
'evolv softwar test ga s learn self express',155
'adapt poli parent recombin strategi',155
'recombin strategi adapt via evolut gene linkag',155
'distribut queri process grid',156
'valid cost model parallel oql queri process',156
'parallel algebra object databas',156
'experi object navig parallel object databas',156
'speed up navig request parallel object databas',156
'experiment perform evalu join algorithm parallel object databas',156
'synchronis fault toler comput intens program network workstat',156
'polar architectur parallel odmg compliant object databas',156
'fault toler execut comput intens program network workstat',156
'concurr oper comput',157
'pilot new multipl comput',157
'techniqu file recoveri',157
'experi britton lee base machin csironet',157
'implement base manag',157
'base organis arrai processor',157
'altern architectur design distribut base',157
'simpl approach nearest neighbour problem',157
'structur queri algorithm databas areal entiti',157
'simul real time plan schedul control',158
'simul as decis make tool real time control flexibl manufactur',158
'distribut real time simul intrud detect analysi',158
'discret event simul design evalu physic protect',158
'design solid state physic model autom be us as test bed control applic',158
'simul as plan schedul tool flexibl manufactur',158
'advanc tutori simul schedul control',158
'discret event simul shop floor control',158
'm g c k block probabl model perform',159
'quadrat assign problem m g c c state depend network flow',159
'quadrat assign problem m g c c state depend network flow',159
'buffer alloc class nonlinear stochast knapsack problem',159
'evacu network',159
'quadrat set pack problem steiner tree their integr',159
'o nxn heurist steiner minim tree d',159
'steiner ratio d',159
'steiner minim tree d theori algorithm applic',159
'buffer alloc problem gener finit buffer queueu network',159
'euclidean steiner minim tree minimum energi configur embed problem weight graph e',159
'steiner minim tree on polygon obstacl',159
'topolog network design state depend queue network',159
'path distanc heurist steiner problem undirect network',159
'model circul build state depend queue model',159
'advanc steiner tree new monograph steiner tree',159
'model vehicular traffic flow m g c c state depend queue model',159
'multi object rout within larg scale facil open finit queue network',159
'design cellular network divers capac constraint',159
'multi period network design problem cellular telecommun',159
'topolog network design pedestrian network',159
'applic expert technolog case law',160
'us lexicon inform retriev legal databas',160
'beyond boolean search flexicon legal tex intellig',160
'flexicon evalu statist rank model adapt intellig legal text manag',160
'artifici intellig legal discours flexlaw legal text manag',160
'toward comprehens legal inform retriev',160
'theoret aspect protein conform',161
'effici calcul two dimension adiabat free energi map applic isomer c c c n bond retin bacteriorhodopsin',161
'can calcul ligand bind free energi be improv continuum solvent electrostat ideal ga entropi correct journal comput chemistri',161
'model simul light activ membran protein dynam transit bacteriorhodopsin',161
'combin neutron scatter molecular dynam determin intern motion bio molecul',161
'comput simul bio molecular principl practic',161
'conform transit protein membran',161
'direct measur hydrat relat dynam chang lysozym inelast neutron scatter spectroscopi',161
'harmon anharmon dynam protein molecular crystal',161
'empir forc field studi geometri conform transit organ molecul',161
'quantum chemic free energi simul analysi retin conform energet',161
'motion nativ denatur protein',161
'inelast neutron scatter analysi low frequenc motion protein normal mode studi bovin pancreat trypsin inhibitor',161
'inelast neutron scatter analysi low frequenc motion protein harmon damp harmon model bpti',161
'configur access fold denatur protein',161
'intern dynam globular protein comparison theoret model neutron scatter measur',161
'protein hydrat water structur thermodynam',161
'supramolecular interact atom dynam protein peptid crystal',161
'temperatur depend myoglobin dynam neutron spectra calcul from molecular dynam simul myoglobin',161
'dynam biomolecul simul versu x rai neutron scatter experi',161
'x rai neutron scatter as probe dynam biolog molecul',161
'protein fold dynam new insight from comput simul scatter experi',161
'motion biomolecul compar simul experi',161
'inelast quasielast neutron scatter complementar biomolecular simul',161
'interact dynam protein molecular crystal probe quantum chemistri comput simul scatter experi',161
'princip compon protein dynam transit',161
'protein dynam comparison simul inelast neutron scatter experi',161
'protein dynam studi inelast neutron scatter',161
'protein interact dynam probe quantum chemistri comput simul neutron experi',161
'oxid tetra hydro beta carbolin cytochrom p determin rationalis product distribut',161
'pathwai larg scale conform chang annexin v',161
's protein annexin interact model anx p heterotetram complex',161
'configur distribut denatur phosphoglycer kinas',161
'dynam n nonadecan chain urea inclus compound as seen incoher quasielast neutron scatter comput simul',161
'molecular dynam analysi charg fluctuat associ far infrar absorpt water',161
'molecular dynam analysi alkan dynam urea inclus compound i comparison quasielast neutron scatter experi',161
'molecular dynam analysi alkan dynam urea inclus compound ii rotat distribut elast incoher structur factor',161
'simul collect dynam n nonadecan urea inclus compound',161
'model photosystem ii reaction centr core includ structur primari donor p',161
'structur model deriv molecular mechan core photosystem ii reaction centr includ redox compon',161
'structur chang q b pocket photosynthet reaction center depend ph theoret analysi proton uptak upon q b reduct',161
'structur ma toxin antibodi antigen complex combin model function map result',161
'structur model complex between snake toxin antibodi that mimick acetylcholin receptor',161
'how random is highli denatur protein biophys chemistri',161
'potenti function develop conform search strategi simul biomolecular recognit process',161
'structur model anti snake toxin antibodi ma',161
'comput simul intern flexibl seri cyclic peptid analog',161
'potenti energi function drug design lexitropsin dna minor groov binder',161
'influenc helix morpholog cooper polyamid backbon conform flexibl peptid nucleic acid complex',161
'solvent cage intern motion myoglobin at low temperatur',161
'time resolv comput protein biochemistri solvent effect interact conform transit equilibrium fluctuat',161
'translat hydrat water dynam drive protein glass transit',161
'fluoresc quench dye tryptophan interact at atom detail from combin experi comput simul',161
'molecular mechan forc field parameter fluoresc probe rhodamin g autom frequenc match',161
'structur protein denatur guanidinium chlorid journal de physiqu iv c',161
'conform distribut hepta alanin analysi new mont carlo chain growth method',161
'structur model pro ocytocin neurophysin precursor',161
'engin protein epitop singl delet gener full bind capac previous unrecogn antibodi',161
'deriv molecular mechan forc field cholesterol',161
'effici calcul two dimension adiabat free energi map applic isomer c c c n bond retin bacteriorhodopsin',161
'structur basi antibodi cross reactiv solut conform immunogen peptid fragment deriv from snake toxin b epitop',161
'low frequenc dynam bpti studi inelast neutron scatter',161
'collect vibrat crystallin alanin dipeptid at veri low temperatur',161
'low frequenc dynam protein studi neutron time flight spectroscopi',161
'inelast neutron scatter analysi picosecond intern protein dynam comparison harmon theori experi',161
'enzym activ below dynam transit at k',161
'enzym dynam activ timescal depend dynam transit glutam dehydrogenas solut',161
'dynam transit enzym mai have simpl explan',161
'role dynam enzym activ',161
'collect dynam photosynthet protein probe neutron spin echo spectroscopi molecular dynam simul',161
'radial soften diffus motion globular protein',161
'dynam pure sodium dope polyacetylen',161
'dynam sodium dope polyacetylen',161
'from sequenc structur function model simul light activ membran protein',161
'polar densiti state crystallin polyacetylen molecular dynam analysi comparison neutron scatter result',161
'polar densiti state pristin sodium dope polyacetylen',161
'enzym dynam activ xylanas activ absenc fast anharmon motion',161
'lattic vibrat crystallin l alanin',161
'pathwai conform chang seryl t rna synthetas from thermu thermophilu',161
'correl motion x rai diffus scatter lysozym',161
'structur dynam bacteriorhodopsin comparison simul experi feb letter',161
'dissect vibrat entropi chang protein ligand bind burial water molecul bovin pancreat trypsin inhibitor',161
'conform energet partial symmetr photosynthet reaction center',161
