
 Results 
=====

Correctly Classified Instances         982               69.2037 %
Incorrectly Classified Instances       437               30.7963 %
Kappa statistic                          0.6829
K&B Relative Info Score              88782.5    %
K&B Information Score                 5259.816  bits      3.7067 bits/instance
Class complexity | order 0            8297.1524 bits      5.8472 bits/instance
Class complexity | scheme            86231.5    bits     60.7692 bits/instance
Complexity improvement     (Sf)     -77934.3476 bits    -54.922  bits/instance
Mean absolute error                      0.0117
Root mean squared error                  0.0699
Relative absolute error                 60.033  %
Root relative squared error             70.7837 %
Coverage of cases (0.95 level)          93.2347 %
Mean rel. region size (0.95 level)      15.7104 %
Total Number of Instances             1419     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.917    0.012    0.775      0.917    0.840      0.835    0.971     0.927     1
                 0.931    0.014    0.779      0.931    0.848      0.843    0.985     0.954     2
                 0.895    0.035    0.515      0.895    0.654      0.662    0.967     0.914     3
                 0.667    0.018    0.359      0.667    0.467      0.479    0.968     0.510     4
                 0.833    0.009    0.789      0.833    0.811      0.803    0.988     0.913     5
                 0.774    0.003    0.857      0.774    0.814      0.811    0.992     0.865     6
                 0.967    0.004    0.853      0.967    0.906      0.906    1.000     0.990     7
                 0.760    0.026    0.514      0.760    0.613      0.608    0.967     0.819     8
                 0.846    0.005    0.759      0.846    0.800      0.797    0.995     0.918     9
                 0.963    0.005    0.788      0.963    0.867      0.868    0.976     0.954     10
                 0.550    0.004    0.647      0.550    0.595      0.591    0.954     0.552     11
                 0.909    0.011    0.727      0.909    0.808      0.807    0.993     0.935     12
                 0.636    0.001    0.875      0.636    0.737      0.745    0.928     0.708     13
                 0.273    0.001    0.600      0.273    0.375      0.402    0.975     0.481     14
                 0.694    0.009    0.658      0.694    0.676      0.667    0.964     0.796     15
                 0.667    0.000    1.000      0.667    0.800      0.815    0.949     0.739     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.628     0.138     17
                 0.600    0.011    0.643      0.600    0.621      0.609    0.947     0.710     18
                 0.286    0.001    0.667      0.286    0.400      0.435    0.995     0.562     19
                 0.429    0.001    0.750      0.429    0.545      0.565    0.908     0.565     20
                 0.429    0.000    1.000      0.429    0.600      0.654    0.834     0.581     21
                 0.625    0.005    0.588      0.625    0.606      0.602    0.973     0.572     22
                 0.717    0.015    0.644      0.717    0.679      0.666    0.968     0.792     23
                 0.607    0.004    0.773      0.607    0.680      0.679    0.937     0.724     24
                 0.800    0.004    0.667      0.800    0.727      0.727    0.999     0.941     25
                 0.714    0.001    0.714      0.714    0.714      0.713    0.919     0.749     26
                 0.854    0.029    0.642      0.854    0.733      0.722    0.971     0.771     27
                 0.778    0.006    0.636      0.778    0.700      0.699    0.983     0.798     28
                 0.333    0.000    1.000      0.333    0.500      0.577    0.790     0.321     29
                 0.300    0.001    0.750      0.300    0.429      0.472    0.977     0.588     30
                 0.167    0.000    1.000      0.167    0.286      0.408    0.980     0.706     31
                 0.735    0.014    0.568      0.735    0.641      0.637    0.987     0.523     32
                 0.400    0.000    1.000      0.400    0.571      0.632    0.886     0.715     33
                 0.600    0.001    0.750      0.600    0.667      0.670    1.000     0.903     34
                 0.400    0.000    1.000      0.400    0.571      0.632    0.866     0.415     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.670     0.402     36
                 1.000    0.001    0.833      1.000    0.909      0.913    1.000     1.000     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.774     0.078     38
                 0.800    0.003    0.500      0.800    0.615      0.631    0.998     0.588     39
                 0.800    0.001    0.667      0.800    0.727      0.729    0.999     0.754     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.728     0.012     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.374     42
                 0.364    0.006    0.600      0.364    0.453      0.458    0.863     0.199     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.570     0.004     44
                 0.500    0.000    1.000      0.500    0.667      0.707    0.867     0.751     45
                 0.667    0.001    0.800      0.667    0.727      0.728    0.942     0.819     46
                 0.968    0.012    0.638      0.968    0.769      0.781    0.992     0.940     47
                 0.767    0.006    0.719      0.767    0.742      0.737    0.976     0.828     48
                 0.800    0.003    0.833      0.800    0.816      0.813    0.971     0.915     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.299     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.443     51
                 0.667    0.000    1.000      0.667    0.800      0.816    0.997     0.712     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.470     0.002     53
