
 Results 
=====

Correctly Classified Instances         747               82.6327 %
Incorrectly Classified Instances       157               17.3673 %
Kappa statistic                          0.8014
K&B Relative Info Score              60642.5233 %
K&B Information Score                 2227.3268 bits      2.4639 bits/instance
Class complexity | order 0            3247.0909 bits      3.5919 bits/instance
Class complexity | scheme            28766.6787 bits     31.8215 bits/instance
Complexity improvement     (Sf)     -25519.5878 bits    -28.2296 bits/instance
Mean absolute error                      0.0276
Root mean squared error                  0.1025
Relative absolute error                 45.0319 %
Root relative squared error             58.7075 %
Coverage of cases (0.95 level)          96.4602 %
Mean rel. region size (0.95 level)      17.8097 %
Total Number of Instances              904     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.703    0.006    0.839      0.703    0.765      0.759    0.968     0.772     155
                 0.778    0.001    0.875      0.778    0.824      0.823    0.997     0.885     156
                 0.000    0.000    0.000      0.000    0.000      0.000    0.745     0.069     157
                 0.500    0.000    1.000      0.500    0.667      0.706    0.999     0.934     158
                 0.762    0.000    1.000      0.762    0.865      0.870    0.997     0.937     159
                 0.000    0.000    0.000      0.000    0.000      0.000    0.907     0.834     160
                 0.961    0.015    0.930      0.961    0.945      0.934    0.998     0.992     161
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.635     0.030     162
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.267     163
                 0.000    0.000    0.000      0.000    0.000      0.000    0.847     0.117     164
                 0.750    0.014    0.867      0.750    0.804      0.786    0.975     0.871     165
                 0.250    0.000    1.000      0.250    0.400      0.499    0.999     0.893     166
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.813     0.096     167
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     0.917     168
                 0.000    0.000    0.000      0.000    0.000      0.000    0.820     0.279     169
                 0.896    0.035    0.772      0.896    0.830      0.808    0.991     0.945     170
                 0.000    0.000    0.000      0.000    0.000      0.000    0.823     0.668     171
                 0.000    0.000    0.000      0.000    0.000      0.000    0.479     0.002     172
                 0.000    0.000    0.000      0.000    0.000      0.000    0.453     0.002     173
                 0.571    0.001    0.800      0.571    0.667      0.674    0.887     0.588     174
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     175
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.002     176
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.001     177
                 0.966    0.027    0.894      0.966    0.929      0.912    0.995     0.985     178
                 0.918    0.068    0.652      0.918    0.762      0.737    0.983     0.917     179
                 0.950    0.009    0.704      0.950    0.809      0.813    0.965     0.891     180
                 0.231    0.000    1.000      0.231    0.375      0.478    0.765     0.388     182
                 0.794    0.018    0.783      0.794    0.788      0.771    0.959     0.831     183
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     184
Weighted Avg.    0.826    0.023    0.800      0.826    0.803      0.791    0.972     0.887     
