
 Results 
=====

Correctly Classified Instances        1044               71.3115 %
Incorrectly Classified Instances       420               28.6885 %
Kappa statistic                          0.6976
K&B Relative Info Score              93131.6408 %
K&B Information Score                 5122.3853 bits      3.4989 bits/instance
Class complexity | order 0            7924.5444 bits      5.4129 bits/instance
Class complexity | scheme            93489.1446 bits     63.8587 bits/instance
Complexity improvement     (Sf)     -85564.6002 bits    -58.4458 bits/instance
Mean absolute error                      0.0126
Root mean squared error                  0.0727
Relative absolute error                 56.2091 %
Root relative squared error             68.7804 %
Coverage of cases (0.95 level)          92.8962 %
Mean rel. region size (0.95 level)      15.7604 %
Total Number of Instances             1464     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.939    0.097    0.601      0.939    0.733      0.705    0.983     0.940     1
                 0.875    0.019    0.708      0.875    0.783      0.775    0.963     0.785     2
                 0.862    0.019    0.675      0.862    0.757      0.750    0.972     0.866     3
                 0.705    0.006    0.795      0.705    0.747      0.741    0.939     0.785     4
                 0.512    0.004    0.786      0.512    0.620      0.626    0.961     0.716     5
                 0.600    0.001    0.923      0.600    0.727      0.739    0.930     0.714     6
                 0.855    0.014    0.736      0.855    0.791      0.783    0.969     0.882     7
                 0.865    0.007    0.818      0.865    0.841      0.835    0.989     0.904     8
                 0.793    0.004    0.793      0.793    0.793      0.789    0.971     0.820     9
                 0.143    0.003    0.429      0.143    0.214      0.241    0.889     0.323     10
                 0.571    0.004    0.667      0.571    0.615      0.612    0.992     0.734     11
                 0.676    0.004    0.793      0.676    0.730      0.727    0.913     0.710     12
                 0.766    0.004    0.857      0.766    0.809      0.804    0.960     0.831     13
                 0.438    0.001    0.875      0.438    0.583      0.616    0.939     0.623     14
                 0.875    0.002    0.824      0.875    0.848      0.847    0.999     0.925     15
                 0.333    0.000    1.000      0.333    0.500      0.575    0.955     0.701     16
                 0.667    0.011    0.615      0.667    0.640      0.631    0.903     0.634     17
                 0.545    0.000    1.000      0.545    0.706      0.737    0.862     0.633     18
                 0.923    0.007    0.706      0.923    0.800      0.803    0.993     0.941     19
                 0.854    0.006    0.820      0.854    0.837      0.831    0.982     0.912     20
                 1.000    0.001    0.875      1.000    0.933      0.935    1.000     1.000     21
                 0.600    0.001    0.857      0.600    0.706      0.716    0.971     0.674     22
                 0.909    0.002    0.909      0.909    0.909      0.907    0.959     0.905     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.811     0.463     24
                 0.500    0.001    0.750      0.500    0.600      0.611    0.899     0.645     25
                 0.200    0.000    1.000      0.200    0.333      0.447    0.769     0.406     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.757     0.079     27
                 0.820    0.010    0.745      0.820    0.781      0.774    0.954     0.862     28
                 0.714    0.000    1.000      0.714    0.833      0.844    0.910     0.680     29
                 0.154    0.003    0.333      0.154    0.211      0.222    0.830     0.199     30
                 0.400    0.000    1.000      0.400    0.571      0.632    1.000     0.933     31
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.977     0.111     32
                 0.400    0.000    1.000      0.400    0.571      0.632    0.888     0.645     33
                 0.800    0.001    0.889      0.800    0.842      0.842    0.998     0.895     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.704     0.088     35
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.998     0.483     36
                 0.500    0.000    1.000      0.500    0.667      0.707    0.869     0.751     37
                 0.500    0.000    1.000      0.500    0.667      0.707    0.862     0.584     38
                 0.765    0.006    0.765      0.765    0.765      0.759    0.978     0.839     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.536     40
                 0.500    0.000    1.000      0.500    0.667      0.707    1.000     0.917     41
                 0.750    0.001    0.600      0.750    0.667      0.670    0.862     0.651     42
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.855     0.099     43
                 0.250    0.001    0.500      0.250    0.333      0.352    0.999     0.646     44
                 0.933    0.008    0.538      0.933    0.683      0.705    0.999     0.948     45
                 0.941    0.007    0.762      0.941    0.842      0.843    0.998     0.949     46
                 0.250    0.000    1.000      0.250    0.400      0.499    0.864     0.551     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.264     48
                 0.630    0.002    0.850      0.630    0.723      0.727    0.979     0.763     49
                 0.333    0.000    1.000      0.333    0.500      0.577    0.999     0.778     50
                 0.783    0.004    0.750      0.783    0.766      0.762    0.968     0.860     51
                 0.667    0.001    0.500      0.667    0.571      0.576    0.999     0.833     52
                 0.667    0.000    1.000      0.667    0.800      0.816    0.999     0.767     53
                 0.667    0.000    1.000      0.667    0.800      0.816    0.829     0.667     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.794     0.013     55
