
 Results 
=====

Correctly Classified Instances        1067               72.8825 %
Incorrectly Classified Instances       397               27.1175 %
Kappa statistic                          0.7153
K&B Relative Info Score             100225.6414 %
K&B Information Score                 5512.5664 bits      3.7654 bits/instance
Class complexity | order 0            7924.5444 bits      5.4129 bits/instance
Class complexity | scheme             4707.2345 bits      3.2153 bits/instance
Complexity improvement     (Sf)       3217.3099 bits      2.1976 bits/instance
Mean absolute error                      0.0103
Root mean squared error                  0.0685
Relative absolute error                 46.1381 %
Root relative squared error             64.8662 %
Coverage of cases (0.95 level)          92.7596 %
Mean rel. region size (0.95 level)      12.5643 %
Total Number of Instances             1464     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.934    0.074    0.662      0.934    0.775      0.748    0.982     0.934     1
                 0.750    0.014    0.740      0.750    0.745      0.732    0.964     0.786     2
                 0.769    0.019    0.658      0.769    0.709      0.697    0.964     0.841     3
                 0.659    0.004    0.829      0.659    0.734      0.732    0.940     0.781     4
                 0.605    0.009    0.667      0.605    0.634      0.624    0.953     0.680     5
                 0.675    0.004    0.818      0.675    0.740      0.737    0.953     0.774     6
                 0.855    0.011    0.768      0.855    0.809      0.802    0.979     0.884     7
                 0.904    0.014    0.701      0.904    0.790      0.788    0.992     0.915     8
                 0.828    0.003    0.828      0.828    0.828      0.824    0.987     0.824     9
                 0.333    0.006    0.467      0.333    0.389      0.387    0.908     0.282     10
                 0.667    0.002    0.824      0.667    0.737      0.738    0.993     0.764     11
                 0.618    0.008    0.656      0.618    0.636      0.628    0.933     0.720     12
                 0.745    0.005    0.833      0.745    0.787      0.781    0.960     0.845     13
                 0.625    0.005    0.588      0.625    0.606      0.602    0.953     0.685     14
                 0.875    0.003    0.737      0.875    0.800      0.801    0.999     0.916     15
                 0.667    0.002    0.800      0.667    0.727      0.727    0.977     0.758     16
                 0.611    0.011    0.595      0.611    0.603      0.593    0.916     0.598     17
                 0.545    0.000    1.000      0.545    0.706      0.737    0.919     0.652     18
                 0.885    0.006    0.742      0.885    0.807      0.806    0.997     0.911     19
                 0.833    0.005    0.851      0.833    0.842      0.837    0.986     0.887     20
                 1.000    0.001    0.875      1.000    0.933      0.935    1.000     1.000     21
                 0.700    0.001    0.875      0.700    0.778      0.781    0.973     0.724     22
                 0.848    0.004    0.824      0.848    0.836      0.832    0.962     0.890     23
                 0.500    0.000    1.000      0.500    0.667      0.706    0.823     0.669     24
                 0.500    0.000    1.000      0.500    0.667      0.706    0.960     0.599     25
                 0.400    0.001    0.667      0.400    0.500      0.515    0.899     0.414     26
                 0.200    0.000    1.000      0.200    0.333      0.447    0.904     0.257     27
                 0.840    0.008    0.778      0.840    0.808      0.801    0.962     0.861     28
                 0.643    0.001    0.818      0.643    0.720      0.723    0.959     0.811     29
                 0.154    0.001    0.500      0.154    0.235      0.274    0.836     0.175     30
                 0.400    0.000    1.000      0.400    0.571      0.632    0.995     0.555     31
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.980     0.132     32
                 0.600    0.000    1.000      0.600    0.750      0.774    0.908     0.634     33
                 0.900    0.001    0.900      0.900    0.900      0.899    0.998     0.924     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.855     0.033     35
