@relation 'Dataset dblp title slee'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86}
@data
'shape adapt d mesh simplif base local optim measur',10
'integr posit estim us aerial imag sequenc',10
'model algorithm effici multiresolut topolog estim measur d rang data',10
'color normal algorithm imag index',10
'effici motion compens algorithm base second order predict',10
'robust transmiss video noisi channel us pariti motion vector',10
'integr posit estim us aerial imag sequenc',10
'rotat invari face detect us model base cluster algorithm',10
'lost motion vector recoveri algorithm',10
'd subband video code techniqu us adapt wavelet packet base',10
'design fir filter discret coeffici space applic hdtv signal process',10
'perform analysi subband adapt digit filter',10
'perceptu group d featur aerial imag us decis tree classifi',10
'geometr model scatter d rang data',10
'multi imag match gener motion stereo camera model',10
'recoveri d shape us hybrid reflect model',10
'split merg segment emploi threshold techniqu',10
'robust transmiss video noisi channel us pariti motion vector',10
'unsupervis segment textur imag us markov random field random spatial interact',10
'model base object recognit us hausdorff distanc explicit pair',10
'recognit reconstruct d object us model base perceptu group',10
'improv integr constraint check stratifi deduct databas',11
'refin termin decis activ databas',11
'verifi updat trigger correct',11
'rang max min queri olap data cube',11
'design semistructur databas conceptu approach',11
'rang top bottom k queri olap spars data cube',11
'adapt method rang top k queri olap data cube',11
'updat feder databas system',11
'deduct object orient databas system',11
'variabl size partit rang queri algorithm',11
'improv integr constraint check stratifi deduct databas',11
'unrol cycl decid trigger termin',11
'hierarch compact cube rang max queri',11
'rang sum queri dynam olap data cube',11
'trigger rule correct',11
'improv integr check exist constraint',11
'path remov techniqu detect trigger termin',11
'nf ss normal form semistructur schema',11
'learn fingerprint databas intrus detect system',11
'design good semi structur databas conceptu model',11
'analysi pre comput partit top method rang top k queri olap data cube',11
'user feedback driven document cluster techniqu inform organ',12
'automat mainten evolv topic structur intellig inform system',12
'autom data wareh rule base crm system',12
'doc distribut object cach system inform infrastructur',12
'digit catalog librari share repositori onlin catalog electron commerc',12
'framework winner determin algorithm internet auction',12
'semant queri reformul deduct databas',12
'telemedicin challeng opportun',12
'compon base architectur digit catalog librari system',12
'semant queri reformul deduct databas',12
'doc distribut object cach system inform infrastructur',12
'server placement algorithm consciou commun delai reloc cost',12
'server placement algorithm consciou commun delai reloc cost',12
'catalog share catalog interoper',12
'digit catalog librari share repositori onlin catalog electron commerc',12
'queri reformul us materi view data wareh environ',12
'extend condit answer aggreg queri us materi view',12
'extend queri reformul techniqu us materi view',12
'boolean queri process result cach mediat system',12
'cach base queri process keyword base boolean queri model mediat',12
'method process boolean queri us result cach',12
'logic databas system extend function',12
'dbm base medic teleconfer system',12
'implement mobil comput system clinic environ mobilenurs tm',12
'ee cat extend electron catalog dynam flexibl electron commerc',12
'build topic hierarchi base fuzzi relat',12
'catalog manag commerc system',12
'catalog integr electron commerc categori hierarchi merg techniqu',12
'discov taxonom relationship textual document',12
'effect document cluster method us user adapt distanc metric',12
'effect flash memori manag reliabl flash memori space manag',12
'experiment evalu dynam electron catalog model relat databas system',12
'new flash memori manag flash storag system',12
'semi supervis document cluster techniqu inform organ',12
'gener diffus specular appear photometr imag',13
'appear represent multipl reflect compon',13
'represent specular appear',13
'us chromat distribut eigenspac pose illumin specular invari d object recognit',13
'us chromat distribut eigenspac analysi pose illumin specular invari recognit d object',13
'estim diffus specular appear',13
'studi r f gradient puls magnet instabl effect nmr tomographi',13
'spectral gradient materi descriptor invari geometri incid illumin',13
'virtual realiti telepres st centuri remot medic consult',13
'color imag segment detect highlight local illumin induc inter reflect',13
'color imag segment detect highlight local illumin induc inter reflect',13
'color imag segment color constanc',13
'comput aspect color constanc',13
'detect diffus specular interfac reflect inter reflect color imag segment',13
'detect specular us color multipl view',13
'imag segment detect highlight inter reflect us color',13
'shape adapt d mesh simplif base local optim measur',13
'appear represent multipl reflect compon',13
'rang imag registr us extend featur vector',13
'relev graph base imag retriev',13
'icp registr us invari featur',13
'multiview registr d scene minim error coordin frame',13
'invari featur registr rigid bodi',13
'toward multiview registr frame space',13
'chromat space specular illumin color illumin pose invari d object recognit',13
'specular illumin color pose invari chromat space d object recognit',13
'spectral gradient color base object recognit index',13
'spectro spatial gradient color base object recognit index',13
'spectro spatial gradient d object recognit index',13
'echo time encod chemic shift nmr spectroscop imag techniqu',13
'nmr imag principl algorithm',13
'short t sodium imag us quadratur coil kai tesla superconduct nmr system',13
'view select strategi multi view wide baselin stereo',13
'research human center design evalu multimod imag retriev',13
'visual space teleconferenc us sea camera',13
'sodium magnet reson imag ey len',13
'cspd gamma rai vision system',13
'proton sodium nmr',13
'detect specular us color multipl view',13
'detect specular us color multipl view',13
'limit angular view planar integr project reconstruct nmr imag',13
'multinuclear magnet reson imag techniqu simultan proton sodium imag',13
'implement simultan multinuclear mr imag proton sodium',13
'nan',13
'analysi multipl reflect compon',13
'detect specular us stereo color polar space',13
'detect specular us stereo color polar space',13
'secur dynam copi protocol real time secur databas system',14
'integr push pull buffer manag method multimedia commun environ',14
'embed built test hot spot object orient framework',14
'design implement object orient process control loop framework',14
'increas testabl object orient framework built test',14
'network channel buffer schedul algorithm interact vod server',14
'schedul hard aperiod task hybrid static dynam prioriti system',14
'optimist secur real time concurr control us multipl data version',14
'schedul soft aperiod task adapt fix prioriti system',14
'secur dynam copi protocol real time secur databas system',14
'design implement content manag multimedia stream framework',14
