@relation 'Dataset dblp title ychen'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71}
@data
'advanc techniqu rtl debug',10
'high probabl high densiti state travers',10
'advanc techniqu rtl debug',10
'space time effici bdd construct via work set control',10
'acv arithmet circuit verifi',10
'verif arithmet circuit binari moment diagram',10
'verif arithmet circuit binari moment diagram',10
'verif float point adder',10
'verif arithmet circuit us binari moment diagram',10
'verif circuit float point unit us word level model check',10
'verif arithmet function binari moment diagram',10
'algorithm compact error trace',10
'phdd effici graph represent float point circuit verif',10
'equival check integ multipli',10
'systol algorithm k nearest neighbor problem',10
'effici graph represent arithmet circuit verif',10
'breadth first depth first bdd construct hybrid approach',10
'new global router asic design base simul evolut',10
'acv arithmet circuit verifi',10
'pbhd effici graph represent float point circuit verif',10
'phdd effici graph represent float point circuit verifica tion',10
'systol algorithm k nearest neighbor problem',10
'verif circuit float point unit us word level model check',10
'hybrid optim method us real code multi parent ea simplex simul anneal applic resolut overlap signal',11
'hybrid optim method us real code multi parent ea simplex simul anneal applic resolut overlap signal',11
'systemat sc base methodolog super resolut video sequenc',11
'studi adapt complex system simpl condit',11
'ct reconstruct base princip compon analysi',11
'ghigh resolut penumbr imag',11
'fourier seri base method ct imag reconstruct',11
'comput tomographi base self organ neural network',11
'heurist penumbr imag techniqu measur laser produc plasma densiti profil',11
'evolutionari ct imag reconstruct variant chromosom size',11
'adapt simul anneal optim phase distribut kinoform',11
'new optim algorithm kinoform base simul anneal',11
'reconstruct rai penumbr imag base heurist method',11
'evolutionari ct imag reconstruct imag partit',11
'grai imag reconstruct new back propag neural network',11
'coupl lattic neural network blind deconvolut',11
'evolutionari self organ neural network blind deconvolut',11
'analysi laser beam propag effect atom laser isotop separ',11
'numer studi propag laser puls multilevel photoion system',11
'nois smooth filter base adapt window appli penumbr imag',11
'penumbr imag laser implod target blind reconstruct',11
'parallel distribut blind deconvolut base self organ neural network two step learn method',11
'parallel genet algorithm base island model imag restor',11
'parallel genet algorithm imag restor',11
'parallel genet algorithm imag restor perform analysi',11
'develop rai emiss comput tomographi icf research',11
'pyramid model blind deconvolut base simul anneal',11
'rai particl diagnost high densiti plasma laser implos',11
'reconstruct neutron penumbr imag constraint genet algorithm',11
'ada base support packag fuzzi expert system construct gui',11
'evolutionari ct imag reconstruct imag partit',11
'evolutionari reconstruct grai imag',11
'evolutionari reconstruct plane binari imag project',11
'evolutionari reconstruct plane color imag project',11
'parallel distribut blind deconvolut base self organ neural network',11
'evolutionari reconstruct techniqu plane uniform imag',11
'pattern recognit base artifici immun neural network',11
'neuro genet reconstruct ternari grai imag project',11
'synthesi binari comput gener hologram base code frequenc domain optim algorithm',11
'reconstruct grai imag neural network',11
'optim comput gener hologram artifici neural network',11
'blind separ base evolutionari neural network',11
'h textur segment base pattern map obtain independ compon analysi',11
'h textur segment base pattern map obtain princip compon analysi',11
'new textur featur base pca pattern map applic imag retriev',11
'blind deconvolut base genet algorithm',11
'blind deconvolut base genet algorithm',11
'blind deconvolut genet algorithm',11
'blind dconvolut rai penumbr imag',11
'blind dconvolut spatial encod penumbr imag',11
'blind nonlinear channel identif base constrain genet algorithm',11
'observ burn pusher region laser driven larg high aspect ratio target particl imag',11
