@relation 'Dataset dblp title_co-authors ktanaka'
@attribute Text string
@attribute class-att {212, 213, 214, 215, 216, 217, 218, 219, 220, 221}
@data
'ubiquit servic orient network uson approach ubiquit world p p technolog e shinohara h matsumura h sunaga m takemoto',212
'multimedia commun network architectur model high speed network c hong s honda t yoneda y matsushita',212
'access control author cg multipl detail level k yoda k tajima',213
'behavior analysi object orient databas method structur execut tree reachabl extend abstract m yoshikawa r hull',213
'schema design view incomplet inform object orient databas m yoshikawa k ishihara',213
'special issu nd web inform engin confer wise h schek m ozsu y zhang',213
'behavior analysi object orient databas method structur execut tree reachabl extend abstract r hull m yoshikawa',213
'design problem unnorm relat util semant constraint relat databas japanes y kambayashi k takeda s yajima',213
'interfer problem between relat queri depend constraint japanes y kambayashi',213
'problem relat databas design lectur note comput scienc y kambayashi s yajima',213
'properti embed multivalu depend relat databas y kambayashi s yajima',213
'represent relat databas output util depend y kambayashi k takeda s yajima',213
'us abstract characterist relat databas y kambayashi s yajima',213
'semant aspect depend their applic relat databas design y kambayashi s yajima',213
'synthesi unnormal relat incorpor more mean y kambayashi k takeda',213
'infolod landmark spatial present attribut inform comput repres object spatial h kawagishi k koiso t matsumoto t mori',213
'design implement orient medicin expert japanes s kitamura',213
'tree structur organ consecut retriev properti base file organ nan',213
'visibl control orient medicin expert s kitamura s tsuji',213
'dood deduct object orient databas s ceri d tsur',213
'obas object databas model toward more flexibl object orient databas s nishio',213
'continu object model multi media databas japanes e oomoto',213
'design implement visual queri languag histor databas e oomoto',213
'historychart visual queri languag histor databas e oomoto',213
'propag view instanc inherit mechan parial order relationship object orient databas japanes e oomoto',213
'navig instanc object databas dynam inherit capabl s pradhan t jozen',213
'abstract inherit hyperlink object orient hypertext databas textlink gem q qiang m tanizaki',213
'ad method relat databas construct n sanada',213
'cost model copyright manag d digit content multilevel complex object y sugiyama y kidawara',213
'tempor link mechan hypermedia broadcast k sumiya r noda',213
'cut as queri unit www netnew e mail k tajima m kitagawa y mizuuchi',213
'object orient comput i japanes s nishio k kagakusha',213
'fundament concept object orient databas japanes nan',213
'histor databas model tupl sequenc it integr constraint japanes nan',213
'integr hypermedia object orient databas technolog japanes nan',213
'store manipul multimedia databas object postscript relat databas nan',213
'foundat organ s ghosh y kambayashi',213
'toward integr environ edit view publish multimedia databas object nan',213
'tutori object orient databas nan',213
'bibliograph inform process facil relat databas ari s yajima y kambayashi',213
'advanc applic futur research issu oodb nan',213
'comput tupl sequenc object histori s ginsburg',213
'relat languag simplifi binari relat handl capabl s yajima y kambayashi',213
'schema virtual object orient databas m yoshikawa k ishihara',213
'toward abstract complex databas object gener reduct unif set type object extend abstract m yoshikawa',213
'imag retriev web context fill gap between imag keyword usag keyword k zettsu y kidawara',213
'semant structur video index k zettsu k uehara',213
'time stamp author graph video databas k zettsu k uehara n kimura',213
'comput tupl sequenc object histori extend abstract s ginsburg',213
'interv queri object histori s ginsburg',213
'interv queri object histori extend abstract s ginsburg',213
'next gener databas manag technolog panel c harris e saberdoti f bancilhon m kifer m brodie y masunaga',213
'advanc process environ manag continu semistructur featur multimedia content k harumoto k tajima m tsukamoto m arikawa s shimojo s nishio y ariki',213
'interact classif web document self organ map search engin k hatano r sano y duan',213
'som inform organ text video k hatano q qian',213
'queri multipl perspect video camera metaphor t hirose t hata y nakanishi',213
'tree structur organ consecut retriev properti nan',213
'model structur multipl perspect video brows t hirose y nakanishi',213
'skim multipl perspect video tempo spatial import measur t hirose t hata',213
'schema virtual object orient databas k ishihara m yoshikawa',213
'logic integr local independ relat databas distribut databas y kambayashi',213
'organ quasi consecut retriev file y kambayashi s yajima',213
'tea time museum croquet as brows search environ digit librari nan',213
'relat languag simplifi binari relat handl capabl y kambayashi s yajima',213
'test join depend preserv modifi chase method y kambayashi',213
'dynam zone retriev landmark comput spatial h kawagishi k koiso',213
'infolod landmark brows retriev spatial h kawagishi k koiso t matsumoto',213
'navig depend web view defin control semant unit web page h kiyomitsu',213
'uncertainti manag object orient databas s kobayashi t sakanoue',213
'dynam gener virtual space increment queri formul spatial brows k koiso k kawakatsu t mori',213
'spatial present aggreg georeferenc k koiso t matsumoto',213
'discoveri semant relationship among web page web topic structur h kondo t matsukura y hirata',213
'local filter search web page c matsumoto m qiang',213
'web inform retriev local degre c matsumoto m qiang',213
'back tv inform visual interfac tv program metaphor a nadamoto h kondo k sumiya m kusahara t hattori',213
'compar web browser cwb brows compar web page a nadamoto',213
'mwm retriev automat present manual mobil termin a nadamoto k sumiya m shikata',213
'webcarrousel restructur web search result passiv view mobil environ a nadamoto h kondo',213
'webcarousel automat present semant restructur web search result mobil environ a nadamoto h kondo',213
'associ present metadata digit archiv object virtual space as synchron multimedia content a nadamoto k koiso',213
'tv program gener digest video scene script markup languag a nadamoto a iizawa k sumiya t hattori t hashimoto y shirota',213
'queri pair as hypertext link k nanba n nishikawa s hirayama',213
'queri pair as hypertext link n nishikawa s hirayama k nanba',213
'historychart visual languag histor databas e ohmoto',213
'increment organ ancient document databas h oiso j morishita k ohtsuki q qian s ueshima',213
'altern object object orient databas t chang',213
'spatial view lod access control vrml object databas h oiso k tajima m kamiura',213
'ovid design implement video object databas e oomoto',213
'video databas recent trend research develop activ e oomoto',213
'two level schemata gener link hypertext databas model q qian',213
'natur join object orient databas t chang',213
'webscan discov notifi import chang web site m qiang s miyazaki',213
'dynam theori incent multi agent y shoham',213
'context depend web bookmark their usag as queri k sumiya s oyama s nakajima',213
'hypermedia broadcast tempor link k sumiya r noda',213
'algebra retriev fragmentarili index video k tajima s pradhan t sogo',213
'queri model retriev relev interv within video stream k tajima s pradhan',213
'scoopcast dynam video product deliveri from index live video stream a doi k sumiya k uehara t kawaguchi',213
'queri model synthes answer interv from index video unit k tajima s pradhan',213
'new algebra approach retriev meaning video interv from fragmentarili index video shot k tajima s pradhan t sogo',213
'new techniqu discoveri logic document web k tajima',213
'util prototyp object powerdomain support public author video databas k tajima s pradhan',213
'web reconfigur spatio tempor page person rule access a takeuchi h kiyomitsu',213
'encapsul multimedia content copyright protect mechan distribut object k uehara y kidawara',213
'file organ suitabl relat databas oper c viet s yajima y kambayashi',213
'file organ suitabl relat databas oper c viet y kambayashi s yajima',213
'similar retriev human motion as multi stream time seri t yabe',213
'queri video spatio tempor relationship move object trace c yajima y nakanishi',213
'problem relat databas design s yajima y kambayashi',213
'organ quasi consecut retriev file s yajima y kambayashi',213
'access control model object orient k izaki m takizawa',214
'protocol pseudo activ replic wide area network h higaki m takizawa',214
'checkpoint distribut object h higaki m takizawa',214
'quorum protocol group commun h higaki m takizawa',214
'qualiti lock mode multimedia object h higaki m takizawa m katsumoto',214
'quorum lock protocol replica object m takizawa',214
'asynchron checkpoint protocol object m takizawa',214
'group protocol object m takizawa y timura',214
'pseudo activ replic protocol reliabl replica group h higaki m takizawa n nemoto',214
'group protocol exchang multimedia object group k shimamura m takizawa',214
'group commun protocol object m takizawa y timura',214
'quorum replic object m takizawa',214
'inform flow control role model distribut object k izaki m takizawa',214
