@relation 'Dataset dblp title_co-authors mjones'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}
@data
'multiview project object orient view technolog applic elke a rundensteiner harumi a kuno pedro jos eacute marr oacute n viviane crestana taube young gook ra',10
'symbol intersect detect method improv spatial intersect join elke a rundensteiner yun wu huang',10
'improv spatial intersect join us symbol intersect detect elke a rundensteiner yun wu huang',10
'view materi techniqu complex hierarch object elke a rundensteiner',10
'schema independ xml databas system chad berkley daniel higgins metacat jivka bojilova',11
'manag heterogen ecolog data us morpho chad berkley daniel higgins metacat',11
'manag scientif metadata chad berkley jivka bojilova mark schildhauer',11
'appear base structur motion us linear class d model sing bing kang',12
'mont carlo algorithm fast project cluster cecilia magdalena procopiuc pankaj k agarwal t m murali',12
'toward ghdl eval framework deepli embed simpl hdl hol nan',13
'brief introduct formal method paul e black kelly m hall michael d jones trent n larson phillip j windley',13
'alexandria librari abstract verifi hardwar modul annette bunker michael d jones trent n larson phillip j windley',13
'alexandria tool heirarch verif annette bunker trent larson phil windley',13
'verifi transact order properti unbound bu network combin deduct algorithm method ganesh gopalakrishnan',13
'verifi transact order properti unbound bu network combin deduct algorithm method m d jones g gopalakrishnan',13
'pyramid broadcast fast forward rewind a s jones m d jones m clement q snell',13
'restrict type hol michael d jones',13
'toward autom abstract protocol branch network m d jones g gopalakrishnan',13
'formal proof solut pci bu transact order problem abdel mokkedem ravi hosabettu michael d jones ganesh gopalakrishnan',13
'increment proof produc consum properti pci protocol airy weinzoepflen dominique cansell dominique m eacute ry ganesh gopalakrishnan',13
'simplifi improv qualifi type mark p jones',1
'reactiv object andrew p black johan nordlander magnus carlsson richard b kieburtz',1
'us parameter signatur express modular structur mark p jones',1
'polymorph type system extens record variant benedict r gaster mark p jones',1
'us type pars natur languag mark p jones paul hudak sebastian shaumyan',1
'monad transform modular interpret paul hudak sheng liang',1
'system constructor class overload implicit higher order polymorph mark p jones',1
'us type pars natur languag paul hudak sebastian shaumyan',1
'implement gofer function program system mark p jones',1
'theori qualifi type mark p jones',1
'type class explor design space simon peyton jones erik meijer',1
'type class function depend mark p jones',1
'comput lattic applic type class nan',1
'dictionari free overload partial evalu nan',1
'dictionari free overload partial evalu nan',1
'function program overload higher order polymorph nan',1
'first class polymorph type infer nan',1
'ml type explicit polymorph qualifi type nan',1
'integr program properti valid nan',1
'program constructor class abstract nan',1
'program constructor class preliminari summari nan',1
'coher qualifi type mark p jones',1
'compos monad mark p jones luc duponcheel',1
'comput lattic applic type class mark p jones',1
'dictionari free overload partial evalu mark p jones',1
'type haskel haskel mark p jones',1
'function program overload higher order polymorph mark p jones',1
'function java bytecod mark p jones',1
'hindlei milner type first class structur mark p jones',1
'monad transform modular interpret sheng liang paul hudak mark p jones',1
'first class polymorph type infer mark p jones',1
'implement type class john peterson',1
'hug haskel user s gofer system user manual mark p jones',1
'implement type class john peterson mark p jones',1
'lightweight extens record haskel mark p jones simon peyton jones',1
'qualifi type theori practic mark p jones',1
'simplifi improv qualifi type nan',1
'us parameter signatur express modular structur nan',1
'system constructor class overload implicit higher order polymorph nan',1
'theori qualifi type nan',1
'theori qualifi type nan',1
'ml type explicit polymorph qualifi type mark p jones',1
'type class function depend nan',1
'implicit explicit parallel program haskel mark p jones paul hudak',1
'oper system direct next millennium christopher w fraser richard draves richard f rashid robert p fitzgerald todd b knoblock william j bolosky',2
'cpu reserv time constraint effici predict schedul independ activ michael b jones daniela rosu marcel catalin rosu',2
'support user centric modular real time resourc manag rialto oper system paul j leach richard draves',2
'cpu reserv time constraint implement experi window nt michael b jones john regehr',2
'futur distribut embed real time applic will adapt mean challeng research paradigm panel aloysius k mok c douglas locke constance l heitmeyer kevin jeffay ragunathan rajkumar',2
'modular real time resourc manag rialto oper system michael b jones paul j leach richard p draves joseph s barrera iii',2
'mach matchmak kernel languag support object orient distribut system richard f rashid',2
'overview rialto real time architectur michael b jones joseph s barrera iii alessandro forin paul j leach daniela rosu marcel catalin rosu',2
'oper system support multimedia program model matter john regehr michael b jones john a stankovic',2
'predict schedul digit audio michael b jones john regehr',2
'problem re mai problem think re result latenc studi window nt john regehr',2
'predict schedul soft modem michael b jones stefan saroiu',2
'problem re mai problem think re result latenc studi window nt john regehr',2
'predict requir soft modem michael b jones stefan saroiu',2
'two case studi predict applic schedul us rialto nt john regehr stefan saroiu',2
'cpu reserv time constraint effici predict schedul independ activ daniela rosu marcel catalin rosu',2
'predict requir soft modem stefan saroiu',2
'overlook scalabl name servic overlai network marvin theimer michael b jones',2
'issu us commod oper system time depend task experi studi window nt michael b jones john regehr',2
'problem re mai problem think re result latenc studi window nt michael b jones john regehr',2
'two case studi predict applic schedul us rialto nt michael b jones john regehr stefan saroiu',2
'bring c librari us multi thread futur michael b jones',2
'matchmak interfac specif languag distribut process mary r thompson richard f rashid',2
'consum real time system applic michael b jones',2
'evalu scalabl applic level multicast built us peer peer overlai alec wolman anne marie kermarrec antony i t rowstron helenj wang marvin theimer miguel castro',2
