@relation 'Dataset dblp title_co-authors mmiller'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}
@data
'bring electron mail mass phase eudora lisa h berg',10
'world wide web develop notr dame s easier ask forgiv permiss nan',10
'manag mac made painless leverag right tool job nan',10
'terascal visual approach pitfal issu panel bernd hamann carol l hunter charles d hansen michael cox roger crawfis',11
'multiresolut adapt render techniqu structur curvilinear data bernd hamann j fritz barnes william c wynn',11
'educ metadata us l jay wantz',12
'cool link ride wave l jay wantz',12
'integr sum number cocktail parti graph symmetr complet bipartit graph j ryan x slamin',1
'survei certain valuat graph m baca j a macdougall x slamin w d wallis',1
'monoton minimum diamet respect order maximum degre x slamin',1
'complet characteris almost moor digraph degre three e t baskoro j siran m sutton',1
'antimag valuat gener petersen graph m baca',1
'usabl compromis free statist databas l brankovic p horak g wrightson',1
'digraph degre close moor bound e t baskoro j plesnik s znam',1
'two conjectur concern d antimag label antipr m baca y lin',1
'usabl k commpromis free statist databas l brankovic j siran',1
'result almost moor digraph e t baskoro j plesnik',1
'open problem graph theori label extrem graph plenari address combinator prosid komperensi nasion matematika nan',1
'spectrum prematur partial latin squar l brankovic',1
'sum number wheel m sutton',1
'open problem exclus sum graph label j ryan x slamin k sugeng m tuga',1
'utilis secret share access medic databas l brankovic j cooper',1
'open problem mod sum graph m sutton j ryan x slamin',1
'applic symmetr chain optim problem secur statist databas i roberts j simpson',1
'toward practic audit method prevent statist databas compromis l brankovic j siran',1
'us graph label store linkag relat databas m sutton',1
'comparison industri site project univers site project final year student e chang c colman w ee',1
'edg magic total label w d wallis e t baskoro x slamin',1
'comparison industri site project univers site project final year student catherine colman elizabeth chang wan ee',1
'usabl compromis free statist databas graham wrightson ljiljana brankovic peter norak',1
'characteris strongli chordal graph e dahlhaus p manuel',1
'vertex magic total label graph j a macdougall x slamin w d wallis',1
'komplexitat von eisenbahnrangierproblemen e dahlhaus j ryan',1
'vertex magic total label wheel relat graph j a macdougall w wallis',1
'algorithm combinatori problem relat train marshal e dahlhaus f manne j ryan',1
'note larg graph diamet two given maximum degre b d mckay j siran',1
'nan k eds park',1
'construct techniqu diregular non diregular larg direct network h m nguyen x slamin',1
'digraph degre two miss moor bound two j siran',1
'distanc magic label graph c a rodger r simanjuntak',1
'label wheel minimum sum number j ryan x slamin w f smyth',1
'almost moor digraph diregular j gimbert j siran x slamin',1
'model statist databas compromis incorpor supplementari knowledg databas s nan',1
'gener cliqu cover circular arc graph e t baskoro p manuel j ryan m sutton',1
'larg digraph small diamet voltag assign approach e t baskoro l brankovic j plesnik j ryan j siran',1
'ramsei number tree versu wheel five six vertic e baskoro x surahmat s m nababan',1
'problem magic total label j a macdougall x slamin w d wallis',1
'construct network minimum diamet e t baskoro',1
'prevent rel compromis us audit expert i roberts j simpson',1
'structur digraph order close moor bound e t baskoro j plesnik',1
'secur consider present futur medic databas j cooper',1
'note almost moor digraph degre three e t baskoro j siran',1
'secur consider present futur medic databas j cooper',1
'open problem construct digraph minim diamet e t baskoro',1
'secur issu medic databas nan',1
'procedur construct minimum diamet digraph e t baskoro',1
'open problem optim digraph nan',1
'maximum h color subgraph problem balanc graph e dahlhaus p manuel',1
'regular digraph diamet maximum order e t baskoro j plesnik s znam',1
'sum number disjoint union graph j ryan w f smyth',1
'parallel algorithm generalis cliqu transvers problem e dahlhaus p manuel',1
'extend graph model softwar visual f bertault',1
'sum number cocktail parti graph j ryan w smyth',1
'train marshal problem elias dahlhaus joseph f ryan peter horak',1
'iter eccentr digraph j gimbert f ruskey j ryan',1
'transvers partit balanc hypergraph elias dahlhaus jan kratochv iacute l paul d manuel',1
'australian healthcar smart card clever countri s morris j cooper d bomba l brankovic f pacecho',1
'transvers partit balanc hypergraph e dahlhaus j kratochvil p manuel',1
'mod sum number wheel anna draganova martin sutton',1
'domin draw bipartit graph p eades h elgindy m houles b lenhart d rappaport s whitesides',1
'two domin set minimum intersect chordal graph p eades m keil p manuel',1
'data integr relat databas z feng',1
'null valu relat dbm databas s b srinivasan j zeleznikow ed z feng y jia',1
'algorithm draw compound graph f bertault',1
'eccentr digraph digraph j boland',1
'eccentr digraph j boland f buckley',1
'bound number isol sum graph label h nagamochi x slamin',1
'data infer medic databas d bomba l brankovic j cooper s morris f pacecho',1
'domin draw bipartit graph david rappaport hossam a elgindy michael e houle sue whitesides william lenhart',1
'secur measur medic databas d bomba l brankovic j cooper s morris f pacecho',1
'prematur partial latin squar alexander rosa ljiljana brankovic peter horak',1
'australian healthcar smart card clever countri d bomba l brankovic j cooper s morris f pacecho',1
'rel compromis statist databas jennifer seberry',1
'combinatori problem databas secur ljiljana brankovic peter horak',1
'largest planar digraph diamet two r simanjuntak',1
'confidenti patient record data infer problem l brankovic d bomba j cooper s morris f pacecho',1
'survei d antimag graph label prosid komperensi nasion matematika itb bandung juli r simanjuntak',1
'null relat dbm z feng y jia',1
'flatten antichain respect l brankovic p lieby',1
'two new d antimag label r simanjuntak f bertault',1
'multivalu approach relat dbm z feng y jia',1
'graph matric usabl statist databas l brankovic j siran',1
'toward practic audit method prevent statist databas compromis jozef siran ljiljana brankovic',1
'enhanc domain integr relat databas z feng i fris',1
'edg antimag graph m baca y lin m z youssef',1
'edg magic total label wheel fan friendship graph x slamin m baca y lin r simanjuntak',1
'intellig databas model z feng m zhang',1
'd antimag label plane graph m baca',1
'diregular digraph close moor bound prosid komperensi nasion matematika x slamin',1
'propos toward data integr subsystem relat databas z feng h dai',1
'valuat certain class convex polytop m baca',1
'algorithm draw compound graph fran ccedil ois bertault',1
'valuat plane quartic graph m baca y lin',1
'minimum diamet diregular digraph degre ivan fris',1
'vertex magic total label gener petersen graph m baca x slamin',1
'combinatori problem data secur p horak l brankovic',1
'vertex antimag total label graph m baca f bertault j a macdougall r simanjuntak x slamin',1
'nan c iliopoulos b eds smyth',1
'everi gener petersen graph vertex magic total label m baca x slamin',1
'd magic label type prism m baca',1
'multivalu approach handl null rdb yingxian jia zhuopeng feng',1
'd antimag label honeycomb m baca e t baskoro',1
'larg graph small diamet voltag assign approach l brankovic j plesnik j ryan j siran',1
'newcash anonym payment receipt l brankovic a furche g wrightson',1
'applic combinator secur statist databas l brankovic',1
'diregular digraph degre three order two less moor bound x slamin e t baskoro',1
'optim problem statist databas ljiljana brankovic peter horak',1
'monoton minimum diamet respect order maximum degre slamin',1
'optimis problem statist databas secur l brankovic p horak',1
'two conjectur concern vertex magic total label gener petersen graph x slamin',1
'rang queri usabl statist databas l brankovic j siran',1
'open problem sum integr sum graph label x slamin',1
'note construct larg caylei graph given degre diamet voltag assign l brankovic j plesnik j ryan j siran',1
'sum graph label relat problem x slamin',1
'introduct statist databas secur special issu l brankovic',1
'd edg antimag total label k sugeng m baca',1
'direct graph closur properti languag a v kelarev o sokratova',1
'open problem secur statist databas l brankovic',1
'open problem secret share k a sugeng',1
'gener domin chordal graph jan kratochv iacute l paul d manuel',1
'prematur partial latin squar l brankovic p horak a rosa',1
'connect graph mod sum graph m sutton j ryan x slamin',1
'disjoint unfold domin graph j kratochvil p manuel a proskurowski',1
'mod sum graph label hmn kn m sutton',1
'gener domin chordal graph j kratochvil p manuel',1
'mod sum number wheel m sutton a draganova',1
'sum graph label upper bound relat problem j kratochvil h n nguyen',1
'edg connect cage y lin c rodger',1
'generalis direct moor graph y lin',1
'vertex magic total label complet graph y lin',1
'magic antimag label wheel y lin r simanjuntak x slamin',1
'd antimag label prism y lin x slamin m baca',1
'd antimag label prism antipr m baca j ryan',1
'new construct magic antimag graph label m baca y lin r simanjuntak',1
'irregular total label m baca s jendrol j ryan',1
'maximum order digraph diamet degre pullman graph matric i fris',1
'antimag face label convex polytop base biprism m baca',1
'distanc magic graph c rodger r simanjuntak',1
'antimag label generalis petersen graph plane m baca s jendrol j ryan',1
'expert system secur statist databas b pascoe i roberts',1
'antimag label hexagon plane map m baca e t baskoro s jendrol',1
'global shape model anatom structur gary christensen m i miller y amit u grenander',2
'volumetr transform brain anatomi g e christensen s c joshi m i miller',2
'individu neuroanatom atlas us massiv parallel comput gary christensen michael i miller michael w vannier ulf grenander',2
'individu neuroanatom atlas us massiv parallel comput gary e christensen michael vannier ulf grenander',2
'method apparatu imag registr michael i miller',2
'individu anatom atlas head g e christensen s c joshi m i miller',2
'mathemat signal model phase frequenc encod magnet reson imag data m i miller t j schaewe c s bosch j j h ackerman',2
'automat analysi medic imag us deform textbook gary christensen m i miller j l marsh m w vannier',2
'mathemat textbook deform neuroanatomi michael i miller gary e christensen yali amit ulf grenander',2
'topolog properti smooth anatom map gary christensen rd rabbitt sc joshi u grenander t coogan d van essen',2
'evalu us siev produc estim radioact distribut algorithm positron emiss tomographi m i miller d l snyder s m moore',2
'accommod geometr thermodynam variabl forward look infrar sensor m cooper ulf grenander anuj srivastava',2
'altern maxim entropi likelihood function imag reconstruct spectrum estim m i miller d l snyder',2
'quadrat analysi inform measur object recognit m cooper a srivastava m i miller',2
'algorithm direct arriv estim narrowband signal nois m i miller d r fuhrmann',2
'inform gain object recognit via sensor fusion matthew cooper',2
'new method analysi electron microscop autoradiograph m i miller k b larson j e saffitz d l snyder l j thomas b roysam',2
'new stochast model auditori nerv discharg m i miller j wang',2
'metric euler lagrang equat comput anatomi m i miller a trouve l younes',2
'applic likelihood entropi toeplitz constrain covari estim m i miller',2
'inform measur object recognit m cooper m i miller',2
'inform measur object recognit accommod signatur variabl m cooper m i miller',2
'repres variat thermodynam state via princip compon analysi m cooper aaron lanterman sarang joshi',2
'hippocamp shape variat predict cognit declin nondement elder subject john g csernanskuy lei wang ph d jeffrey swank chin chin ting j philip miller michael i miller john c morris',2
'represent voic pitch discharg pattern auditori nerv fiber m i miller m b sachs',2
