
 Results 
=====

Correctly Classified Instances         504               63.1579 %
Incorrectly Classified Instances       294               36.8421 %
Kappa statistic                          0.6071
K&B Relative Info Score              49534.2024 %
K&B Information Score                 2528.0778 bits      3.168  bits/instance
Class complexity | order 0            3996.5734 bits      5.0082 bits/instance
Class complexity | scheme           199193.1911 bits    249.6155 bits/instance
Complexity improvement     (Sf)    -195196.6176 bits   -244.6073 bits/instance
Mean absolute error                      0.0133
Root mean squared error                  0.0981
Relative absolute error                 41.9424 %
Root relative squared error             77.9748 %
Coverage of cases (0.95 level)          74.5614 %
Mean rel. region size (0.95 level)       5.8438 %
Total Number of Instances              798     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.664     0.086     128
                 0.000    0.000    0.000      0.000    0.000      0.000    0.832     0.668     129
                 0.667    0.000    1.000      0.667    0.800      0.816    0.832     0.668     130
                 0.500    0.003    0.600      0.500    0.545      0.545    0.744     0.437     131
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     132
                 0.704    0.009    0.731      0.704    0.717      0.707    0.920     0.771     133
                 0.333    0.001    0.500      0.333    0.400      0.406    0.815     0.354     134
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.493     0.004     135
                 0.667    0.001    0.667      0.667    0.667      0.665    0.833     0.668     136
                 0.429    0.003    0.750      0.429    0.545      0.561    0.708     0.407     137
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     138
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.499     0.003     139
                 0.000    0.004    0.000      0.000    0.000      -0.003   0.996     0.400     140
                 0.000    0.004    0.000      0.000    0.000      -0.003   0.494     0.003     141
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.501     142
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.003     143
                 0.000    0.000    0.000      0.000    0.000      0.000    0.499     0.003     144
                 0.500    0.000    1.000      0.500    0.667      0.707    1.000     0.833     145
                 0.444    0.010    0.500      0.444    0.471      0.460    0.791     0.383     146
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.499     0.003     147
                 0.571    0.006    0.615      0.571    0.593      0.586    0.798     0.491     148
                 0.000    0.004    0.000      0.000    0.000      -0.003   0.717     0.020     149
                 0.500    0.001    0.500      0.500    0.500      0.499    0.749     0.251     150
                 0.625    0.003    0.882      0.625    0.732      0.736    0.834     0.648     151
                 0.909    0.000    1.000      0.909    0.952      0.953    0.952     0.910     152
                 0.400    0.009    0.364      0.400    0.381      0.373    0.748     0.251     153
                 0.333    0.005    0.429      0.333    0.375      0.372    0.734     0.345     154
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     94
                 0.533    0.020    0.615      0.533    0.571      0.549    0.896     0.619     95
                 0.712    0.025    0.661      0.712    0.685      0.663    0.900     0.701     96
                 0.864    0.013    0.655      0.864    0.745      0.744    0.947     0.677     97
                 0.600    0.042    0.516      0.600    0.555      0.521    0.838     0.430     98
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     99
                 0.750    0.001    0.857      0.750    0.800      0.800    0.923     0.766     100
                 0.750    0.000    1.000      0.750    0.857      0.865    0.868     0.753     101
                 0.714    0.001    0.833      0.714    0.769      0.770    0.917     0.731     102
                 0.438    0.019    0.318      0.438    0.368      0.358    0.922     0.304     103
                 0.778    0.021    0.789      0.778    0.783      0.762    0.915     0.762     104
                 0.429    0.001    0.750      0.429    0.545      0.564    0.707     0.326     105
                 0.556    0.013    0.714      0.556    0.625      0.611    0.809     0.537     106
                 0.000    0.004    0.000      0.000    0.000      -0.005   0.648     0.035     107
                 0.882    0.006    0.750      0.882    0.811      0.809    0.938     0.865     108
                 0.615    0.006    0.615      0.615    0.615      0.609    0.876     0.621     109
                 0.800    0.001    0.800      0.800    0.800      0.799    0.899     0.801     110
                 0.800    0.000    1.000      0.800    0.889      0.894    0.895     0.801     111
                 0.800    0.000    1.000      0.800    0.889      0.894    0.900     0.801     112
                 0.000    0.000    0.000      0.000    0.000      0.000    0.582     0.055     113
                 0.000    0.006    0.000      0.000    0.000      -0.006   0.673     0.118     114
                 0.796    0.139    0.473      0.796    0.593      0.536    0.837     0.415     115
                 0.944    0.000    1.000      0.944    0.971      0.971    0.972     0.946     116
                 0.000    0.000    0.000      0.000    0.000      0.000    0.661     0.204     117
                 0.500    0.003    0.889      0.500    0.640      0.657    0.800     0.568     118
                 0.500    0.001    0.667      0.500    0.571      0.576    0.742     0.419     119
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.616     0.025     120
                 0.750    0.000    1.000      0.750    0.857      0.865    0.875     0.751     121
                 0.500    0.000    1.000      0.500    0.667      0.706    0.870     0.651     122
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     123
                 0.333    0.000    1.000      0.333    0.500      0.577    0.667     0.336     125
                 0.471    0.001    0.889      0.471    0.615      0.642    0.843     0.532     126
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     127
Weighted Avg.    0.632    0.029    0.647      0.632    0.624      0.610    0.851     0.572     
