
 Results 
=====

Correctly Classified Instances        1020               71.8816 %
Incorrectly Classified Instances       399               28.1184 %
Kappa statistic                          0.7109
K&B Relative Info Score             102065.5571 %
K&B Information Score                 6046.7553 bits      4.2613 bits/instance
Class complexity | order 0            8297.1524 bits      5.8472 bits/instance
Class complexity | scheme           269149.0025 bits    189.6751 bits/instance
Complexity improvement     (Sf)    -260851.8501 bits   -183.8279 bits/instance
Mean absolute error                      0.0063
Root mean squared error                  0.0663
Relative absolute error                 32.1387 %
Root relative squared error             67.172  %
Coverage of cases (0.95 level)          81.3953 %
Mean rel. region size (0.95 level)       2.8915 %
Total Number of Instances             1419     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.750    0.009    0.789      0.750    0.769      0.760    0.934     0.754     1
                 0.903    0.004    0.915      0.903    0.909      0.904    0.956     0.892     2
                 0.737    0.021    0.600      0.737    0.661      0.649    0.924     0.610     3
                 0.429    0.005    0.563      0.429    0.486      0.484    0.875     0.429     4
                 0.907    0.001    0.961      0.907    0.933      0.931    0.971     0.943     5
                 0.806    0.005    0.781      0.806    0.794      0.789    0.901     0.811     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.680    0.014    0.642      0.680    0.660      0.648    0.910     0.695     8
                 0.769    0.004    0.800      0.769    0.784      0.781    0.940     0.795     9
                 0.889    0.003    0.857      0.889    0.873      0.870    0.941     0.867     10
                 0.650    0.004    0.684      0.650    0.667      0.662    0.872     0.575     11
                 0.955    0.002    0.933      0.955    0.944      0.942    0.976     0.874     12
                 0.364    0.003    0.500      0.364    0.421      0.423    0.806     0.305     13
                 0.636    0.003    0.636      0.636    0.636      0.634    0.816     0.639     14
                 0.639    0.008    0.676      0.639    0.657      0.649    0.855     0.645     15
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     16
                 0.625    0.001    0.714      0.625    0.667      0.666    0.936     0.589     17
                 0.600    0.013    0.600      0.600    0.600      0.587    0.881     0.613     18
                 0.571    0.003    0.500      0.571    0.533      0.532    0.784     0.288     19
                 0.714    0.003    0.556      0.714    0.625      0.628    0.855     0.716     20
                 0.143    0.001    0.500      0.143    0.222      0.265    0.701     0.327     21
                 0.625    0.001    0.909      0.625    0.741      0.752    0.803     0.624     22
                 0.736    0.061    0.317      0.736    0.443      0.454    0.919     0.393     23
                 0.893    0.004    0.806      0.893    0.847      0.845    0.944     0.895     24
                 0.933    0.004    0.700      0.933    0.800      0.806    0.999     0.880     25
                 0.857    0.001    0.857      0.857    0.857      0.856    0.928     0.735     26
                 0.683    0.037    0.533      0.683    0.599      0.576    0.855     0.553     27
                 0.722    0.003    0.765      0.722    0.743      0.740    0.971     0.804     28
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.658     0.106     29
                 0.800    0.001    0.889      0.800    0.842      0.842    0.899     0.713     30
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     31
                 1.000    0.006    0.791      1.000    0.883      0.886    0.996     0.734     32
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.589     0.011     33
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     34
