
 Results 
=====

Correctly Classified Instances         995               78.6561 %
Incorrectly Classified Instances       270               21.3439 %
Kappa statistic                          0.7707
K&B Relative Info Score              95426.3017 %
K&B Information Score                 4758.8349 bits      3.7619 bits/instance
Class complexity | order 0            6179.9305 bits      4.8853 bits/instance
Class complexity | scheme           170211.5546 bits    134.5546 bits/instance
Complexity improvement     (Sf)    -164031.624  bits   -129.6693 bits/instance
Mean absolute error                      0.0068
Root mean squared error                  0.0693
Relative absolute error                 25.6282 %
Root relative squared error             60.326  %
Coverage of cases (0.95 level)          86.087  %
Mean rel. region size (0.95 level)       3.2344 %
Total Number of Instances             1265     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.938    0.071    0.520      0.938    0.669      0.668    0.936     0.510     1
                 0.686    0.006    0.833      0.686    0.753      0.747    0.915     0.740     2
                 0.877    0.005    0.914      0.877    0.895      0.889    0.952     0.873     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.815    0.007    0.869      0.815    0.841      0.833    0.948     0.827     5
                 0.864    0.004    0.792      0.864    0.826      0.824    0.996     0.856     6
                 0.556    0.001    0.833      0.556    0.667      0.679    0.883     0.597     7
                 0.652    0.003    0.789      0.652    0.714      0.713    0.863     0.584     8
                 0.750    0.001    0.857      0.750    0.800      0.801    0.934     0.848     9
                 0.696    0.010    0.571      0.696    0.627      0.623    0.923     0.609     10
                 0.915    0.008    0.922      0.915    0.918      0.910    0.954     0.924     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.286    0.004    0.286      0.286    0.286      0.282    0.678     0.271     13
                 0.800    0.005    0.727      0.800    0.762      0.759    0.923     0.802     14
                 0.857    0.001    0.857      0.857    0.857      0.856    0.928     0.858     15
                 0.500    0.001    0.750      0.500    0.600      0.611    0.915     0.779     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.939    0.023    0.900      0.939    0.919      0.901    0.957     0.894     18
                 0.707    0.007    0.763      0.707    0.734      0.726    0.900     0.625     19
                 0.833    0.000    1.000      0.833    0.909      0.913    0.917     0.834     20
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.646     0.019     21
                 0.650    0.003    0.765      0.650    0.703      0.701    0.819     0.609     22
                 0.783    0.007    0.667      0.783    0.720      0.717    0.907     0.791     23
                 0.667    0.005    0.400      0.667    0.500      0.514    0.831     0.668     24
                 0.333    0.000    1.000      0.333    0.500      0.576    0.825     0.562     25
                 0.444    0.009    0.522      0.444    0.480      0.471    0.957     0.369     26
                 0.800    0.000    1.000      0.800    0.889      0.894    0.892     0.801     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     30
                 0.778    0.001    0.875      0.778    0.824      0.824    1.000     0.942     31
                 0.478    0.002    0.786      0.478    0.595      0.608    0.808     0.598     32
                 0.200    0.000    1.000      0.200    0.333      0.447    0.600     0.203     33
                 0.680    0.003    0.810      0.680    0.739      0.737    0.889     0.693     34
                 0.400    0.002    0.500      0.400    0.444      0.445    0.899     0.601     35
                 0.688    0.001    0.917      0.688    0.786      0.792    0.842     0.691     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 0.250    0.002    0.333      0.250    0.286      0.287    0.984     0.190     38
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     39
                 0.750    0.002    0.600      0.750    0.667      0.670    0.874     0.451     40
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     41
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.873     0.326     42
                 0.750    0.000    1.000      0.750    0.857      0.865    0.875     0.752     43
                 0.829    0.003    0.895      0.829    0.861      0.857    0.975     0.815     44
                 0.400    0.003    0.600      0.400    0.480      0.485    0.806     0.454     45
                 0.667    0.000    1.000      0.667    0.800      0.816    0.833     0.667     46
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     47
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     48
                 1.000    0.002    0.600      1.000    0.750      0.774    0.999     0.733     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.826     0.667     50
                 0.789    0.002    0.833      0.789    0.811      0.808    0.918     0.721     51
                 1.000    0.001    0.750      1.000    0.857      0.866    0.999     0.750     52
