
 Results 
=====

Correctly Classified Instances         778               86.0619 %
Incorrectly Classified Instances       126               13.9381 %
Kappa statistic                          0.8415
K&B Relative Info Score              73124.3132 %
K&B Information Score                 2685.7679 bits      2.971  bits/instance
Class complexity | order 0            3247.0909 bits      3.5919 bits/instance
Class complexity | scheme             1881.0208 bits      2.0808 bits/instance
Complexity improvement     (Sf)       1366.0701 bits      1.5111 bits/instance
Mean absolute error                      0.0102
Root mean squared error                  0.0854
Relative absolute error                 16.7185 %
Root relative squared error             48.8708 %
Coverage of cases (0.95 level)          92.3673 %
Mean rel. region size (0.95 level)       4.7147 %
Total Number of Instances              904     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.703    0.003    0.897      0.703    0.788      0.786    0.959     0.802     155
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     156
                 0.333    0.000    1.000      0.333    0.500      0.575    0.960     0.512     157
                 0.875    0.000    1.000      0.875    0.933      0.935    0.998     0.925     158
                 0.810    0.003    0.850      0.810    0.829      0.826    0.997     0.921     159
                 0.500    0.000    1.000      0.500    0.667      0.706    0.927     0.729     160
                 0.987    0.012    0.943      0.987    0.965      0.958    1.000     0.998     161
                 0.000    0.000    0.000      0.000    0.000      0.000    0.774     0.211     162
                 0.800    0.000    1.000      0.800    0.889      0.894    1.000     1.000     163
                 0.500    0.000    1.000      0.500    0.667      0.706    0.988     0.770     164
                 0.781    0.027    0.773      0.781    0.777      0.751    0.961     0.842     165
                 0.750    0.000    1.000      0.750    0.857      0.866    0.999     0.917     166
                 0.333    0.004    0.200      0.333    0.250      0.255    0.559     0.086     167
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     168
                 0.000    0.000    0.000      0.000    0.000      0.000    0.805     0.669     169
                 0.915    0.044    0.735      0.915    0.815      0.794    0.990     0.944     170
                 0.667    0.000    1.000      0.667    0.800      0.816    0.751     0.668     171
                 0.000    0.000    0.000      0.000    0.000      0.000    0.259     0.002     172
                 0.000    0.002    0.000      0.000    0.000      -0.002   0.117     0.002     173
                 0.571    0.000    1.000      0.571    0.727      0.755    0.969     0.842     174
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     175
                 0.000    0.000    0.000      0.000    0.000      0.000    0.166     0.002     176
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.071     177
                 0.977    0.008    0.966      0.977    0.972      0.965    0.999     0.996     178
                 0.836    0.025    0.821      0.836    0.829      0.805    0.985     0.925     179
                 0.900    0.007    0.750      0.900    0.818      0.817    0.978     0.912     180
                 0.615    0.000    1.000      0.615    0.762      0.782    0.992     0.803     182
                 0.824    0.019    0.778      0.824    0.800      0.784    0.990     0.919     183
                 0.929    0.000    1.000      0.929    0.963      0.963    1.000     1.000     184
Weighted Avg.    0.861    0.017    0.858      0.861    0.853      0.843    0.979     0.918     
