
 Results 
=====

Correctly Classified Instances        1141               90.1976 %
Incorrectly Classified Instances       124                9.8024 %
Kappa statistic                          0.8949
K&B Relative Info Score             109892.0209 %
K&B Information Score                 5480.229  bits      4.3322 bits/instance
Class complexity | order 0            6179.9305 bits      4.8853 bits/instance
Class complexity | scheme             3825.6488 bits      3.0242 bits/instance
Complexity improvement     (Sf)       2354.2817 bits      1.8611 bits/instance
Mean absolute error                      0.0028
Root mean squared error                  0.0476
Relative absolute error                 10.7494 %
Root relative squared error             41.4972 %
Coverage of cases (0.95 level)          92.7273 %
Mean rel. region size (0.95 level)       1.6489 %
Total Number of Instances             1265     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.979    0.022    0.783      0.979    0.870      0.865    0.999     0.986     1
                 0.863    0.010    0.786      0.863    0.822      0.816    0.986     0.923     2
                 0.973    0.001    0.986      0.973    0.979      0.978    1.000     0.998     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.892    0.013    0.795      0.892    0.841      0.833    0.995     0.954     5
                 0.955    0.001    0.955      0.955    0.955      0.954    0.999     0.979     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.870    0.004    0.800      0.870    0.833      0.831    0.997     0.929     8
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     9
                 0.826    0.001    0.950      0.826    0.884      0.884    0.997     0.923     10
                 0.966    0.004    0.958      0.966    0.962      0.958    0.997     0.985     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.429    0.002    0.500      0.429    0.462      0.460    0.989     0.604     13
                 0.900    0.001    0.947      0.900    0.923      0.922    0.998     0.958     14
                 0.857    0.000    1.000      0.857    0.923      0.925    0.965     0.860     15
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.965    0.015    0.933      0.965    0.949      0.937    0.994     0.981     18
                 0.902    0.011    0.725      0.902    0.804      0.802    0.996     0.932     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.667    0.000    1.000      0.667    0.800      0.816    0.984     0.744     21
                 0.850    0.000    1.000      0.850    0.919      0.921    0.995     0.929     22
                 0.826    0.002    0.905      0.826    0.864      0.862    0.998     0.935     23
                 0.833    0.000    1.000      0.833    0.909      0.913    0.988     0.844     24
                 0.833    0.000    1.000      0.833    0.909      0.913    0.988     0.844     25
                 0.889    0.004    0.828      0.889    0.857      0.854    0.991     0.892     26
                 0.800    0.000    1.000      0.800    0.889      0.894    0.990     0.815     27
                 0.600    0.000    1.000      0.600    0.750      0.774    1.000     1.000     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     30
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     31
                 0.739    0.005    0.739      0.739    0.739      0.734    0.982     0.837     32
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     33
                 0.920    0.002    0.885      0.920    0.902      0.900    0.999     0.956     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.750    0.001    0.923      0.750    0.828      0.830    0.983     0.801     36
                 0.750    0.000    1.000      0.750    0.857      0.866    1.000     1.000     37
                 0.750    0.000    1.000      0.750    0.857      0.866    1.000     0.917     38
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     39
                 0.500    0.000    1.000      0.500    0.667      0.707    0.999     0.830     40
                 0.750    0.000    1.000      0.750    0.857      0.866    1.000     1.000     41
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     42
                 0.875    0.000    1.000      0.875    0.933      0.935    0.998     0.917     43
                 0.927    0.002    0.927      0.927    0.927      0.924    0.997     0.970     44
                 0.933    0.002    0.824      0.933    0.875      0.875    0.999     0.970     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     47
                 0.667    0.000    1.000      0.667    0.800      0.816    0.997     0.738     48
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     49
                 0.667    0.000    1.000      0.667    0.800      0.816    0.695     0.668     50
                 0.947    0.000    1.000      0.947    0.973      0.973    0.999     0.977     51
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     0.917     52
                 1.000    0.001    0.750      1.000    0.857      0.866    0.999     0.639     53
                 0.667    0.000    1.000      0.667    0.800      0.816    0.998     0.778     54
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     55
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     56
                 0.889    0.000    1.000      0.889    0.941      0.942    0.993     0.900     57
                 0.667    0.000    1.000      0.667    0.800      0.816    0.698     0.668     58
                 0.333    0.000    1.000      0.333    0.500      0.577    0.983     0.387     59
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.352     0.002     61
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     62
                 0.866    0.000    1.000      0.866    0.928      0.927    0.999     0.986     63
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     64
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.209     0.001     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.150     0.001     67
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     68
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     69
                 0.000    0.000    0.000      0.000    0.000      0.000    0.261     0.002     70
                 0.000    0.000    0.000      0.000    0.000      0.000    0.205     0.001     71
Weighted Avg.    0.902    0.007    0.902      0.902    0.897      0.894    0.988     0.947     
