
 Results 
=====

Correctly Classified Instances         786               86.9469 %
Incorrectly Classified Instances       118               13.0531 %
Kappa statistic                          0.8509
K&B Relative Info Score              62296.1904 %
K&B Information Score                 2288.064  bits      2.531  bits/instance
Class complexity | order 0            3247.0909 bits      3.5919 bits/instance
Class complexity | scheme            19092.1557 bits     21.1196 bits/instance
Complexity improvement     (Sf)     -15845.0648 bits    -17.5277 bits/instance
Mean absolute error                      0.0274
Root mean squared error                  0.0984
Relative absolute error                 44.8376 %
Root relative squared error             56.3404 %
Coverage of cases (0.95 level)          97.7876 %
Mean rel. region size (0.95 level)      21.2313 %
Total Number of Instances              904     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.757    0.006    0.848      0.757    0.800      0.793    0.990     0.847     155
                 0.778    0.000    1.000      0.778    0.875      0.881    1.000     1.000     156
                 0.333    0.001    0.750      0.333    0.462      0.497    0.918     0.501     157
                 0.625    0.000    1.000      0.625    0.769      0.789    0.999     0.952     158
                 0.571    0.003    0.800      0.571    0.667      0.670    0.975     0.761     159
                 0.500    0.000    1.000      0.500    0.667      0.706    0.903     0.834     160
                 0.987    0.011    0.949      0.987    0.968      0.961    0.999     0.996     161
                 0.000    0.000    0.000      0.000    0.000      0.000    0.692     0.018     162
                 0.800    0.000    1.000      0.800    0.889      0.894    1.000     1.000     163
                 0.000    0.000    0.000      0.000    0.000      0.000    0.856     0.545     164
                 0.833    0.012    0.889      0.833    0.860      0.845    0.970     0.889     165
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     166
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.812     0.084     167
                 1.000    0.001    0.750      1.000    0.857      0.866    1.000     1.000     168
                 0.000    0.000    0.000      0.000    0.000      0.000    0.819     0.279     169
                 0.991    0.054    0.709      0.991    0.827      0.814    0.993     0.952     170
                 0.000    0.000    0.000      0.000    0.000      0.000    0.813     0.668     171
                 0.000    0.000    0.000      0.000    0.000      0.000    0.480     0.002     172
                 0.000    0.000    0.000      0.000    0.000      0.000    0.467     0.002     173
                 0.571    0.000    1.000      0.571    0.727      0.755    0.995     0.780     174
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     175
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.002     176
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.001     177
                 0.994    0.016    0.935      0.994    0.964      0.956    1.000     0.999     178
                 0.918    0.025    0.835      0.918    0.874      0.857    0.988     0.960     179
                 0.800    0.002    0.889      0.800    0.842      0.840    0.991     0.893     180
                 0.385    0.001    0.833      0.385    0.526      0.562    0.925     0.570     182
                 0.809    0.012    0.846      0.809    0.827      0.814    0.982     0.908     183
                 0.893    0.000    1.000      0.893    0.943      0.943    1.000     1.000     184
Weighted Avg.    0.869    0.017    0.855      0.869    0.854      0.847    0.981     0.920     
