
 Results 
=====

Correctly Classified Instances         327               88.8587 %
Incorrectly Classified Instances        41               11.1413 %
Kappa statistic                          0.8372
K&B Relative Info Score              27725.4101 %
K&B Information Score                  740.8635 bits      2.0132 bits/instance
Class complexity | order 0             952.2911 bits      2.5877 bits/instance
Class complexity | scheme              414.2371 bits      1.1256 bits/instance
Complexity improvement     (Sf)        538.054  bits      1.4621 bits/instance
Mean absolute error                      0.0294
Root mean squared error                  0.1082
Relative absolute error                 30.1919 %
Root relative squared error             49.3875 %
Coverage of cases (0.95 level)          98.0978 %
Mean rel. region size (0.95 level)      20.163  %
Total Number of Instances              368     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     197
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     198
                 0.000    0.000    0.000      0.000    0.000      0.000    0.116     0.005     199
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     200
                 0.000    0.000    0.000      0.000    0.000      0.000    0.403     0.007     201
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     202
                 0.983    0.176    0.844      0.983    0.908      0.816    0.983     0.983     203
                 0.727    0.009    0.889      0.727    0.800      0.787    0.966     0.911     204
                 0.963    0.003    0.963      0.963    0.963      0.960    0.999     0.989     205
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     206
                 0.286    0.000    1.000      0.286    0.444      0.531    0.875     0.724     207
                 0.500    0.000    1.000      0.500    0.667      0.704    0.951     0.565     208
                 0.944    0.000    1.000      0.944    0.971      0.969    0.995     0.983     209
                 0.700    0.012    0.875      0.700    0.778      0.760    0.979     0.888     210
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     211
Weighted Avg.    0.889    0.089    0.886      0.889    0.877      0.830    0.974     0.946     
