
 Results 
=====

Correctly Classified Instances        1258               88.654  %
Incorrectly Classified Instances       161               11.346  %
Kappa statistic                          0.8835
K&B Relative Info Score             117367.5441 %
K&B Information Score                 6953.3037 bits      4.9001 bits/instance
Class complexity | order 0            8297.1524 bits      5.8472 bits/instance
Class complexity | scheme             2244.0174 bits      1.5814 bits/instance
Complexity improvement     (Sf)       6053.135  bits      4.2658 bits/instance
Mean absolute error                      0.0064
Root mean squared error                  0.0477
Relative absolute error                 32.8429 %
Root relative squared error             48.3455 %
Coverage of cases (0.95 level)          98.0973 %
Mean rel. region size (0.95 level)      11.2777 %
Total Number of Instances             1419     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.983    0.001    0.983      0.983    0.983      0.983    0.990     0.981     1
                 0.986    0.001    0.986      0.986    0.986      0.985    1.000     0.999     2
                 0.947    0.007    0.844      0.947    0.893      0.889    0.990     0.950     3
                 0.762    0.005    0.696      0.762    0.727      0.724    0.995     0.802     4
                 0.981    0.000    1.000      0.981    0.991      0.990    0.999     0.990     5
                 1.000    0.001    0.969      1.000    0.984      0.984    1.000     1.000     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.900    0.010    0.763      0.900    0.826      0.822    0.994     0.908     8
                 0.923    0.001    0.923      0.923    0.923      0.922    0.999     0.967     9
                 0.963    0.001    0.929      0.963    0.945      0.945    0.987     0.965     10
                 0.850    0.001    0.944      0.850    0.895      0.895    0.995     0.852     11
                 1.000    0.001    0.957      1.000    0.978      0.977    1.000     0.996     12
                 0.727    0.001    0.889      0.727    0.800      0.803    0.933     0.740     13
                 0.909    0.000    1.000      0.909    0.952      0.953    1.000     1.000     14
                 0.861    0.002    0.912      0.861    0.886      0.883    0.996     0.951     15
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     16
                 0.625    0.001    0.833      0.625    0.714      0.720    0.998     0.839     17
                 0.867    0.007    0.813      0.867    0.839      0.834    0.989     0.899     18
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     19
                 0.857    0.000    1.000      0.857    0.923      0.925    0.996     0.878     20
                 0.571    0.000    1.000      0.571    0.727      0.755    0.904     0.647     21
                 0.875    0.002    0.824      0.875    0.848      0.847    0.994     0.908     22
                 0.811    0.021    0.597      0.811    0.688      0.683    0.987     0.858     23
                 0.964    0.003    0.871      0.964    0.915      0.915    0.996     0.970     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.857    0.000    1.000      0.857    0.923      0.925    0.903     0.858     26
                 0.915    0.018    0.758      0.915    0.829      0.821    0.992     0.918     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 0.667    0.001    0.800      0.667    0.727      0.729    0.990     0.681     29
                 0.900    0.000    1.000      0.900    0.947      0.948    0.989     0.906     30
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     31
                 1.000    0.004    0.850      1.000    0.919      0.920    0.996     0.685     32
                 0.800    0.000    1.000      0.800    0.889      0.894    0.995     0.827     33
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     34
                 0.800    0.000    1.000      0.800    0.889      0.894    0.925     0.802     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 0.400    0.000    1.000      0.400    0.571      0.632    0.945     0.418     38
                 0.800    0.001    0.800      0.800    0.800      0.799    0.996     0.829     39
                 1.000    0.001    0.833      1.000    0.909      0.913    1.000     1.000     40
                 0.200    0.000    1.000      0.200    0.333      0.447    0.923     0.247     41
                 0.500    0.000    1.000      0.500    0.667      0.707    0.999     0.775     42
                 0.788    0.001    0.929      0.788    0.852      0.852    0.994     0.871     43
                 0.750    0.000    1.000      0.750    0.857      0.866    0.996     0.781     44
                 0.750    0.001    0.750      0.750    0.750      0.749    1.000     0.950     45
                 0.833    0.000    1.000      0.833    0.909      0.912    0.983     0.849     46
                 0.935    0.001    0.935      0.935    0.935      0.934    1.000     0.996     47
                 0.933    0.000    1.000      0.933    0.966      0.965    0.994     0.960     48
                 1.000    0.001    0.962      1.000    0.980      0.980    1.000     1.000     49
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     50
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     51
                 0.667    0.000    1.000      0.667    0.800      0.816    0.999     0.833     52
                 0.667    0.000    1.000      0.667    0.800      0.816    0.998     0.738     53
                 0.667    0.000    1.000      0.667    0.800      0.816    0.859     0.668     54
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     55
                 0.333    0.000    1.000      0.333    0.500      0.577    1.000     1.000     56
                 0.938    0.003    0.882      0.938    0.909      0.907    0.999     0.973     57
                 0.972    0.004    0.854      0.972    0.909      0.909    0.999     0.973     58
                 1.000    0.001    0.750      1.000    0.857      0.866    1.000     1.000     59
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     0.917     60
                 0.732    0.004    0.857      0.732    0.789      0.786    0.985     0.856     61
                 0.667    0.001    0.667      0.667    0.667      0.666    0.999     0.833     62
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     63
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     64
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     65
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.841     0.072     66
                 0.900    0.001    0.947      0.900    0.923      0.922    0.970     0.909     67
