
 Results 
=====

Correctly Classified Instances        1253               85.5874 %
Incorrectly Classified Instances       211               14.4126 %
Kappa statistic                          0.8494
K&B Relative Info Score             117503.9919 %
K&B Information Score                 6462.9026 bits      4.4146 bits/instance
Class complexity | order 0            7924.5444 bits      5.4129 bits/instance
Class complexity | scheme             2642.2947 bits      1.8048 bits/instance
Complexity improvement     (Sf)       5282.2498 bits      3.6081 bits/instance
Mean absolute error                      0.0074
Root mean squared error                  0.054 
Relative absolute error                 33.1613 %
Root relative squared error             51.0926 %
Coverage of cases (0.95 level)          97.4727 %
Mean rel. region size (0.95 level)      11.0521 %
Total Number of Instances             1464     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.954    0.030    0.832      0.954    0.889      0.873    0.993     0.967     1
                 0.806    0.009    0.817      0.806    0.811      0.802    0.991     0.873     2
                 0.800    0.016    0.693      0.800    0.743      0.732    0.978     0.891     3
                 0.841    0.001    0.949      0.841    0.892      0.890    0.979     0.908     4
                 0.837    0.004    0.857      0.837    0.847      0.843    0.995     0.916     5
                 0.800    0.005    0.821      0.800    0.810      0.805    0.983     0.864     6
                 0.887    0.008    0.833      0.887    0.859      0.853    0.980     0.933     7
                 0.885    0.004    0.902      0.885    0.893      0.889    0.998     0.952     8
                 0.828    0.003    0.857      0.828    0.842      0.839    0.988     0.879     9
                 0.857    0.004    0.750      0.857    0.800      0.799    0.992     0.784     10
                 0.952    0.000    1.000      0.952    0.976      0.976    0.999     0.979     11
                 0.794    0.005    0.794      0.794    0.794      0.789    0.981     0.869     12
                 0.915    0.002    0.935      0.915    0.925      0.922    0.991     0.945     13
                 0.688    0.001    0.846      0.688    0.759      0.760    0.942     0.763     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.667    0.001    0.857      0.667    0.750      0.753    0.980     0.778     16
                 0.778    0.009    0.683      0.778    0.727      0.722    0.986     0.721     17
                 0.727    0.000    1.000      0.727    0.842      0.852    0.929     0.736     18
                 0.923    0.001    0.960      0.923    0.941      0.940    0.990     0.936     19
                 1.000    0.001    0.960      1.000    0.980      0.979    1.000     0.997     20
                 1.000    0.001    0.875      1.000    0.933      0.935    1.000     1.000     21
                 0.900    0.001    0.818      0.900    0.857      0.857    1.000     0.971     22
                 0.879    0.001    0.935      0.879    0.906      0.905    0.984     0.907     23
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     24
                 0.667    0.000    1.000      0.667    0.800      0.816    0.999     0.845     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.600    0.000    1.000      0.600    0.750      0.774    0.971     0.694     27
                 0.980    0.001    0.961      0.980    0.970      0.969    1.000     0.997     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     0.995     29
                 0.846    0.001    0.917      0.846    0.880      0.880    0.971     0.860     30
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     31
                 0.400    0.003    0.333      0.400    0.364      0.363    0.982     0.188     32
