
 Results 
=====

Correctly Classified Instances        1148               90.751  %
Incorrectly Classified Instances       117                9.249  %
Kappa statistic                          0.9007
K&B Relative Info Score             105605.8472 %
K&B Information Score                 5266.4809 bits      4.1632 bits/instance
Class complexity | order 0            6179.9305 bits      4.8853 bits/instance
Class complexity | scheme             2863.4246 bits      2.2636 bits/instance
Complexity improvement     (Sf)       3316.506  bits      2.6217 bits/instance
Mean absolute error                      0.0072
Root mean squared error                  0.0496
Relative absolute error                 27.3815 %
Root relative squared error             43.1648 %
Coverage of cases (0.95 level)          98.498  %
Mean rel. region size (0.95 level)       9.5942 %
Total Number of Instances             1265     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.979    0.034    0.701      0.979    0.817      0.813    0.998     0.982     1
                 0.863    0.004    0.898      0.863    0.880      0.875    0.994     0.936     2
                 0.986    0.002    0.973      0.986    0.980      0.978    1.000     0.999     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.877    0.006    0.891      0.877    0.884      0.878    0.996     0.963     5
                 0.955    0.002    0.913      0.955    0.933      0.932    0.988     0.955     6
                 0.889    0.001    0.889      0.889    0.889      0.888    1.000     1.000     7
                 0.957    0.002    0.880      0.957    0.917      0.916    0.995     0.929     8
                 0.875    0.000    1.000      0.875    0.933      0.935    1.000     0.975     9
                 0.826    0.002    0.905      0.826    0.864      0.862    0.993     0.897     10
                 0.974    0.003    0.974      0.974    0.974      0.972    0.998     0.990     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.429    0.001    0.750      0.429    0.545      0.565    0.943     0.504     13
                 0.850    0.000    1.000      0.850    0.919      0.921    0.997     0.934     14
                 0.857    0.000    1.000      0.857    0.923      0.925    0.956     0.860     15
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.974    0.021    0.911      0.974    0.941      0.929    0.997     0.990     18
                 0.902    0.009    0.771      0.902    0.831      0.828    0.993     0.918     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.500    0.000    1.000      0.500    0.667      0.706    0.978     0.692     21
                 0.850    0.001    0.944      0.850    0.895      0.894    0.994     0.919     22
                 0.826    0.001    0.950      0.826    0.884      0.884    0.982     0.897     23
                 0.833    0.000    1.000      0.833    0.909      0.913    0.999     0.910     24
                 0.833    0.000    1.000      0.833    0.909      0.913    0.965     0.837     25
                 0.815    0.006    0.759      0.815    0.786      0.781    0.990     0.857     26
                 0.800    0.000    1.000      0.800    0.889      0.894    1.000     1.000     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     30
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     31
                 0.783    0.001    0.947      0.783    0.857      0.859    0.988     0.850     32
                 0.600    0.000    1.000      0.600    0.750      0.774    1.000     1.000     33
                 0.800    0.001    0.952      0.800    0.870      0.871    0.999     0.956     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.750    0.001    0.923      0.750    0.828      0.830    0.998     0.924     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 0.750    0.000    1.000      0.750    0.857      0.866    1.000     0.917     38
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     39
                 0.500    0.000    1.000      0.500    0.667      0.707    0.999     0.854     40
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     41
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     42
                 0.875    0.000    1.000      0.875    0.933      0.935    1.000     0.986     43
                 0.927    0.002    0.950      0.927    0.938      0.936    0.999     0.989     44
                 0.733    0.001    0.917      0.733    0.815      0.818    0.995     0.934     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     47
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     48
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     49
                 0.667    0.000    1.000      0.667    0.800      0.816    0.695     0.668     50
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     0.997     51
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     0.917     52
                 1.000    0.001    0.750      1.000    0.857      0.866    0.999     0.639     53
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     54
                 1.000    0.001    0.750      1.000    0.857      0.866    1.000     1.000     55
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     56
                 0.889    0.000    1.000      0.889    0.941      0.942    0.984     0.894     57
                 0.667    0.000    1.000      0.667    0.800      0.816    0.987     0.684     58
                 0.333    0.000    1.000      0.333    0.500      0.577    0.998     0.633     59
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.602     0.043     61
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     62
                 0.925    0.000    1.000      0.925    0.961      0.960    0.999     0.991     63
                 1.000    0.001    0.667      1.000    0.800      0.816    1.000     1.000     64
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.203     0.001     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.148     0.001     67
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     68
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     69
                 0.000    0.000    0.000      0.000    0.000      0.000    0.257     0.002     70
                 0.000    0.000    0.000      0.000    0.000      0.000    0.200     0.001     71
Weighted Avg.    0.908    0.008    0.909      0.908    0.903      0.900    0.989     0.952     
