
 Results 
=====

Correctly Classified Instances         142               56.3492 %
Incorrectly Classified Instances       110               43.6508 %
Kappa statistic                          0.4004
K&B Relative Info Score               8241.9532 %
K&B Information Score                  390.7596 bits      1.5506 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme            66908.1607 bits    265.5086 bits/instance
Complexity improvement     (Sf)     -65781.4548 bits   -261.0375 bits/instance
Mean absolute error                      0.0181
Root mean squared error                  0.1046
Relative absolute error                 63.9623 %
Root relative squared error             89.301  %
Coverage of cases (0.95 level)          72.2222 %
Mean rel. region size (0.95 level)      22.0531 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.500    0.008    0.667      0.500    0.571      0.566    0.931     0.370     1
                 0.000    0.012    0.000      0.000    0.000      -0.007   0.494     0.004     2
                 0.941    0.470    0.572      0.941    0.712      0.486    0.742     0.587     3
                 1.000    0.004    0.857      1.000    0.923      0.924    1.000     1.000     4
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.234     0.008     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 0.000    0.012    0.000      0.000    0.000      -0.012   0.594     0.017     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.654     0.044     8
                 0.286    0.000    1.000      0.286    0.444      0.529    0.819     0.355     9
                 0.200    0.012    0.250      0.200    0.222      0.210    0.694     0.095     10
                 0.000    0.012    0.000      0.000    0.000      -0.007   0.494     0.004     11
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.494     0.004     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.004     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.004     14
                 0.286    0.034    0.333      0.286    0.308      0.271    0.583     0.329     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.215     0.004     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.750    0.004    0.750      0.750    0.750      0.746    0.808     0.754     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.933     0.056     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.939     0.062     20
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.366     0.008     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.008     22
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.230     0.008     23
                 0.429    0.008    0.600      0.429    0.500      0.495    0.743     0.454     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.243     0.004     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.747     0.254     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.018     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.211     0.004     29
                 1.000    0.008    0.600      1.000    0.750      0.771    0.993     0.533     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.213     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.211     0.004     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.261     0.012     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.239     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.484     0.004     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.939     0.062     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.356     0.008     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.693     0.042     38
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.494     0.004     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.004     40
                 0.667    0.000    1.000      0.667    0.800      0.812    0.762     0.679     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.480     0.008     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.245     0.004     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.938     0.061     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.486     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.942     0.065     46
                 1.000    0.004    0.750      1.000    0.857      0.864    0.997     0.667     47
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.992     0.417     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.243     0.004     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.004     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.215     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.430     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.275     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.243     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.247     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.207     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.213     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     61
Weighted Avg.    0.563    0.192    0.450      0.563    0.480      0.390    0.701     0.422     
