
 Results 
=====

Correctly Classified Instances         103               50.7389 %
Incorrectly Classified Instances       100               49.2611 %
Kappa statistic                          0.4852
K&B Relative Info Score               9440.8899 %
K&B Information Score                  536.8678 bits      2.6447 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme            87093.3052 bits    429.0311 bits/instance
Complexity improvement     (Sf)     -85928.515  bits   -423.2932 bits/instance
Mean absolute error                      0.0175
Root mean squared error                  0.1066
Relative absolute error                 59.3099 %
Root relative squared error             87.8072 %
Coverage of cases (0.95 level)          59.1133 %
Mean rel. region size (0.95 level)       5.7173 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.824    0.038    0.667      0.824    0.737      0.715    0.953     0.760     1
                 0.500    0.010    0.333      0.500    0.400      0.401    0.989     0.367     2
                 1.000    0.010    0.500      1.000    0.667      0.704    0.993     0.417     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 1.000    0.021    0.667      1.000    0.800      0.808    0.990     0.667     7
                 0.667    0.005    0.667      0.667    0.667      0.662    0.833     0.672     8
                 0.750    0.005    0.857      0.750    0.800      0.794    0.872     0.742     9
                 0.667    0.000    1.000      0.667    0.800      0.814    0.833     0.672     10
                 0.400    0.045    0.182      0.400    0.250      0.243    0.614     0.060     11
                 0.750    0.016    0.750      0.750    0.750      0.734    0.867     0.735     12
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.433     0.010     13
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.415     0.010     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.005     15
                 0.889    0.000    1.000      0.889    0.941      0.940    0.943     0.894     16
                 0.000    0.015    0.000      0.000    0.000      -0.019   0.538     0.031     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.005     18
                 0.500    0.015    0.250      0.500    0.333      0.345    0.739     0.130     19
