
 Results 
=====

Correctly Classified Instances         148               49.0066 %
Incorrectly Classified Instances       154               50.9934 %
Kappa statistic                          0.4573
K&B Relative Info Score              13003.5398 %
K&B Information Score                  714.8825 bits      2.3672 bits/instance
Class complexity | order 0            1623.5659 bits      5.376  bits/instance
Class complexity | scheme           119415.7508 bits    395.4164 bits/instance
Complexity improvement     (Sf)    -117792.1849 bits   -390.0403 bits/instance
Mean absolute error                      0.0162
Root mean squared error                  0.1015
Relative absolute error                 59.9214 %
Root relative squared error             87.4285 %
Coverage of cases (0.95 level)          62.5828 %
Mean rel. region size (0.95 level)       6.3007 %
Total Number of Instances              302     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.421    0.025    0.533      0.421    0.471      0.443    0.765     0.472     1
                 0.778    0.025    0.667      0.778    0.718      0.701    0.867     0.791     2
                 0.683    0.138    0.438      0.683    0.533      0.457    0.835     0.562     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.333    0.003    0.500      0.333    0.400      0.403    0.831     0.503     5
                 0.750    0.007    0.600      0.750    0.667      0.666    0.874     0.753     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.000    0.007    0.000      0.000    0.000      -0.007   0.745     0.170     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.792     0.059     9
                 0.615    0.042    0.400      0.615    0.485      0.468    0.919     0.437     10
                 0.636    0.003    0.875      0.636    0.737      0.738    0.872     0.599     11
                 0.875    0.000    1.000      0.875    0.933      0.934    0.935     0.878     12
                 0.333    0.010    0.400      0.333    0.364      0.353    0.788     0.161     13
                 0.421    0.046    0.381      0.421    0.400      0.358    0.826     0.306     14
                 0.706    0.021    0.667      0.706    0.686      0.667    0.863     0.750     15
                 0.818    0.031    0.500      0.818    0.621      0.623    0.882     0.388     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.003     17
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.465     0.010     18
                 0.200    0.010    0.250      0.200    0.222      0.212    0.874     0.250     19
                 0.600    0.003    0.750      0.600    0.667      0.666    0.764     0.423     20
                 0.500    0.031    0.357      0.500    0.417      0.399    0.706     0.215     21
                 0.588    0.070    0.333      0.588    0.426      0.399    0.819     0.488     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.003     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.483     0.003     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.003     25
                 0.000    0.007    0.000      0.000    0.000      -0.007   0.744     0.170     26
                 0.000    0.007    0.000      0.000    0.000      -0.007   0.445     0.007     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.480     0.003     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     29
                 0.667    0.000    1.000      0.667    0.800      0.815    0.833     0.670     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.586     0.016     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.487     0.003     32
                 0.000    0.003    0.000      0.000    0.000      -0.007   0.581     0.038     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.483     0.003     35
                 0.000    0.007    0.000      0.000    0.000      -0.007   0.477     0.007     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.003     39
                 0.000    0.030    0.000      0.000    0.000      -0.014   0.728     0.066     40
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.497     0.003     41
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.487     0.003     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.003     44
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.495     0.003     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.003     46
