
 Results 
=====

Correctly Classified Instances         112               55.1724 %
Incorrectly Classified Instances        91               44.8276 %
Kappa statistic                          0.5343
K&B Relative Info Score              10991.9575 %
K&B Information Score                  625.0711 bits      3.0792 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme             1432.576  bits      7.057  bits/instance
Complexity improvement     (Sf)       -267.7859 bits     -1.3191 bits/instance
Mean absolute error                      0.0137
Root mean squared error                  0.1035
Relative absolute error                 46.4475 %
Root relative squared error             85.2424 %
Coverage of cases (0.95 level)          62.069  %
Mean rel. region size (0.95 level)       3.202  %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.824    0.016    0.824      0.824    0.824      0.807    0.957     0.734     1
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     2
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.333    0.005    0.500      0.333    0.400      0.401    0.997     0.806     6
                 0.625    0.015    0.625      0.625    0.625      0.610    0.972     0.495     7
                 0.667    0.000    1.000      0.667    0.800      0.814    0.977     0.725     8
                 0.875    0.021    0.636      0.875    0.737      0.734    0.951     0.887     9
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     10
                 0.000    0.015    0.000      0.000    0.000      -0.019   0.821     0.073     11
                 0.833    0.021    0.714      0.833    0.769      0.756    0.940     0.858     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.644     0.022     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.618     0.027     14
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.990     0.333     15
                 0.889    0.005    0.889      0.889    0.889      0.884    0.946     0.899     16
                 0.000    0.051    0.000      0.000    0.000      -0.036   0.611     0.035     17
