
 Results 
=====

Correctly Classified Instances         191               63.245  %
Incorrectly Classified Instances       111               36.755  %
Kappa statistic                          0.612 
K&B Relative Info Score              17467.3298 %
K&B Information Score                  960.2838 bits      3.1797 bits/instance
Class complexity | order 0            1623.5659 bits      5.376  bits/instance
Class complexity | scheme             1883.8809 bits      6.238  bits/instance
Complexity improvement     (Sf)       -260.315  bits     -0.862  bits/instance
Mean absolute error                      0.0109
Root mean squared error                  0.0897
Relative absolute error                 40.1788 %
Root relative squared error             77.2475 %
Coverage of cases (0.95 level)          72.8477 %
Mean rel. region size (0.95 level)       2.9755 %
Total Number of Instances              302     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.737    0.028    0.636      0.737    0.683      0.662    0.962     0.772     1
                 0.889    0.046    0.552      0.889    0.681      0.677    0.963     0.904     2
                 0.829    0.023    0.850      0.829    0.840      0.815    0.950     0.891     3
                 0.800    0.000    1.000      0.800    0.889      0.893    0.999     0.943     4
                 0.667    0.000    1.000      0.667    0.800      0.815    0.999     0.917     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     8
                 0.667    0.007    0.500      0.667    0.571      0.573    0.793     0.672     9
                 0.615    0.010    0.727      0.615    0.667      0.655    0.986     0.799     10
                 0.818    0.017    0.643      0.818    0.720      0.714    0.982     0.858     11
                 0.875    0.000    1.000      0.875    0.933      0.934    0.924     0.880     12
                 0.667    0.007    0.667      0.667    0.667      0.660    0.886     0.684     13
                 0.579    0.071    0.355      0.579    0.440      0.407    0.923     0.392     14
                 0.706    0.046    0.480      0.706    0.571      0.552    0.905     0.716     15
                 0.909    0.007    0.833      0.909    0.870      0.865    0.978     0.887     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.930     0.045     17
                 0.000    0.013    0.000      0.000    0.000      -0.012   0.606     0.030     18
                 0.600    0.010    0.500      0.600    0.545      0.539    0.862     0.385     19
                 0.600    0.003    0.750      0.600    0.667      0.666    0.864     0.655     20
                 0.500    0.003    0.833      0.500    0.625      0.637    0.945     0.630     21
                 0.706    0.032    0.571      0.706    0.632      0.611    0.933     0.776     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.944     0.056     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.967     0.091     24
                 0.000    0.033    0.000      0.000    0.000      -0.011   0.960     0.077     25
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     26
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.167     29
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     30
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.780     0.056     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.947     0.059     32
                 0.800    0.000    1.000      0.800    0.889      0.893    0.850     0.804     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.973     0.111     34
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.927     0.043     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.133     0.006     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.143     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.130     0.006     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.071     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.934     0.048     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.944     0.056     43
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.860     0.023     45
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.884     0.028     46
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.917     0.038     47
                 0.667    0.000    1.000      0.667    0.800      0.815    0.999     0.917     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.950     0.063     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.900     0.032     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.940     0.053     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.890     0.515     52
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.907     0.034     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.963     0.083     56
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.958     0.071     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     58
                 0.500    0.003    0.667      0.500    0.571      0.573    0.888     0.327     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.077     61
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.250     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.924     0.042     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.947     0.059     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.937     0.050     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.143     67
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.500     68
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.950     0.063     69
                 0.000    0.000    0.000      0.000    0.000      0.000    0.907     0.034     70
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.077     71
Weighted Avg.    0.632    0.019    0.609      0.632    0.610      0.601    0.932     0.688     
