
 Results 
=====

Correctly Classified Instances         226               72.4359 %
Incorrectly Classified Instances        86               27.5641 %
Kappa statistic                          0.7079
K&B Relative Info Score              21861.956  %
K&B Information Score                 1117.693  bits      3.5823 bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme             1285.9044 bits      4.1215 bits/instance
Complexity improvement     (Sf)        286.7834 bits      0.9192 bits/instance
Mean absolute error                      0.0111
Root mean squared error                  0.089 
Relative absolute error                 30.381  %
Root relative squared error             65.8158 %
Coverage of cases (0.95 level)          80.7692 %
Mean rel. region size (0.95 level)       3.7352 %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.003    0.667      1.000    0.800      0.815    1.000     1.000     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.218     0.006     2
                 0.800    0.010    0.571      0.800    0.667      0.670    0.880     0.805     3
                 0.800    0.000    1.000      0.800    0.889      0.891    0.973     0.893     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.625    0.007    0.714      0.625    0.667      0.660    0.903     0.674     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.838     0.071     7
                 0.667    0.003    0.667      0.667    0.667      0.663    0.891     0.399     8
                 0.667    0.034    0.500      0.667    0.571      0.553    0.951     0.674     9
                 0.500    0.000    1.000      0.500    0.667      0.705    0.773     0.691     10
                 0.744    0.037    0.744      0.744    0.744      0.707    0.967     0.871     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.531     0.075     12
                 0.793    0.049    0.622      0.793    0.697      0.668    0.958     0.833     13
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     14
                 0.625    0.013    0.556      0.625    0.588      0.578    0.956     0.769     15
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     16
                 0.778    0.003    0.875      0.778    0.824      0.820    0.916     0.804     17
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     18
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     19
                 0.667    0.000    1.000      0.667    0.800      0.815    0.999     0.917     20
                 0.500    0.000    1.000      0.500    0.667      0.706    0.973     0.553     21
                 0.879    0.032    0.763      0.879    0.817      0.796    0.978     0.916     22
                 0.750    0.000    1.000      0.750    0.857      0.863    0.896     0.764     23
                 0.947    0.003    0.947      0.947    0.947      0.944    0.958     0.949     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.045     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.750    0.000    1.000      0.750    0.857      0.865    1.000     1.000     27
                 1.000    0.003    0.917      1.000    0.957      0.956    1.000     1.000     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.923     0.040     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.939     0.050     30
                 0.364    0.030    0.308      0.364    0.333      0.308    0.863     0.286     31
                 0.400    0.000    1.000      0.400    0.571      0.629    0.980     0.739     32
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     33
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.833    0.016    0.500      0.833    0.625      0.637    0.999     0.958     36
                 0.333    0.000    1.000      0.333    0.500      0.575    0.792     0.672     37
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.045     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.333     40
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     41
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.204     0.006     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.977     0.125     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.977     0.125     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.965     0.083     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.974     0.309     47
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.313     0.007     48
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     49
                 0.000    0.045    0.000      0.000    0.000      -0.017   0.581     0.012     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.965     0.083     52
Weighted Avg.    0.724    0.017    0.726      0.724    0.714      0.706    0.937     0.785     
