
 Results 
=====

Correctly Classified Instances         227               69.8462 %
Incorrectly Classified Instances        98               30.1538 %
Kappa statistic                          0.6761
K&B Relative Info Score              19069.2318 %
K&B Information Score                  978.7444 bits      3.0115 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme            36915.2062 bits    113.5852 bits/instance
Complexity improvement     (Sf)     -35295.3401 bits   -108.601  bits/instance
Mean absolute error                      0.0177
Root mean squared error                  0.0878
Relative absolute error                 54.9557 %
Root relative squared error             69.4733 %
Coverage of cases (0.95 level)          88.6154 %
Mean rel. region size (0.95 level)      13.5437 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.769    0.035    0.750      0.769    0.759      0.726    0.935     0.861     1
                 0.750    0.000    1.000      0.750    0.857      0.865    1.000     1.000     2
                 0.909    0.003    0.909      0.909    0.909      0.906    0.999     0.981     3
                 0.850    0.052    0.515      0.850    0.642      0.635    0.911     0.713     4
                 0.333    0.000    1.000      0.333    0.500      0.576    1.000     1.000     5
                 1.000    0.016    0.722      1.000    0.839      0.843    0.999     0.986     6
                 0.667    0.006    0.500      0.667    0.571      0.573    0.998     0.867     7
                 0.308    0.006    0.667      0.308    0.421      0.439    0.842     0.317     8
                 0.625    0.027    0.652      0.625    0.638      0.610    0.966     0.782     9
                 0.600    0.003    0.750      0.600    0.667      0.666    0.961     0.703     10
                 0.500    0.013    0.556      0.500    0.526      0.513    0.779     0.507     11
                 0.667    0.003    0.667      0.667    0.667      0.664    0.994     0.500     12
                 0.898    0.069    0.698      0.898    0.786      0.750    0.964     0.926     13
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     14
                 0.882    0.026    0.652      0.882    0.750      0.744    0.982     0.882     15
                 0.714    0.003    0.833      0.714    0.769      0.767    0.997     0.929     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.423     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.003     19
                 0.600    0.000    1.000      0.600    0.750      0.772    0.995     0.837     20
                 0.333    0.003    0.667      0.333    0.444      0.465    0.741     0.358     21
                 0.900    0.000    1.000      0.900    0.947      0.947    1.000     0.991     22
                 0.600    0.000    1.000      0.600    0.750      0.772    1.000     1.000     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.003     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.750    0.000    1.000      0.750    0.857      0.865    1.000     1.000     26
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     27
                 0.400    0.029    0.308      0.400    0.348      0.327    0.827     0.476     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.475     0.003     29
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.003     31
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     32
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.424     0.003     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 1.000    0.003    0.800      1.000    0.889      0.893    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.483     0.003     37
                 0.500    0.016    0.375      0.500    0.429      0.421    0.825     0.526     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.406     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.446     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.003     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.478     0.003     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 1.000    0.006    0.500      1.000    0.667      0.705    1.000     1.000     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.003     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.003     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.003     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.003     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.451     0.003     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.478     0.003     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.003     53
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.440     0.003     54
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.465     0.003     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.485     0.003     57
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.486     0.003     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.480     0.003     59
Weighted Avg.    0.698    0.024    0.667      0.698    0.668      0.657    0.909     0.760     
