
 Results 
=====

Correctly Classified Instances         237               75.9615 %
Incorrectly Classified Instances        75               24.0385 %
Kappa statistic                          0.7437
K&B Relative Info Score              21280.5792 %
K&B Information Score                 1087.9701 bits      3.4871 bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme             1192.1989 bits      3.8212 bits/instance
Complexity improvement     (Sf)        380.4889 bits      1.2195 bits/instance
Mean absolute error                      0.0155
Root mean squared error                  0.0838
Relative absolute error                 42.1408 %
Root relative squared error             61.9564 %
Coverage of cases (0.95 level)          87.5    %
Mean rel. region size (0.95 level)      12.124  %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.003    0.667      1.000    0.800      0.815    1.000     1.000     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.197     0.006     2
                 0.800    0.003    0.800      0.800    0.800      0.797    0.943     0.811     3
                 0.800    0.000    1.000      0.800    0.889      0.891    0.958     0.868     4
                 1.000    0.003    0.800      1.000    0.889      0.893    1.000     1.000     5
                 0.625    0.003    0.833      0.625    0.714      0.716    0.901     0.641     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.854     0.048     7
                 0.667    0.003    0.667      0.667    0.667      0.663    0.910     0.567     8
                 0.533    0.017    0.615      0.533    0.571      0.553    0.942     0.652     9
                 0.750    0.000    1.000      0.750    0.857      0.865    0.772     0.754     10
                 0.923    0.055    0.706      0.923    0.800      0.776    0.985     0.923     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.614     0.028     12
                 0.897    0.053    0.634      0.897    0.743      0.725    0.948     0.827     13
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     14
                 0.500    0.007    0.667      0.500    0.571      0.568    0.933     0.786     15
                 1.000    0.003    0.857      1.000    0.923      0.924    1.000     1.000     16
                 0.778    0.000    1.000      0.778    0.875      0.879    0.900     0.796     17
                 0.800    0.003    0.800      0.800    0.800      0.797    0.995     0.877     18
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     19
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.982     0.577     21
                 0.909    0.043    0.714      0.909    0.800      0.780    0.989     0.931     22
                 0.750    0.000    1.000      0.750    0.857      0.863    0.857     0.760     23
                 0.947    0.003    0.947      0.947    0.947      0.944    0.957     0.951     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.865     0.023     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.846     0.020     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.881     0.026     30
                 0.273    0.027    0.273      0.273    0.273      0.246    0.754     0.344     31
                 1.000    0.000    1.000      1.000    1.000      1.000    0.999     0.967     32
                 0.667    0.003    0.667      0.667    0.667      0.663    0.998     0.867     33
                 1.000    0.003    0.667      1.000    0.800      0.815    1.000     1.000     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.833    0.003    0.833      0.833    0.833      0.830    0.999     0.976     36
                 0.333    0.000    1.000      0.333    0.500      0.575    0.775     0.449     37
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.820     0.018     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.823     0.018     40
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     41
                 1.000    0.003    0.667      1.000    0.800      0.815    1.000     1.000     42
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.196     0.006     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.849     0.021     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.913     0.036     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.887     0.028     46
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.997     0.583     47
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.300     0.007     48
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     49
                 0.000    0.010    0.000      0.000    0.000      -0.008   0.496     0.009     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.814     0.017     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.900     0.031     52
Weighted Avg.    0.760    0.019    0.721      0.760    0.730      0.723    0.931     0.793     
