
 Results 
=====

Correctly Classified Instances         100               32.0513 %
Incorrectly Classified Instances       212               67.9487 %
Kappa statistic                          0.245 
K&B Relative Info Score               8133.3215 %
K&B Information Score                  415.8162 bits      1.3327 bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme            42841.8141 bits    137.3135 bits/instance
Complexity improvement     (Sf)     -41269.1263 bits   -132.2728 bits/instance
Mean absolute error                      0.0292
Root mean squared error                  0.1251
Relative absolute error                 79.4581 %
Root relative squared error             92.5255 %
Coverage of cases (0.95 level)          80.7692 %
Mean rel. region size (0.95 level)      45.4758 %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.490     0.006     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.192     0.006     2
                 0.000    0.000    0.000      0.000    0.000      0.000    0.554     0.028     3
                 0.500    0.017    0.500      0.500    0.500      0.483    0.739     0.232     4
                 0.000    0.006    0.000      0.000    0.000      -0.009   0.674     0.027     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.513     0.025     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.689     0.034     7
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.351     0.009     8
                 0.267    0.007    0.667      0.267    0.381      0.405    0.750     0.228     9
                 0.000    0.000    0.000      0.000    0.000      0.000    0.366     0.011     10
                 0.949    0.626    0.178      0.949    0.300      0.226    0.674     0.185     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.011     12
                 0.345    0.007    0.833      0.345    0.488      0.510    0.755     0.467     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.524     0.012     14
                 0.125    0.007    0.333      0.125    0.182      0.192    0.718     0.154     15
                 0.500    0.000    1.000      0.500    0.667      0.704    0.849     0.561     16
                 0.000    0.017    0.000      0.000    0.000      -0.022   0.696     0.163     17
                 0.000    0.007    0.000      0.000    0.000      -0.010   0.559     0.170     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.635     0.030     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.414     0.013     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.927     0.042     21
                 0.485    0.004    0.941      0.485    0.640      0.652    0.841     0.658     22
                 0.000    0.010    0.000      0.000    0.000      -0.016   0.789     0.285     23
                 0.263    0.000    1.000      0.263    0.417      0.501    0.772     0.366     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.685     0.031     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.620     0.026     27
                 0.364    0.013    0.500      0.364    0.421      0.409    0.672     0.182     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.198     0.003     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.465     0.003     30
                 0.818    0.013    0.692      0.818    0.750      0.743    0.980     0.775     31
                 0.000    0.003    0.000      0.000    0.000      -0.007   0.555     0.276     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.522     0.014     33
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.456     0.008     34
                 0.500    0.000    1.000      0.500    0.667      0.704    0.846     0.551     35
                 0.500    0.007    0.600      0.500    0.545      0.540    0.791     0.274     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.298     0.008     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.544     0.022     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.203     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.009     41
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.994     0.417     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.401     0.007     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.190     0.003     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.206     0.003     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.003     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.398     0.007     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.402     0.007     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.401     0.007     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.286     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.206     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.201     0.003     52
Weighted Avg.    0.321    0.083    0.409      0.321    0.292      0.291    0.684     0.270     
