
 Results 
=====

Correctly Classified Instances         141               52.6119 %
Incorrectly Classified Instances       127               47.3881 %
Kappa statistic                          0.4559
K&B Relative Info Score              11254.1927 %
K&B Information Score                  503.8517 bits      1.88   bits/instance
Class complexity | order 0            1172.2356 bits      4.374  bits/instance
Class complexity | scheme              846.3712 bits      3.1581 bits/instance
Complexity improvement     (Sf)        325.8644 bits      1.2159 bits/instance
Mean absolute error                      0.0316
Root mean squared error                  0.1292
Relative absolute error                 61.3142 %
Root relative squared error             80.7376 %
Coverage of cases (0.95 level)          85.4478 %
Mean rel. region size (0.95 level)      32.3487 %
Total Number of Instances              268     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.891    0.399    0.366      0.891    0.519      0.397    0.894     0.708     1
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     2
                 0.308    0.016    0.500      0.308    0.381      0.369    0.758     0.396     3
                 0.286    0.027    0.222      0.286    0.250      0.229    0.754     0.323     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.161     0.007     5
                 0.571    0.008    0.857      0.571    0.686      0.680    0.824     0.534     6
                 0.783    0.000    1.000      0.783    0.878      0.876    0.938     0.832     7
                 0.647    0.004    0.917      0.647    0.759      0.758    0.895     0.709     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.704     0.023     9
                 0.533    0.016    0.667      0.533    0.593      0.575    0.887     0.494     10
                 0.385    0.020    0.500      0.385    0.435      0.414    0.748     0.394     11
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.112     0.006     12
                 0.000    0.004    0.000      0.000    0.000      -0.009   0.418     0.022     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.687     0.022     14
                 0.429    0.000    1.000      0.429    0.600      0.650    0.865     0.474     15
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.609     0.018     16
                 0.500    0.000    1.000      0.500    0.667      0.693    0.805     0.575     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.125     18
                 0.286    0.015    0.333      0.286    0.308      0.291    0.865     0.432     19
                 0.000    0.019    0.000      0.000    0.000      -0.019   0.526     0.023     20
                 0.400    0.008    0.500      0.400    0.444      0.438    0.706     0.185     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.161     0.007     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.111     23
                 0.000    0.008    0.000      0.000    0.000      -0.009   0.621     0.018     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.156     0.006     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.125     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.077     27
                 0.667    0.000    1.000      0.667    0.800      0.815    0.695     0.671     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.508     0.015     29
                 0.000    0.004    0.000      0.000    0.000      -0.008   0.854     0.266     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.091     31
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.933     0.053     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.077     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.989     0.143     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.100     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.989     0.143     36
Weighted Avg.    0.526    0.087    0.556      0.526    0.502      0.475    0.814     0.515     
