
 Results 
=====

Correctly Classified Instances         113               37.4172 %
Incorrectly Classified Instances       189               62.5828 %
Kappa statistic                          0.3138
K&B Relative Info Score              10194.9006 %
K&B Information Score                  560.4748 bits      1.8559 bits/instance
Class complexity | order 0            1623.5659 bits      5.376  bits/instance
Class complexity | scheme             1310.7712 bits      4.3403 bits/instance
Complexity improvement     (Sf)        312.7946 bits      1.0357 bits/instance
Mean absolute error                      0.0193
Root mean squared error                  0.1051
Relative absolute error                 71.426  %
Root relative squared error             90.5193 %
Coverage of cases (0.95 level)          82.7815 %
Mean rel. region size (0.95 level)      25.0396 %
Total Number of Instances              302     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.368    0.004    0.875      0.368    0.519      0.552    0.802     0.479     1
                 0.333    0.004    0.857      0.333    0.480      0.519    0.779     0.411     2
                 0.805    0.498    0.202      0.805    0.324      0.211    0.785     0.610     3
                 0.000    0.000    0.000      0.000    0.000      0.000    0.599     0.022     4
                 0.667    0.007    0.500      0.667    0.571      0.573    0.687     0.281     5
                 0.000    0.003    0.000      0.000    0.000      -0.007   0.567     0.018     6
                 0.000    0.010    0.000      0.000    0.000      -0.013   0.813     0.154     7
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.129     0.006     8
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.455     0.012     9
                 0.154    0.000    1.000      0.154    0.267      0.385    0.722     0.218     10
                 0.818    0.007    0.818      0.818    0.818      0.811    0.872     0.828     11
                 0.000    0.007    0.000      0.000    0.000      -0.013   0.667     0.135     12
                 0.833    0.000    1.000      0.833    0.909      0.911    0.955     0.844     13
                 0.421    0.007    0.800      0.421    0.552      0.562    0.762     0.449     14
                 0.471    0.007    0.800      0.471    0.593      0.597    0.759     0.489     15
                 0.364    0.010    0.571      0.364    0.444      0.440    0.821     0.342     16
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.940     0.053     17
                 0.000    0.007    0.000      0.000    0.000      -0.008   0.521     0.013     18
                 0.800    0.000    1.000      0.800    0.889      0.893    0.930     0.809     19
                 0.400    0.007    0.500      0.400    0.444      0.439    0.746     0.419     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.676     0.056     21
                 0.765    0.004    0.929      0.765    0.839      0.834    0.902     0.661     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.973     0.059     23
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.953     0.067     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.982     0.083     25
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.083     0.005     26
                 0.000    0.007    0.000      0.000    0.000      -0.007   0.071     0.005     27
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.960     0.077     28
                 0.000    0.007    0.000      0.000    0.000      -0.005   0.932     0.045     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.609     0.016     30
                 0.667    0.010    0.400      0.667    0.500      0.510    0.669     0.303     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.100     32
                 0.400    0.000    1.000      0.400    0.571      0.629    0.832     0.425     33
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.917     0.038     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.071     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.017    0.000      0.000    0.000      -0.018   0.672     0.086     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.153     0.006     38
                 0.000    0.007    0.000      0.000    0.000      -0.005   0.940     0.053     39
                 0.000    0.007    0.000      0.000    0.000      -0.007   0.069     0.005     40
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.904     0.033     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.077     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.071     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.973     0.059     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.077     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.894     0.030     46
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.962     0.071     47
                 0.667    0.003    0.667      0.667    0.667      0.663    0.688     0.670     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.982     0.083     49
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.900     0.032     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.053     51
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.093     0.005     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.647     0.021     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.125     54
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.949     0.059     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.053     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.973     0.059     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.100     58
                 0.500    0.007    0.500      0.500    0.500      0.493    0.692     0.218     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.077     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.125     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.982     0.083     62
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.920     0.040     63
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.962     0.071     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.071     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.973     0.059     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.071     67
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.053     68
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.927     0.043     69
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.077     70
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.917     0.038     71
Weighted Avg.    0.374    0.071    0.465      0.374    0.358      0.352    0.764     0.368     
