
 Results 
=====

Correctly Classified Instances         146               44.9231 %
Incorrectly Classified Instances       179               55.0769 %
Kappa statistic                          0.3911
K&B Relative Info Score              11518.3979 %
K&B Information Score                  591.1915 bits      1.8191 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme             1343.3187 bits      4.1333 bits/instance
Complexity improvement     (Sf)        276.5474 bits      0.8509 bits/instance
Mean absolute error                      0.0233
Root mean squared error                  0.1118
Relative absolute error                 72.6072 %
Root relative squared error             88.4228 %
Coverage of cases (0.95 level)          81.5385 %
Mean rel. region size (0.95 level)      30.2321 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.590    0.042    0.657      0.590    0.622      0.574    0.814     0.447     1
                 0.000    0.006    0.000      0.000    0.000      -0.009   0.733     0.124     2
                 0.000    0.003    0.000      0.000    0.000      -0.010   0.676     0.056     3
                 0.350    0.000    1.000      0.350    0.519      0.579    0.786     0.445     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.323     0.009     5
                 0.231    0.010    0.500      0.231    0.316      0.322    0.760     0.379     6
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.384     0.010     7
                 0.154    0.000    1.000      0.154    0.267      0.385    0.702     0.219     8
                 0.542    0.010    0.813      0.542    0.650      0.643    0.830     0.651     9
                 0.600    0.000    1.000      0.600    0.750      0.772    0.887     0.623     10
                 0.600    0.006    0.750      0.600    0.667      0.662    0.906     0.419     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.772     0.032     12
                 0.837    0.399    0.272      0.837    0.410      0.314    0.842     0.666     13
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.666     0.392     14
                 0.412    0.006    0.778      0.412    0.538      0.550    0.695     0.451     15
                 0.571    0.000    1.000      0.571    0.727      0.752    0.872     0.597     16
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.762     0.029     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.005     0.005     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.795     0.013     19
                 0.800    0.000    1.000      0.800    0.889      0.893    0.818     0.803     20
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     21
                 0.600    0.003    0.857      0.600    0.706      0.710    0.893     0.477     22
                 0.800    0.022    0.364      0.800    0.500      0.530    0.987     0.456     23
                 0.000    0.006    0.000      0.000    0.000      -0.004   0.810     0.016     24
                 0.750    0.006    0.600      0.750    0.667      0.666    0.766     0.362     25
                 0.000    0.006    0.000      0.000    0.000      -0.009   0.645     0.100     26
                 0.000    0.006    0.000      0.000    0.000      -0.006   0.077     0.005     27
                 0.700    0.016    0.583      0.700    0.636      0.627    0.862     0.313     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.937     0.034     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.473     0.008     30
                 0.000    0.006    0.000      0.000    0.000      -0.004   0.836     0.019     31
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.589     0.011     33
                 0.000    0.006    0.000      0.000    0.000      -0.004   0.923     0.038     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.637     0.012     35
                 0.500    0.003    0.667      0.500    0.571      0.573    0.850     0.315     36
                 0.000    0.009    0.000      0.000    0.000      -0.005   0.863     0.022     37
                 0.000    0.006    0.000      0.000    0.000      -0.011   0.483     0.021     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.934     0.033     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.083     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.400     0.005     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.946     0.042     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.533     0.009     43
                 1.000    0.003    0.667      1.000    0.800      0.815    0.997     0.583     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.938     0.042     45
                 0.000    0.006    0.000      0.000    0.000      -0.006   0.063     0.005     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.077     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.813     0.015     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.900     0.026     49
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.858     0.021     50
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.849     0.020     51
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.938     0.048     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.912     0.030     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.890     0.025     54
                 0.500    0.003    0.500      0.500    0.500      0.497    0.997     0.583     55
                 0.000    0.006    0.000      0.000    0.000      -0.004   0.406     0.005     56
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.863     0.022     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.796     0.014     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.901     0.030     59
Weighted Avg.    0.449    0.069    0.515      0.449    0.426      0.415    0.780     0.408     
