@relation 'Dataset kitsi publish-venue_co-authors jchen'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61}
@data
'icpr s shan s yan x chen w gao',1
'isca h yao w gao s liu',1
'avbpa r wang s yan w gao',1
'amfg r wang s yan s shan x chen w gao',1
'icpr r wang s shan x chen w gao',1
'pcm y li l qing b yin w gao',1
'icpr x chen w gao',1
'icpr r wang s shan w gao',1
'isci z xu',2
'mfc x huang i kanj g xia',3
'wg i kanj',3
'jct j gross',3
'smi e akleman',3
'isaac i kanj',3
'algorithmica i kanj g xia',3
'pg v srinivasan e akleman',3
'tc nan',3
'dam e oh',3
'dam h deng q li r li q gao',3
'jal i kanj w jia',3
'smi e akleman',3
'tc i kanj',3
'icpp w gao j wang s chen',3
'pg c chan e akleman',3
'isaac i kanj g xia',3
'algorithmica d friesen w jia i kanj',3
'icc e oh',3
'icpp i kanj g wang',3
'tc c chen',3
'stoc x huang i kanj g xia',3
'join i kanj g wang',3
'jal w jia c zhang',3
'ipl h sui j wang s chen',3
'isaac a miranda l torres',3
'cvgip e akleman v srinivasan',3
'icpad g wang t li',3
'jct j gross',3
'mfc i kanj g xia',3
'siamdm s kanchi',3
'tpd c chen',3
'siamcomp c yap',3
'ipl n malpani',3
'sma e akleman',3
'siamcomp l cai',3
'itcc g wang g wang',3
'jcss d friesen h zheng',3
'network l liu w jia',3
'infocom a jiang i kanj g xia f zhang',3
'wg e oh',3
'mst j gross',3
'siamdm nan',3
'jcss i kanj',3
'jpdc g wang c lin t wang g wang',3
'ispa x xiao g wang',3
'wg i kanj w jia',3
'smi e akleman v srinivasan',3
'mm e akleman b meric',3
'wg c chen',3
'ipp c chen',3
'tc l cai',3
'dm j gross r rieper',3
'jco j huang s chen j wang',3
'isaac j huang',3
'dolap n 0004 w zhao',3
'ipl s kanchi a kanevsky',3
'wabi s sze s lu',3
'dm s kanchi j gross',3
'pdpta g wang',3
'isaac j huang s chen',3
'dm d archdeacon j gross',3
'apal l cai r downey m fellows',3
'siamcomp c chen',3
'smi e akleman f eryoldas v srinivasan',3
'ipl j cox b mishra',3
'coco b chor m fellows x huang d juedes i kanj g xia',3
'iwpec i kanj j meng g xia f zhang',3
'tc nan',3
'smi e akleman',3
'icpad e oh',3
'jcss x huang i kanj g xia',3
'join g wang s chen',3
'pakdd n 0004 w zhao',3
'pdc t wang',3
'at g wang g wang s chen',3
'siamcomp l cai j hastad',3
'wg nan',3
'tc f zhang',3
'jcst g wang g wang',3
'isaac l liu s chen w jia',3
'istc l cai',3
'pg e akleman v srinivasan',3
'jco x huang i kanj g xia',3
'iccnmc h xu x fu y zhu r bettati w zhao',3
'infocom f zhang h li a jiang p luo',3
'iwpec y 0002 s lu s sze',3
'ipl nan',3
'iandc l cai r downey m fellows',3
'tc g wang s chen',3
'soda s lu s sze f zhang',3
'siamcomp a miranda',3
'coco l cai j hastad',3
'stac h fernau i kanj g xia',3
'dam x huang i kanj g xia',3
'smi e akleman v srinivasan',3
'latin i kanj',3
'icpp d xuan c li r bettati w zhao',3
'ispan g wang g wang',3
'iscc h sui s chen j wang',3
'join e oh',3
'iandc b chor m fellows x huang d juedes i kanj g xia',3
'icmc c kuo m chen',4
'icmc g ma m chen',4
'infocom w liao m chen',4
'tpd m chen p yu',4
'icmc g hou m chen',4
'compsac c kuo p ting m chen',4
'iccsa j zhang h wu',5
'eor s choy k li',5
'bioinformat s swamidass y dou j bruand p baldi',6
'tcbb s danziger s swamidass j zeng l dearth q lu j cheng v hoang h saigo r luo p baldi r brachmann r lathrop',6
'ismb s swamidass j bruand p phung l ralaivola p baldi',6
'waim c lai l wang x meng k zeitouni',7
'mdm x meng y guo s grumbach h sun',7
'waim x meng b li c lai',7
'icdm nan',8
'icra a zelinsky',8
'ijrr nan',8
'icra a zelinsky',8
'icra b mccarragher',8
'cikm s wolfe s wragg',9
'dl s wolfe s wragg',9
'dl n mathe s wolfe',9
'cikm n mathe',9
'cn r keller s wolfe j rabinowitz n mathe',9
'umuai n mathe',9
'umuai c kaplan j fenwick',9
'iccad t kuo',10
'rta h hsu t kuo',10
'lctrt t kuo',10
'rtcsa j wu c shih t kuo',10
'rt j wu c shih',10
'bioinformat r delongchamp c tsai h hsueh f sistare k thompson v desai j fuscoe',11
'bioinformat c tsai s wang d chen',12
'bmcbi h jiang y deng h chen l tao q sha c tsai s zhang',13
'iccd s chen s chen c tsai',14
'ismi g ding r lax p chen',15
'ismi s kundu',15
'fuin s kundu',15
'ai r brooks s iyengar',15
'ijar d kraft m martin bautista d sanchez',15
'fuin nan',15
'ismi s kundu',15
'tkde w wang',15
'ismi nan',15
'jetai nan',15
'ismi s kundu',15
'ismi nan',15
'jii k kundu',15
