@relation 'Dataset kitsi publish-venue_co-authors jlee'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66}
@data
'ijpp s midkiff d padua',1
'icpp w blume r eigenmann k faigin j grout t lawrence j hoeflinger d padua y paek p petersen w pottenger l rauchwerger p tu s weatherford',1
'lcpc s midkiff d padua',1
'comput w blume r doallo r eigenmann j grout j hoeflinger t lawrence d padua y paek w pottenger l rauchwerger p tu',1
'tpd y solihin j torrellas',1
'concurr s midkiff d padua',1
'ppopp d padua s midkiff',1
'lcpc z sura c wong x fang s midkiff d padua',1
'tapsoft z manna n bjorner a browne e chang m colon l alfaro h devarajan a kapur h sipma t uribe',1
'tc d padua',1
'lcpc h moonesinghe',1
'ieeepact d padua',1
'isca y solihin j torrellas',1
'hpca y solihin j torrellas',1
'gcc h yoe',1
'im y solihin j torrellas',1
'tc y solihin j torrellas',1
'ictai j lim s hong p park',2
'ieeecit j lim s hong p park',2
'aaai e durfee',3
'icma e durfee',3
'mswim y kim a helmy',4
'sigmobil y kim a helmy',4
'islp k choi n dutt',5
'dt k choi n dutt',5
'iccad k choi n dutt',5
'isorc y nah s park h lee s kim m kim k han',6
'word y nah w lee h lee m kim k han',6
'isorc h lee j hwang s park c lee y nah s jeon m kim',6
'arscom j kwak s hong m sohn',7
'siamdm j kwak j chun',7
'ejc i goulden j kwak',7
'dm j kwak y shin',7
'arscom j kwak',7
'siamdm r feng j kwak j kim',7
'dm j kwak',7
'ejc j kwak m sohn',7
'3dim b lee j yoo',8
'iccsa b lee k kwon',8
'iciap s ahn j yoo b lee',8
'pe j choi c un',9
'infocom m chiang a calderbank',9
'ton r mazumdar n shroff',9
'ton r mazumdar n shroff',9
