
 Results 
=====

Correctly Classified Instances         223               83.209  %
Incorrectly Classified Instances        45               16.791  %
Kappa statistic                          0.8161
K&B Relative Info Score              21426.333  %
K&B Information Score                  959.2598 bits      3.5793 bits/instance
Class complexity | order 0            1172.2356 bits      4.374  bits/instance
Class complexity | scheme              615.8009 bits      2.2978 bits/instance
Complexity improvement     (Sf)        556.4347 bits      2.0762 bits/instance
Mean absolute error                      0.01  
Root mean squared error                  0.0839
Relative absolute error                 19.3741 %
Root relative squared error             52.4325 %
Coverage of cases (0.95 level)          89.9254 %
Mean rel. region size (0.95 level)       3.9905 %
Total Number of Instances              268     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.909    0.056    0.806      0.909    0.855      0.817    0.975     0.949     1
                 0.923    0.008    0.857      0.923    0.889      0.884    0.995     0.959     2
                 0.923    0.004    0.923      0.923    0.923      0.919    0.999     0.982     3
                 1.000    0.004    0.875      1.000    0.933      0.934    0.999     0.982     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.714    0.036    0.625      0.714    0.667      0.638    0.943     0.759     6
                 0.826    0.020    0.792      0.826    0.809      0.790    0.987     0.914     7
                 0.941    0.000    1.000      0.941    0.970      0.968    0.993     0.962     8
                 1.000    0.004    0.750      1.000    0.857      0.864    0.999     0.917     9
                 0.933    0.012    0.824      0.933    0.875      0.869    0.994     0.951     10
                 0.846    0.024    0.647      0.846    0.733      0.725    0.994     0.929     11
                 0.000    0.004    0.000      0.000    0.000      -0.005   0.133     0.006     12
                 0.833    0.000    1.000      0.833    0.909      0.911    1.000     1.000     13
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     14
                 0.857    0.000    1.000      0.857    0.923      0.924    0.875     0.861     15
                 0.667    0.000    1.000      0.667    0.800      0.815    0.853     0.675     16
                 0.800    0.008    0.889      0.800    0.842      0.831    0.971     0.892     17
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     18
                 0.857    0.000    1.000      0.857    0.923      0.924    0.951     0.867     19
                 1.000    0.004    0.833      1.000    0.909      0.911    1.000     1.000     20
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.417     22
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     23
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.925     0.048     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.067     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
                 1.000    0.004    0.833      1.000    0.909      0.911    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     31
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.979     0.143     33
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.944     0.063     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.974     0.125     36
Weighted Avg.    0.832    0.019    0.803      0.832    0.813      0.800    0.972     0.900     
