
 Results 
=====

Correctly Classified Instances         174               69.0476 %
Incorrectly Classified Instances        78               30.9524 %
Kappa statistic                          0.5922
K&B Relative Info Score              13679.2218 %
K&B Information Score                  648.5462 bits      2.5736 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme             1718.1316 bits      6.818  bits/instance
Complexity improvement     (Sf)       -591.4257 bits     -2.3469 bits/instance
Mean absolute error                      0.0106
Root mean squared error                  0.0923
Relative absolute error                 37.3385 %
Root relative squared error             78.7617 %
Coverage of cases (0.95 level)          77.381  %
Mean rel. region size (0.95 level)       2.5566 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.750    0.008    0.750      0.750    0.750      0.742    0.995     0.914     1
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     2
                 0.921    0.338    0.646      0.921    0.759      0.577    0.893     0.846     3
                 0.833    0.000    1.000      0.833    0.909      0.911    0.999     0.976     4
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.136     0.007     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 0.667    0.000    1.000      0.667    0.800      0.815    0.933     0.686     7
                 0.600    0.000    1.000      0.600    0.750      0.771    0.992     0.789     8
                 0.857    0.000    1.000      0.857    0.923      0.924    0.995     0.920     9
                 0.800    0.004    0.800      0.800    0.800      0.796    0.998     0.943     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.056     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.908     0.042     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.928     0.053     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.904     0.040     14
                 0.714    0.046    0.476      0.714    0.571      0.554    0.920     0.706     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     16
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     17
                 0.500    0.000    1.000      0.500    0.667      0.704    0.982     0.795     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.742     0.033     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.786     0.033     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.886     0.049     22
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.406     0.010     23
                 0.857    0.024    0.500      0.857    0.632      0.643    0.933     0.865     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.071     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.571     27
                 0.500    0.004    0.667      0.500    0.571      0.572    0.892     0.616     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.167     29
                 1.000    0.004    0.750      1.000    0.857      0.864    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.539     0.077     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.250     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.302     0.008     37
                 0.667    0.000    1.000      0.667    0.800      0.815    0.722     0.671     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.111     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.904     0.040     40
                 0.667    0.012    0.667      0.667    0.667      0.654    0.933     0.752     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.166     0.007     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.944     0.067     43
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     47
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     48
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.077     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.071     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.071     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.924     0.050     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.111     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.143     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.916     0.045     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     61
Weighted Avg.    0.690    0.140    0.593      0.690    0.625      0.552    0.904     0.725     
