
 Results 
=====

Correctly Classified Instances         210               69.0789 %
Incorrectly Classified Instances        94               30.9211 %
Kappa statistic                          0.6661
K&B Relative Info Score              19519.342  %
K&B Information Score                  977.7803 bits      3.2164 bits/instance
Class complexity | order 0            1487.923  bits      4.8945 bits/instance
Class complexity | scheme             1314.0612 bits      4.3226 bits/instance
Complexity improvement     (Sf)        173.8618 bits      0.5719 bits/instance
Mean absolute error                      0.0124
Root mean squared error                  0.0941
Relative absolute error                 35.3103 %
Root relative squared error             71.1821 %
Coverage of cases (0.95 level)          81.5789 %
Mean rel. region size (0.95 level)       3.7342 %
Total Number of Instances              304     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.818    0.100    0.581      0.818    0.679      0.627    0.935     0.769     1
                 0.778    0.056    0.651      0.778    0.709      0.669    0.965     0.765     2
                 0.800    0.000    1.000      0.800    0.889      0.893    0.852     0.804     3
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     4
                 0.824    0.087    0.359      0.824    0.500      0.506    0.946     0.671     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 0.250    0.000    1.000      0.250    0.400      0.495    0.897     0.357     7
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.924     0.042     9
                 0.615    0.014    0.667      0.615    0.640      0.625    0.976     0.747     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.667     11
                 0.400    0.003    0.667      0.400    0.500      0.510    0.974     0.621     12
                 0.947    0.000    1.000      0.947    0.973      0.972    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.977     0.125     14
                 1.000    0.007    0.750      1.000    0.857      0.863    0.999     0.948     15
                 0.750    0.024    0.632      0.750    0.686      0.669    0.901     0.636     16
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     17
                 0.737    0.018    0.737      0.737    0.737      0.719    0.971     0.821     18
                 0.857    0.007    0.750      0.857    0.800      0.797    0.998     0.948     19
                 0.769    0.010    0.769      0.769    0.769      0.759    0.981     0.864     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.931     0.045     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.200     22
                 0.846    0.007    0.846      0.846    0.846      0.839    0.986     0.896     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.100     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.829     0.268     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.167     26
                 0.500    0.000    1.000      0.500    0.667      0.705    0.823     0.588     27
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     28
                 0.667    0.000    1.000      0.667    0.800      0.815    0.805     0.672     29
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     30
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     31
                 0.333    0.003    0.500      0.333    0.400      0.404    0.977     0.466     32
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     33
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.664     0.019     36
                 0.500    0.000    1.000      0.500    0.667      0.705    0.957     0.706     37
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.974     0.111     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.548     0.504     39
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.921     0.040     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.805     0.017     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.071     43
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.924     0.042     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.077     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.096     0.005     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.967     0.091     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.927     0.043     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.901     0.032     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.927     0.043     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.947     0.059     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     54
Weighted Avg.    0.691    0.030    0.666      0.691    0.657      0.647    0.947     0.741     
