
 Results 
=====

Correctly Classified Instances         206               68.2119 %
Incorrectly Classified Instances        96               31.7881 %
Kappa statistic                          0.6636
K&B Relative Info Score              18959.8161 %
K&B Information Score                 1042.3347 bits      3.4514 bits/instance
Class complexity | order 0            1623.5659 bits      5.376  bits/instance
Class complexity | scheme             1647.6072 bits      5.4557 bits/instance
Complexity improvement     (Sf)        -24.0413 bits     -0.0796 bits/instance
Mean absolute error                      0.0095
Root mean squared error                  0.083 
Relative absolute error                 34.9649 %
Root relative squared error             71.5083 %
Coverage of cases (0.95 level)          77.8146 %
Mean rel. region size (0.95 level)       2.9661 %
Total Number of Instances              302     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.789    0.028    0.652      0.789    0.714      0.697    0.977     0.831     1
                 0.889    0.042    0.571      0.889    0.696      0.691    0.973     0.916     2
                 0.878    0.019    0.878      0.878    0.878      0.859    0.972     0.928     3
                 0.800    0.000    1.000      0.800    0.889      0.893    0.999     0.943     4
                 0.667    0.000    1.000      0.667    0.800      0.815    0.988     0.738     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     8
                 0.667    0.007    0.500      0.667    0.571      0.573    0.828     0.673     9
                 0.923    0.035    0.545      0.923    0.686      0.694    0.986     0.784     10
                 0.909    0.014    0.714      0.909    0.800      0.798    0.997     0.959     11
                 0.875    0.000    1.000      0.875    0.933      0.934    0.966     0.886     12
                 0.667    0.003    0.800      0.667    0.727      0.725    0.980     0.771     13
                 0.737    0.071    0.412      0.737    0.528      0.512    0.966     0.645     14
                 0.706    0.039    0.522      0.706    0.600      0.580    0.921     0.752     15
                 0.909    0.007    0.833      0.909    0.870      0.865    0.982     0.916     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.947     0.059     17
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.658     0.063     18
                 0.600    0.013    0.429      0.600    0.500      0.497    0.977     0.515     19
                 0.800    0.003    0.800      0.800    0.800      0.797    0.933     0.770     20
                 0.500    0.003    0.833      0.500    0.625      0.637    0.948     0.648     21
                 0.941    0.025    0.696      0.941    0.800      0.796    0.996     0.956     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.071     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.250     24
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.963     0.083     25
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     26
                 0.500    0.000    1.000      0.500    0.667      0.706    0.998     0.833     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.250     29
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     30
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.923     0.105     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.950     0.063     32
                 0.600    0.000    1.000      0.600    0.750      0.772    0.853     0.804     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.167     34
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.934     0.048     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.180     0.006     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.167     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.133     0.006     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.953     0.067     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.071     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.953     0.067     43
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.910     0.036     45
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.950     0.063     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.963     0.083     47
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.953     0.067     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.900     0.032     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.944     0.056     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.848     0.511     52
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.200     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.934     0.048     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.973     0.111     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.965     0.083     57
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     58
                 0.500    0.003    0.667      0.500    0.571      0.573    0.963     0.487     59
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.100     61
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.930     0.045     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.967     0.091     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.947     0.059     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.250     67
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.500     68
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.167     69
                 0.000    0.000    0.000      0.000    0.000      0.000    0.914     0.037     70
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.100     71
Weighted Avg.    0.682    0.018    0.625      0.682    0.638      0.634    0.955     0.743     
