
 Results 
=====

Correctly Classified Instances         151               72.5962 %
Incorrectly Classified Instances        57               27.4038 %
Kappa statistic                          0.7006
K&B Relative Info Score              13635.6188 %
K&B Information Score                  710.9869 bits      3.4182 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme              886.4045 bits      4.2616 bits/instance
Complexity improvement     (Sf)        175.087  bits      0.8418 bits/instance
Mean absolute error                      0.0098
Root mean squared error                  0.0878
Relative absolute error                 28.8341 %
Root relative squared error             67.6552 %
Coverage of cases (0.95 level)          77.4038 %
Mean rel. region size (0.95 level)       2.876  %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     1
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     2
                 1.000    0.005    0.900      1.000    0.947      0.946    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 1.000    0.005    0.833      1.000    0.909      0.911    1.000     1.000     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     8
                 0.400    0.005    0.667      0.400    0.500      0.508    0.939     0.595     9
                 0.861    0.122    0.596      0.861    0.705      0.646    0.951     0.881     10
                 1.000    0.048    0.690      1.000    0.816      0.810    0.999     0.989     11
                 1.000    0.015    0.700      1.000    0.824      0.830    1.000     1.000     12
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.091     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.896     0.571     17
                 0.895    0.079    0.531      0.895    0.667      0.651    0.972     0.840     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.942     0.077     19
                 0.923    0.010    0.857      0.923    0.889      0.882    0.999     0.986     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     22
                 0.833    0.000    1.000      0.833    0.909      0.911    0.988     0.881     23
                 0.667    0.000    1.000      0.667    0.800      0.815    0.800     0.675     24
                 0.667    0.005    0.667      0.667    0.667      0.662    0.802     0.675     25
                 0.500    0.000    1.000      0.500    0.667      0.704    0.772     0.518     26
                 0.833    0.000    1.000      0.833    0.909      0.911    0.996     0.924     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.143     28
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     29
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     30
                 0.667    0.005    0.667      0.667    0.667      0.662    0.784     0.674     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.125     32
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.937     0.071     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.111     38
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     39
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.934     0.097     40
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.928     0.063     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.167     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.125     43
                 0.500    0.000    1.000      0.500    0.667      0.705    0.978     0.591     44
                 0.500    0.000    1.000      0.500    0.667      0.705    0.998     0.833     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.947     0.542     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     48
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.947     0.083     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.067     56
Weighted Avg.    0.726    0.035    0.644      0.726    0.666      0.656    0.967     0.814     
