
 Results 
=====

Correctly Classified Instances         212               79.1045 %
Incorrectly Classified Instances        56               20.8955 %
Kappa statistic                          0.7715
K&B Relative Info Score              18153.0094 %
K&B Information Score                  812.7127 bits      3.0325 bits/instance
Class complexity | order 0            1172.2356 bits      4.374  bits/instance
Class complexity | scheme            15304.3805 bits     57.1059 bits/instance
Complexity improvement     (Sf)     -14132.145  bits    -52.7319 bits/instance
Mean absolute error                      0.0235
Root mean squared error                  0.0967
Relative absolute error                 45.5889 %
Root relative squared error             60.4324 %
Coverage of cases (0.95 level)          94.403  %
Mean rel. region size (0.95 level)      19.2164 %
Total Number of Instances              268     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.873    0.080    0.738      0.873    0.800      0.747    0.963     0.918     1
                 0.846    0.000    1.000      0.846    0.917      0.916    0.996     0.948     2
                 0.923    0.012    0.800      0.923    0.857      0.852    0.999     0.986     3
                 1.000    0.008    0.778      1.000    0.875      0.879    0.998     0.933     4
                 1.000    0.004    0.667      1.000    0.800      0.815    1.000     1.000     5
                 0.429    0.008    0.818      0.429    0.563      0.570    0.911     0.643     6
                 0.870    0.016    0.833      0.870    0.851      0.837    0.980     0.897     7
                 0.941    0.000    1.000      0.941    0.970      0.968    0.987     0.954     8
                 0.667    0.004    0.667      0.667    0.667      0.663    0.996     0.639     9
                 0.667    0.012    0.769      0.667    0.714      0.701    0.962     0.855     10
                 0.923    0.027    0.632      0.923    0.750      0.750    0.995     0.918     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.007     12
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     13
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     14
                 0.857    0.000    1.000      0.857    0.923      0.924    0.993     0.903     15
                 0.333    0.000    1.000      0.333    0.500      0.575    0.787     0.670     16
                 0.800    0.012    0.842      0.800    0.821      0.807    0.924     0.832     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.434     0.004     18
                 0.857    0.004    0.857      0.857    0.857      0.853    0.990     0.896     19
                 1.000    0.011    0.625      1.000    0.769      0.786    1.000     1.000     20
                 0.800    0.000    1.000      0.800    0.889      0.893    0.999     0.967     21
                 0.500    0.008    0.333      0.500    0.400      0.403    1.000     1.000     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.459     0.004     23
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.431     0.004     27
                 1.000    0.008    0.600      1.000    0.750      0.772    1.000     1.000     28
                 1.000    0.008    0.600      1.000    0.750      0.772    1.000     1.000     29
                 1.000    0.004    0.833      1.000    0.909      0.911    0.999     0.967     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.004     31
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.421     0.004     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.434     0.004     33
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.449     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.004     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.453     0.004     36
Weighted Avg.    0.791    0.023    0.781      0.791    0.772      0.761    0.947     0.855     
