
 Results 
=====

Correctly Classified Instances         123               60.5911 %
Incorrectly Classified Instances        80               39.4089 %
Kappa statistic                          0.5897
K&B Relative Info Score              10393.9586 %
K&B Information Score                  591.0652 bits      2.9117 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme            41106.1045 bits    202.4931 bits/instance
Complexity improvement     (Sf)     -39941.3144 bits   -196.7552 bits/instance
Mean absolute error                      0.0198
Root mean squared error                  0.0943
Relative absolute error                 67.1466 %
Root relative squared error             77.7034 %
Coverage of cases (0.95 level)          78.8177 %
Mean rel. region size (0.95 level)      20.9957 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.941    0.048    0.640      0.941    0.762      0.753    0.983     0.917     1
                 1.000    0.005    0.667      1.000    0.800      0.814    1.000     1.000     2
                 1.000    0.005    0.667      1.000    0.800      0.814    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.667    0.005    0.667      0.667    0.667      0.662    1.000     1.000     6
                 0.750    0.021    0.600      0.750    0.667      0.656    0.988     0.626     7
                 0.667    0.000    1.000      0.667    0.800      0.814    0.993     0.810     8
                 0.875    0.015    0.700      0.875    0.778      0.773    0.967     0.889     9
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     10
                 0.200    0.035    0.125      0.200    0.154      0.131    0.903     0.209     11
                 0.917    0.016    0.786      0.917    0.846      0.839    0.932     0.915     12
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.800     0.028     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.604     0.015     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.421     0.005     15
                 0.889    0.010    0.800      0.889    0.842      0.836    0.928     0.894     16
                 0.200    0.015    0.250      0.200    0.222      0.206    0.679     0.077     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.441     0.005     18
                 0.500    0.000    1.000      0.500    0.667      0.705    0.994     0.700     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.833    0.015    0.625      0.833    0.714      0.712    0.941     0.782     21
                 0.857    0.015    0.667      0.857    0.750      0.746    0.999     0.968     22
                 1.000    0.005    0.667      1.000    0.800      0.814    1.000     1.000     23
                 0.571    0.048    0.471      0.571    0.516      0.479    0.849     0.566     24
                 0.750    0.031    0.500      0.750    0.600      0.593    0.905     0.806     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.833    0.005    0.833      0.833    0.833      0.828    0.993     0.731     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.411     0.005     28
                 0.857    0.015    0.667      0.857    0.750      0.746    0.993     0.913     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.473     0.005     30
                 0.333    0.000    1.000      0.333    0.500      0.574    0.983     0.460     31
                 0.750    0.000    1.000      0.750    0.857      0.864    0.980     0.798     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.005     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.396     0.005     34
                 0.143    0.031    0.143      0.143    0.143      0.112    0.885     0.184     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.401     0.005     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 0.000    0.020    0.000      0.000    0.000      -0.020   0.795     0.221     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.408     0.005     39
                 1.000    0.005    0.667      1.000    0.800      0.814    1.000     1.000     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.933     0.111     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.421     0.005     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.361     0.005     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.431     0.005     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.413     0.005     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.418     0.005     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.351     0.005     48
                 0.750    0.000    1.000      0.750    0.857      0.864    0.829     0.755     49
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.396     0.005     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.453     0.005     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.389     0.005     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.411     0.005     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.005     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.406     0.005     55
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.354     0.005     56
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.396     0.005     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.416     0.005     58
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.436     0.005     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.411     0.005     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.450     0.005     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.403     0.005     62
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.334     0.005     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.005     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.470     0.005     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.384     0.005     66
Weighted Avg.    0.606    0.016    0.536      0.606    0.559      0.553    0.854     0.620     
