
 Results 
=====

Correctly Classified Instances         236               72.6154 %
Incorrectly Classified Instances        89               27.3846 %
Kappa statistic                          0.7054
K&B Relative Info Score              18950.0094 %
K&B Information Score                  972.6252 bits      2.9927 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme            29430.7041 bits     90.556  bits/instance
Complexity improvement     (Sf)     -27810.838  bits    -85.5718 bits/instance
Mean absolute error                      0.0195
Root mean squared error                  0.0897
Relative absolute error                 60.7867 %
Root relative squared error             70.9375 %
Coverage of cases (0.95 level)          91.3846 %
Mean rel. region size (0.95 level)      17.0743 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.872    0.052    0.694      0.872    0.773      0.744    0.948     0.868     1
                 0.750    0.000    1.000      0.750    0.857      0.865    1.000     1.000     2
                 0.909    0.003    0.909      0.909    0.909      0.906    0.997     0.953     3
                 0.850    0.072    0.436      0.850    0.576      0.575    0.949     0.727     4
                 0.333    0.000    1.000      0.333    0.500      0.576    0.998     0.756     5
                 1.000    0.013    0.765      1.000    0.867      0.869    1.000     0.995     6
                 0.333    0.000    1.000      0.333    0.500      0.576    1.000     1.000     7
                 0.077    0.000    1.000      0.077    0.143      0.272    0.870     0.277     8
                 0.792    0.020    0.760      0.792    0.776      0.757    0.972     0.814     9
                 0.800    0.006    0.667      0.800    0.727      0.726    0.965     0.748     10
                 0.500    0.013    0.556      0.500    0.526      0.513    0.973     0.703     11
                 0.667    0.003    0.667      0.667    0.667      0.664    0.996     0.589     12
                 0.898    0.054    0.746      0.898    0.815      0.783    0.974     0.935     13
                 1.000    0.003    0.750      1.000    0.857      0.865    1.000     1.000     14
                 0.765    0.006    0.867      0.765    0.813      0.805    0.995     0.932     15
                 0.714    0.006    0.714      0.714    0.714      0.708    0.993     0.903     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.379     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.003     19
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     20
                 0.333    0.006    0.500      0.333    0.400      0.399    0.981     0.589     21
                 1.000    0.003    0.909      1.000    0.952      0.952    1.000     1.000     22
                 0.800    0.000    1.000      0.800    0.889      0.893    0.999     0.967     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.003     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     27
                 0.600    0.029    0.400      0.600    0.480      0.470    0.964     0.629     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.475     0.003     29
                 1.000    0.003    0.667      1.000    0.800      0.815    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.449     0.003     31
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     32
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.431     0.003     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.003     37
                 0.500    0.003    0.750      0.500    0.600      0.607    0.845     0.532     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.437     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.449     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.458     0.003     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.003     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.443     0.003     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.003     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.003     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.455     0.003     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.003     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.455     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.469     0.003     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.461     0.003     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.003     54
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.463     0.003     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.474     0.003     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.480     0.003     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.003     59
Weighted Avg.    0.726    0.023    0.709      0.726    0.688      0.684    0.931     0.784     
