
 Results 
=====

Correctly Classified Instances         170               66.1479 %
Incorrectly Classified Instances        87               33.8521 %
Kappa statistic                          0.6451
K&B Relative Info Score              13810.4163 %
K&B Information Score                  752.4393 bits      2.9278 bits/instance
Class complexity | order 0            1386.1959 bits      5.3938 bits/instance
Class complexity | scheme            50777.1322 bits    197.5764 bits/instance
Complexity improvement     (Sf)     -49390.9363 bits   -192.1826 bits/instance
Mean absolute error                      0.0189
Root mean squared error                  0.0913
Relative absolute error                 60.6592 %
Root relative squared error             73.34   %
Coverage of cases (0.95 level)          80.5447 %
Mean rel. region size (0.95 level)      19.267  %
Total Number of Instances              257     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.727    0.012    0.727      0.727    0.727      0.715    0.910     0.793     1
                 0.842    0.004    0.941      0.842    0.889      0.882    0.959     0.892     2
                 0.714    0.016    0.556      0.714    0.625      0.618    0.980     0.785     3
                 1.000    0.012    0.571      1.000    0.727      0.751    1.000     1.000     4
                 0.733    0.021    0.688      0.733    0.710      0.691    0.918     0.748     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.424     0.004     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.871     0.042     7
                 0.750    0.000    1.000      0.750    0.857      0.864    0.843     0.754     8
                 0.667    0.000    1.000      0.667    0.800      0.815    0.794     0.671     9
                 0.786    0.008    0.846      0.786    0.815      0.805    0.988     0.861     10
                 0.700    0.079    0.538      0.700    0.609      0.556    0.947     0.816     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.445     0.004     12
                 0.889    0.012    0.727      0.889    0.800      0.796    0.920     0.880     13
                 0.500    0.000    1.000      0.500    0.667      0.704    0.684     0.508     14
                 0.800    0.000    1.000      0.800    0.889      0.889    0.931     0.841     15
                 1.000    0.008    0.600      1.000    0.750      0.772    0.999     0.917     16
                 1.000    0.024    0.500      1.000    0.667      0.699    1.000     1.000     17
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     18
                 0.778    0.008    0.778      0.778    0.778      0.770    0.874     0.789     19
                 1.000    0.020    0.286      1.000    0.444      0.529    1.000     1.000     20
                 0.923    0.016    0.750      0.923    0.828      0.822    1.000     0.990     21
                 0.833    0.008    0.714      0.833    0.769      0.766    0.883     0.837     22
                 1.000    0.008    0.714      1.000    0.833      0.842    1.000     1.000     23
                 0.667    0.000    1.000      0.667    0.800      0.813    0.880     0.763     24
                 0.800    0.000    1.000      0.800    0.889      0.893    0.999     0.967     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.455     0.004     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.400     0.004     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.382     0.008     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.445     0.004     31
                 0.500    0.000    1.000      0.500    0.667      0.706    0.999     0.833     32
                 0.600    0.000    1.000      0.600    0.750      0.772    0.994     0.774     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.447     0.004     34
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.457     0.004     35
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.457     0.004     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.461     0.004     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.969     0.219     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.675     0.026     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.459     0.004     40
                 1.000    0.000    1.000      1.000    1.000      1.000    0.998     0.833     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.434     0.004     42
                 1.000    0.008    0.600      1.000    0.750      0.772    1.000     1.000     43
                 0.000    0.008    0.000      0.000    0.000      -0.010   0.928     0.099     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.461     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.445     0.004     46
                 0.667    0.000    1.000      0.667    0.800      0.815    0.799     0.671     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.308     0.016     48
                 0.000    0.063    0.000      0.000    0.000      -0.023   0.478     0.010     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.443     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.335     0.008     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.422     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.447     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.408     0.004     54
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.457     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.445     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.387     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.463     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.453     0.004     59
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.445     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.439     0.004     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.420     0.004     62
Weighted Avg.    0.661    0.016    0.645      0.661    0.639      0.633    0.868     0.708     
