
 Results 
=====

Correctly Classified Instances         122               60.0985 %
Incorrectly Classified Instances        81               39.9015 %
Kappa statistic                          0.5833
K&B Relative Info Score              11444.3726 %
K&B Information Score                  650.7983 bits      3.2059 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme              998.2667 bits      4.9176 bits/instance
Complexity improvement     (Sf)        166.5235 bits      0.8203 bits/instance
Mean absolute error                      0.0168
Root mean squared error                  0.0904
Relative absolute error                 57.0826 %
Root relative squared error             74.5125 %
Coverage of cases (0.95 level)          80.2956 %
Mean rel. region size (0.95 level)      16.8682 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.882    0.081    0.500      0.882    0.638      0.626    0.969     0.896     1
                 1.000    0.010    0.500      1.000    0.667      0.704    1.000     1.000     2
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.667    0.000    1.000      0.667    0.800      0.814    0.998     0.917     6
                 0.625    0.021    0.556      0.625    0.588      0.571    0.987     0.619     7
                 0.667    0.000    1.000      0.667    0.800      0.814    0.993     0.810     8
                 0.875    0.010    0.778      0.875    0.824      0.817    0.969     0.893     9
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     10
                 0.400    0.030    0.250      0.400    0.308      0.295    0.895     0.369     11
                 0.917    0.010    0.846      0.917    0.880      0.873    0.947     0.924     12
                 0.000    0.020    0.000      0.000    0.000      -0.014   0.733     0.026     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.521     0.016     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.200     15
                 0.889    0.000    1.000      0.889    0.941      0.940    0.935     0.897     16
                 0.000    0.040    0.000      0.000    0.000      -0.032   0.599     0.038     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.812     0.026     18
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.990     0.417     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.833    0.005    0.833      0.833    0.833      0.828    0.948     0.848     21
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     22
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     23
                 0.714    0.074    0.417      0.714    0.526      0.502    0.934     0.591     24
                 0.750    0.005    0.857      0.750    0.800      0.794    0.907     0.770     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.833    0.005    0.833      0.833    0.833      0.828    0.992     0.692     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.772     0.021     28
                 1.000    0.005    0.875      1.000    0.933      0.933    0.997     0.924     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.856     0.033     30
                 0.000    0.005    0.000      0.000    0.000      -0.009   0.973     0.367     31
                 0.750    0.005    0.750      0.750    0.750      0.745    0.977     0.795     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.762     0.020     34
                 0.286    0.056    0.154      0.286    0.200      0.171    0.843     0.179     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.757     0.020     36
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     37
                 0.000    0.020    0.000      0.000    0.000      -0.020   0.794     0.182     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.752     0.020     39
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.910     0.076     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.926     0.059     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.673     0.015     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.792     0.023     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.748     0.019     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.748     0.019     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.688     0.016     48
                 0.750    0.000    1.000      0.750    0.857      0.864    0.810     0.756     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.762     0.020     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.866     0.036     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.738     0.019     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.703     0.016     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.827     0.028     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.800     0.024     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.683     0.015     56
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.901     0.048     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.777     0.022     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.807     0.025     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.733     0.018     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     61
