
 Results 
=====

Correctly Classified Instances         253               77.8462 %
Incorrectly Classified Instances        72               22.1538 %
Kappa statistic                          0.7622
K&B Relative Info Score              21530.2517 %
K&B Information Score                 1105.0584 bits      3.4002 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme              865.3749 bits      2.6627 bits/instance
Complexity improvement     (Sf)        754.4912 bits      2.3215 bits/instance
Mean absolute error                      0.0149
Root mean squared error                  0.0795
Relative absolute error                 46.3713 %
Root relative squared error             62.9106 %
Coverage of cases (0.95 level)          91.0769 %
Mean rel. region size (0.95 level)      14.7692 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.846    0.038    0.750      0.846    0.795      0.767    0.950     0.882     1
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     2
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     3
                 0.800    0.039    0.571      0.800    0.667      0.651    0.957     0.743     4
                 0.333    0.000    1.000      0.333    0.500      0.576    1.000     1.000     5
                 1.000    0.006    0.867      1.000    0.929      0.928    1.000     1.000     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.462    0.016    0.545      0.462    0.500      0.483    0.901     0.438     8
                 0.833    0.020    0.769      0.833    0.800      0.784    0.983     0.869     9
                 0.800    0.003    0.800      0.800    0.800      0.797    0.959     0.724     10
                 0.800    0.006    0.800      0.800    0.800      0.794    0.984     0.740     11
                 0.667    0.006    0.500      0.667    0.571      0.573    0.994     0.778     12
                 0.878    0.054    0.741      0.878    0.804      0.769    0.967     0.923     13
                 1.000    0.006    0.600      1.000    0.750      0.772    1.000     1.000     14
                 1.000    0.016    0.773      1.000    0.872      0.872    0.997     0.938     15
                 0.857    0.003    0.857      0.857    0.857      0.854    0.993     0.882     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.237     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.741     0.012     19
                 0.800    0.000    1.000      0.800    0.889      0.893    0.999     0.943     20
                 1.000    0.003    0.857      1.000    0.923      0.924    1.000     1.000     21
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     22
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.824     0.017     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     27
                 0.500    0.019    0.455      0.500    0.476      0.459    0.975     0.626     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.765     0.013     29
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.125     31
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     32
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.843     0.019     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.895     0.029     37
                 0.500    0.003    0.750      0.500    0.600      0.607    0.860     0.527     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.849     0.020     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.818     0.017     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.855     0.021     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.741     0.012     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.824     0.017     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.722     0.011     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.821     0.017     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.858     0.021     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.873     0.024     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.843     0.019     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.827     0.018     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.821     0.017     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.824     0.017     54
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.836     0.019     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.858     0.021     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.886     0.026     59
Weighted Avg.    0.778    0.020    0.724      0.778    0.744      0.733    0.960     0.811     
