
 Results 
=====

Correctly Classified Instances         181               70.428  %
Incorrectly Classified Instances        76               29.572  %
Kappa statistic                          0.6872
K&B Relative Info Score              15149.1713 %
K&B Information Score                  825.3793 bits      3.2116 bits/instance
Class complexity | order 0            1386.1959 bits      5.3938 bits/instance
Class complexity | scheme             1499.4872 bits      5.8346 bits/instance
Complexity improvement     (Sf)       -113.2914 bits     -0.4408 bits/instance
Mean absolute error                      0.0156
Root mean squared error                  0.0854
Relative absolute error                 50.137  %
Root relative squared error             68.5424 %
Coverage of cases (0.95 level)          80.1556 %
Mean rel. region size (0.95 level)      15.8843 %
Total Number of Instances              257     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.818    0.008    0.818      0.818    0.818      0.810    0.918     0.810     1
                 0.895    0.013    0.850      0.895    0.872      0.862    0.989     0.939     2
                 1.000    0.008    0.778      1.000    0.875      0.878    0.998     0.948     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.733    0.037    0.550      0.733    0.629      0.609    0.926     0.723     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.840     0.024     6
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.886     0.048     7
                 0.750    0.000    1.000      0.750    0.857      0.864    0.827     0.756     8
                 0.667    0.000    1.000      0.667    0.800      0.815    0.680     0.671     9
                 0.857    0.008    0.857      0.857    0.857      0.849    0.998     0.974     10
                 0.933    0.119    0.509      0.933    0.659      0.638    0.963     0.825     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.844     0.024     12
                 0.889    0.004    0.889      0.889    0.889      0.885    0.936     0.895     13
                 0.500    0.000    1.000      0.500    0.667      0.704    0.715     0.512     14
                 0.800    0.004    0.923      0.800    0.857      0.851    0.934     0.842     15
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     16
                 1.000    0.012    0.667      1.000    0.800      0.812    1.000     1.000     17
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     18
                 0.778    0.004    0.875      0.778    0.824      0.819    0.905     0.795     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.923    0.016    0.750      0.923    0.828      0.822    0.996     0.951     21
                 0.833    0.008    0.714      0.833    0.769      0.766    0.875     0.811     22
                 1.000    0.008    0.714      1.000    0.833      0.842    1.000     1.000     23
                 0.667    0.004    0.800      0.667    0.727      0.724    0.888     0.811     24
                 0.600    0.008    0.600      0.600    0.600      0.592    0.983     0.486     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.863     0.028     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.789     0.018     28
                 1.000    0.004    0.667      1.000    0.800      0.815    1.000     1.000     29
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.165     0.007     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.738     0.015     31
                 0.500    0.000    1.000      0.500    0.667      0.706    0.998     0.833     32
                 0.600    0.016    0.429      0.600    0.500      0.496    0.992     0.750     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.828     0.022     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.883     0.032     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.875     0.030     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.875     0.030     37
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.939     0.089     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.549     0.025     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.844     0.024     40
                 0.500    0.000    1.000      0.500    0.667      0.706    0.996     0.750     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.832     0.023     42
                 1.000    0.004    0.750      1.000    0.857      0.864    1.000     1.000     43
                 0.333    0.004    0.500      0.333    0.400      0.403    0.930     0.226     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.820     0.021     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.836     0.023     46
                 0.667    0.000    1.000      0.667    0.800      0.815    0.701     0.671     47
                 0.000    0.004    0.000      0.000    0.000      -0.008   0.380     0.015     48
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.371     0.009     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.809     0.020     50
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.293     0.008     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.805     0.020     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.863     0.028     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.949     0.071     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.855     0.026     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.840     0.024     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.015     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.902     0.038     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.707     0.013     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.167     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.855     0.026     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.797     0.019     62
Weighted Avg.    0.704    0.021    0.644      0.704    0.659      0.654    0.909     0.716     
