
 Results 
=====

Correctly Classified Instances         157               75.4808 %
Incorrectly Classified Instances        51               24.5192 %
Kappa statistic                          0.7313
K&B Relative Info Score              12947.498  %
K&B Information Score                  675.107  bits      3.2457 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme              638.2344 bits      3.0684 bits/instance
Complexity improvement     (Sf)        423.2571 bits      2.0349 bits/instance
Mean absolute error                      0.0152
Root mean squared error                  0.084 
Relative absolute error                 44.7825 %
Root relative squared error             64.7293 %
Coverage of cases (0.95 level)          85.5769 %
Mean rel. region size (0.95 level)      16.4921 %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.923     0.059     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.942     0.077     2
                 1.000    0.005    0.900      1.000    0.947      0.946    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 1.000    0.005    0.833      1.000    0.909      0.911    1.000     1.000     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 1.000    0.005    0.750      1.000    0.857      0.864    1.000     1.000     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.860     0.033     8
                 0.400    0.005    0.667      0.400    0.500      0.508    0.854     0.416     9
                 0.944    0.163    0.548      0.944    0.694      0.646    0.955     0.828     10
                 0.950    0.027    0.792      0.950    0.864      0.852    0.998     0.985     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.143     14
                 1.000    0.005    0.667      1.000    0.800      0.815    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.821     0.026     16
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     17
                 0.895    0.042    0.680      0.895    0.773      0.755    0.955     0.848     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.845     0.030     19
                 0.923    0.010    0.857      0.923    0.889      0.882    0.997     0.973     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.908     0.050     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.643     0.013     22
                 0.833    0.000    1.000      0.833    0.909      0.911    0.981     0.868     23
                 0.667    0.000    1.000      0.667    0.800      0.815    0.925     0.687     24
                 0.667    0.000    1.000      0.667    0.800      0.815    0.967     0.710     25
                 0.500    0.000    1.000      0.500    0.667      0.704    0.799     0.520     26
                 0.833    0.000    1.000      0.833    0.909      0.911    1.000     1.000     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.681     0.015     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.125     30
                 0.667    0.005    0.667      0.667    0.667      0.662    0.763     0.673     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.797     0.023     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.643     0.013     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.899     0.045     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.831     0.028     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.783     0.022     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.589     0.012     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.667     0.014     39
                 0.500    0.005    0.500      0.500    0.500      0.495    0.985     0.393     40
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.845     0.030     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.778     0.021     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.826     0.027     43
                 0.500    0.000    1.000      0.500    0.667      0.705    0.993     0.700     44
                 0.500    0.000    1.000      0.500    0.667      0.705    0.993     0.700     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.734     0.018     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.500     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.855     0.032     48
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.831     0.028     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.710     0.016     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.570     0.011     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.831     0.028     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.884     0.040     56
Weighted Avg.    0.755    0.036    0.687      0.755    0.702      0.693    0.949     0.768     
