@relation 'Dataset kitsi publish-venue_co-authors yzhang'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56}
@data
'jgt m ellingham x zha',1
'pet r cheng e bertino s prabhakar',2
'ivc y zhang c wen',3
'flair y zhang c wen',3
'ijait y zhang c wen y soh',3
'prl y zhang c wen',3
'tmi b pham m eckstein',3
'tmi b pham m eckstein',3
'icpr y zhang c wen',3
'paa c wen y zhang',3
'prl y zhang c wen y soh',3
'wecwi t yu k lin',4
'rtcsa k raman m panahi j colmenares r klefstad',4
'wecwi t yu k raman k lin',4
'iceb k lin t yu',4
'wecwi k lin r klefstad',4
'middlewar k raman m panahi j colmenares r klefstad t harmon',4
'sigcomm s kang d loguinov',5
'nossdav d loguinov',5
'icdc s kang m dai d loguinov',5
'sigmetr x wang x li d loguinov',5
'infocom d leonard d loguinov',5
'ijpp s chandra m parashar j yang s hariri',6
'icp h chen s hariri b kim m yousif',6
'cluster s hariri b khargharia h chen j yang m parashar h liu',6
'ipp j yang s hariri s chandra m parashar',6
'ausai d zhang',7
'lpnmr n foo d zhang s chopra q vo',7
'aaai d zhang',7
'ics x zhang r gupta',8
'icml w xu j callan',9
'icdm p zigoris d eads',9
'dmkd b dom i eiron a cozzi',9
'sigir w xu',9
'trec k collins thompson p ogilvie j callan',9
'ausai y ding',10
'ausai v crescini',10
'tplp nan',10
'ijprai y bai',10
'iclp nan',10
'ijcai n foo',10
'icdcsw h wang v varadharajan',10
'corr nan',10
'prl nan',10
'ismi c wu',10
'ke y ding',10
'ismi nan',10
'ieaaie y bai',10
'fuin n foo',10
'wise w qu a liu',10
'ifip12 j chen',10
'aicom c wu y bai',10
'hicss w qu a liu',10
'ausai n foo p peppas',10
'ismi y ding',10
'slp n foo',10
'isw c ruan v varadharajan',10
'ecai n foo',10
'ismi c ruan v varadharajan',10
'corr nan',10
'graphit r ding',10
'icnc w li y meng h chen t wang',10
'avbpa j feng',10
'tplp nan',10
'hpca d parikh k skadron m barcella m stan',10
'aaai n foo',10
'pricai n foo',10
'ausai nan',10
'ke s wang',10
