@relation 'Dataset kitsi publish-venue_title jlee'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66}
@data
'ijpp constant propag algorithm explicitli parallel program',1
'icpp restructur program high speed comput polari',1
'lcpc concurr static singl assign form constant propag explicitli parallel program',1
'comput parallel program polari',1
'tpd correl prefetch user level memori thread',1
'concurr compil multipl memori model',1
'ppopp basic compil algorithm parallel program',1
'lcpc automat implement program languag consist model',1
'tapsoft step stanford tempor prover',1
'tc hide relax memori consist compil',1
'lcpc adapt increas perform scalabl automat parallel program',1
'ieeepact hide relax memori consist compil',1
'isca us user level memori thread correl prefetch',1
'hpca automat map code intellig memori architectur',1
'gcc design vdsl network high speed internet servic',1
'im adapt map code intellig memori architectur',1
'tc automat code map intellig memori architectur',1
'ictai algorithm detect local multi target wireless acoust sensor network',2
'ieeecit track object d space us particl filter base sensor arrai',2
'aaai structur circuit semant reactiv plan execut system',3
'icma microeconom approach intellig resourc share multiag system',3
'mswim impact locat inconsist geograph rout wireless network',4
'sigmobil model analyz impact locat inconsist geograph rout wireless network',4
'islp energi effici instruct set synthesi applic specif processor',5
'dt compil approach coars grain reconfigur architectur',5
'iccad effici instruct encod automat instruct set design configur asip',5
'isorc tmo structur distribut locat inform system prototyp',6
'word distribut scalabl locat data manag system base gali architectur',6
'isorc long term locat data manag distribut move object databas',6
'arscom isoperimetr number bisect width doubl cover complet graph',7
'siamdm enumer regular graph cover finit abelian cover transform group',7
'ejc distribut regular branch surfac cover',7
'dm balanc regular cover sign graph regular branch orient surfac cover non orient surfac',7
'arscom isomorph class bipartit cycl permut graph',7
'siamdm isomorph class concret graph cover',7
'dm isomorph class cycl permut graph',7
'ejc bartholdi zeta function graph bundl regular fiber',7
'3dim effici scatter data approxim us multilevel b spline base quasi interpol',8
'iccsa quasi interpol base multilevel b spline surfac reconstruct scatter data',8
'iciap 3d surfac reconstruct scatter data us move least squar method',8
'pe perform analysi input queue atm switch two prioriti class',9
'infocom util optim medium access control revers forward engin',9
'ton downlink power alloc multi class wireless system',9
'ton non convex optim rate control multi class servic internet',9
'wiopt revers engin mac',9
'infocom opportunist power schedul multi server wireless system minimum perform constraint',9
'infocom downlink power alloc multi class cdma wireless network',9
'infocom non convex issu internet rate control multi class servic stabil optim',9
'ismir survei music inform need us seek behaviour preliminari find',10
'ismir challeng cross cultur multilingu music inform seek',10
'jcdl toward understand similar judgment music digit librari evalu',10
'tcsv optim channel alloc unifi video demand system',11
'tcsv monoton decreas rate schedul variabl bit rate video stream',11
'tcsv design perform analysi implement super scalar video demand system',11
