
 Results 
=====

Correctly Classified Instances         107               52.7094 %
Incorrectly Classified Instances        96               47.2906 %
Kappa statistic                          0.5084
K&B Relative Info Score              11503.3814 %
K&B Information Score                  654.1539 bits      3.2224 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme             1828.6493 bits      9.0081 bits/instance
Complexity improvement     (Sf)       -663.8592 bits     -3.2702 bits/instance
Mean absolute error                      0.0146
Root mean squared error                  0.104 
Relative absolute error                 49.3521 %
Root relative squared error             85.645  %
Coverage of cases (0.95 level)          66.9951 %
Mean rel. region size (0.95 level)       3.3662 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.882    0.038    0.682      0.882    0.769      0.753    0.963     0.899     1
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.144     0.008     2
                 0.000    0.015    0.000      0.000    0.000      -0.012   0.254     0.010     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.667    0.005    0.667      0.667    0.667      0.662    0.727     0.673     5
                 0.667    0.000    1.000      0.667    0.800      0.814    1.000     1.000     6
                 0.750    0.015    0.667      0.750    0.706      0.694    0.980     0.659     7
                 0.667    0.000    1.000      0.667    0.800      0.814    0.997     0.867     8
                 0.875    0.000    1.000      0.875    0.933      0.933    0.999     0.975     9
                 0.667    0.000    1.000      0.667    0.800      0.814    0.903     0.683     10
                 0.600    0.005    0.750      0.600    0.667      0.664    0.885     0.768     11
                 0.833    0.052    0.500      0.833    0.625      0.618    0.974     0.744     12
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     13
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.246     0.010     14
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.990     0.333     15
                 0.889    0.021    0.667      0.889    0.762      0.758    0.957     0.901     16
                 0.000    0.020    0.000      0.000    0.000      -0.023   0.626     0.074     17
                 0.000    0.015    0.000      0.000    0.000      -0.009   0.911     0.053     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.818     0.077     19
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     20
                 0.833    0.005    0.833      0.833    0.833      0.828    0.970     0.857     21
                 0.571    0.000    1.000      0.571    0.727      0.750    0.840     0.610     22
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     23
                 0.643    0.069    0.409      0.643    0.500      0.468    0.918     0.631     24
                 0.625    0.000    1.000      0.625    0.769      0.785    0.949     0.859     25
                 1.000    0.005    0.667      1.000    0.800      0.814    1.000     1.000     26
                 0.333    0.015    0.400      0.333    0.364      0.348    0.934     0.354     27
                 0.000    0.025    0.000      0.000    0.000      -0.011   0.936     0.071     28
                 0.714    0.015    0.625      0.714    0.667      0.656    0.859     0.692     29
                 0.000    0.020    0.000      0.000    0.000      -0.010   0.970     0.143     30
                 0.000    0.005    0.000      0.000    0.000      -0.009   0.568     0.041     31
                 0.750    0.000    1.000      0.750    0.857      0.864    0.986     0.817     32
                 1.000    0.020    0.200      1.000    0.333      0.443    0.995     0.500     33
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     34
                 0.429    0.020    0.429      0.429    0.429      0.408    0.832     0.350     35
                 1.000    0.015    0.250      1.000    0.400      0.496    0.985     0.250     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.761     0.082     37
                 0.250    0.010    0.333      0.250    0.286      0.276    0.740     0.225     38
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     39
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.264     0.010     41
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     42
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.739     0.039     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.200     44
                 1.000    0.030    0.143      1.000    0.250      0.372    0.985     0.250     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.167     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.941     0.077     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     48
                 0.500    0.005    0.667      0.500    0.571      0.570    0.981     0.709     49
                 0.000    0.020    0.000      0.000    0.000      -0.010   0.975     0.167     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.965     0.125     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.143     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.250     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.950     0.091     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.965     0.125     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.111     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.167     58
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.167     60
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.965     0.125     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.950     0.091     64
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.250     66
Weighted Avg.    0.527    0.017    0.508      0.527    0.501      0.497    0.895     0.613     
