
 Results 
=====

Correctly Classified Instances         209               64.3077 %
Incorrectly Classified Instances       116               35.6923 %
Kappa statistic                          0.6112
K&B Relative Info Score              19035.282  %
K&B Information Score                  977.0019 bits      3.0062 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme             2350.1333 bits      7.2312 bits/instance
Complexity improvement     (Sf)       -730.2672 bits     -2.247  bits/instance
Mean absolute error                      0.0123
Root mean squared error                  0.0985
Relative absolute error                 38.3628 %
Root relative squared error             77.9381 %
Coverage of cases (0.95 level)          72.9231 %
Mean rel. region size (0.95 level)       3.0561 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.846    0.098    0.541      0.846    0.660      0.623    0.945     0.842     1
                 0.750    0.000    1.000      0.750    0.857      0.865    0.952     0.765     2
                 1.000    0.010    0.786      1.000    0.880      0.882    0.997     0.933     3
                 0.650    0.023    0.650      0.650    0.650      0.627    0.909     0.710     4
                 0.333    0.003    0.500      0.333    0.400      0.404    0.975     0.594     5
                 0.615    0.006    0.800      0.615    0.696      0.691    0.953     0.776     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.700     7
                 0.308    0.016    0.444      0.308    0.364      0.348    0.875     0.408     8
                 0.833    0.043    0.606      0.833    0.702      0.684    0.965     0.886     9
                 0.800    0.000    1.000      0.800    0.889      0.893    0.813     0.803     10
                 1.000    0.006    0.833      1.000    0.909      0.910    0.999     0.973     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.782     0.505     12
                 0.898    0.123    0.564      0.898    0.693      0.649    0.969     0.888     13
                 0.667    0.003    0.667      0.667    0.667      0.664    0.951     0.687     14
                 0.765    0.026    0.619      0.765    0.684      0.669    0.965     0.809     15
                 0.429    0.000    1.000      0.429    0.600      0.651    0.996     0.848     16
                 0.750    0.000    1.000      0.750    0.857      0.865    1.000     1.000     17
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.141     0.005     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.963     0.077     19
                 0.600    0.000    1.000      0.600    0.750      0.772    0.999     0.967     20
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     21
                 0.800    0.003    0.889      0.800    0.842      0.839    0.998     0.926     22
                 0.600    0.003    0.750      0.600    0.667      0.666    0.999     0.927     23
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.963     0.077     24
                 0.500    0.000    1.000      0.500    0.667      0.705    0.997     0.875     25
                 0.500    0.016    0.286      0.500    0.364      0.368    0.903     0.280     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.754     0.018     27
                 0.600    0.006    0.750      0.600    0.667      0.662    0.957     0.779     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.333     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.139     0.005     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.969     0.091     31
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.169     0.005     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.954     0.063     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.207     0.006     35
                 0.750    0.000    1.000      0.750    0.857      0.865    0.862     0.756     36
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     37
                 0.333    0.000    1.000      0.333    0.500      0.574    0.801     0.391     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.071     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.125     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.907     0.032     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.125     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.608     0.032     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.200     45
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     46
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.111     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.200     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.083     50
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.975     0.111     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.125     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.056     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.951     0.059     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.262     0.006     55
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.941     0.050     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.111     59
Weighted Avg.    0.643    0.038    0.593      0.643    0.595      0.584    0.926     0.735     
