
 Results 
=====

Correctly Classified Instances         144               57.1429 %
Incorrectly Classified Instances       108               42.8571 %
Kappa statistic                          0.3573
K&B Relative Info Score               9575.8112 %
K&B Information Score                  453.9992 bits      1.8016 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme            56131.5582 bits    222.7443 bits/instance
Complexity improvement     (Sf)     -55004.8523 bits   -218.2732 bits/instance
Mean absolute error                      0.0192
Root mean squared error                  0.1001
Relative absolute error                 67.7709 %
Root relative squared error             85.4116 %
Coverage of cases (0.95 level)          77.381  %
Mean rel. region size (0.95 level)      13.0237 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.750    0.004    0.857      0.750    0.800      0.796    0.998     0.943     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.004     2
                 0.990    0.702    0.485      0.990    0.651      0.366    0.885     0.844     3
                 0.167    0.000    1.000      0.167    0.286      0.404    0.871     0.644     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.450     0.008     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.867     6
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     7
                 0.600    0.000    1.000      0.600    0.750      0.771    0.882     0.804     8
                 0.571    0.000    1.000      0.571    0.727      0.751    0.984     0.805     9
                 0.200    0.000    1.000      0.200    0.333      0.444    0.990     0.800     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.004     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.480     0.004     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.004     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.478     0.004     14
                 0.571    0.004    0.889      0.571    0.696      0.700    0.950     0.745     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.422     0.004     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.853     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.796     0.308     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.375     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.642     0.022     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.008     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.008     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.802     0.029     23
                 0.714    0.000    1.000      0.714    0.833      0.842    0.897     0.802     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.454     0.004     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.398     0.008     27
                 0.500    0.000    1.000      0.500    0.667      0.704    0.935     0.761     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.004     29
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.004     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.742     0.062     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     35
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.428     0.008     37
                 0.333    0.000    1.000      0.333    0.500      0.575    0.801     0.672     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.004     40
                 0.556    0.000    1.000      0.556    0.714      0.739    0.877     0.660     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.008     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.404     0.004     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.366     0.008     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.414     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.160     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.335     0.012     47
                 0.500    0.000    1.000      0.500    0.667      0.706    0.999     0.833     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.454     0.004     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.462     0.004     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.371     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.434     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.452     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.422     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.454     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     61
Weighted Avg.    0.571    0.282    0.509      0.571    0.477      0.374    0.820     0.638     
