
 Results 
=====

Correctly Classified Instances         103               50.7389 %
Incorrectly Classified Instances       100               49.2611 %
Kappa statistic                          0.4851
K&B Relative Info Score               8306.1883 %
K&B Information Score                  472.3416 bits      2.3268 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme            45493.5308 bits    224.1061 bits/instance
Complexity improvement     (Sf)     -44328.7407 bits   -218.3682 bits/instance
Mean absolute error                      0.0238
Root mean squared error                  0.1046
Relative absolute error                 80.5663 %
Root relative squared error             86.1828 %
Coverage of cases (0.95 level)          79.3103 %
Mean rel. region size (0.95 level)      26.8622 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.882    0.102    0.441      0.882    0.588      0.579    0.961     0.915     1
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.668     0.041     2
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.883     0.067     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.333    0.000    1.000      0.333    0.500      0.574    0.775     0.449     5
                 0.333    0.000    1.000      0.333    0.500      0.574    0.998     0.867     6
                 0.750    0.021    0.600      0.750    0.667      0.656    0.994     0.871     7
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     8
                 0.750    0.005    0.857      0.750    0.800      0.794    0.980     0.847     9
                 0.667    0.005    0.667      0.667    0.667      0.662    0.996     0.833     10
                 0.400    0.005    0.667      0.400    0.500      0.507    0.844     0.805     11
                 1.000    0.058    0.522      1.000    0.686      0.701    0.993     0.845     12
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.146     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.458     0.005     15
                 0.889    0.010    0.800      0.889    0.842      0.836    0.901     0.773     16
                 0.000    0.020    0.000      0.000    0.000      -0.023   0.674     0.045     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.005     18
                 0.500    0.010    0.333      0.500    0.400      0.401    0.990     0.667     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.833    0.081    0.238      0.833    0.370      0.418    0.971     0.857     21
                 0.571    0.000    1.000      0.571    0.727      0.750    0.715     0.591     22
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     23
                 0.500    0.058    0.389      0.500    0.438      0.394    0.903     0.617     24
                 0.750    0.000    1.000      0.750    0.857      0.862    0.902     0.842     25
                 1.000    0.005    0.667      1.000    0.800      0.814    1.000     1.000     26
                 0.333    0.010    0.500      0.333    0.400      0.394    0.871     0.338     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.411     0.005     28
                 0.143    0.000    1.000      0.143    0.250      0.372    0.746     0.528     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.005     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.644     0.032     31
                 0.750    0.005    0.750      0.750    0.750      0.745    0.989     0.817     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.005     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.453     0.005     34
                 0.429    0.020    0.429      0.429    0.429      0.408    0.953     0.350     35
                 0.000    0.015    0.000      0.000    0.000      -0.009   0.327     0.005     36
                 0.500    0.000    1.000      0.500    0.667      0.705    0.976     0.250     37
                 0.250    0.010    0.333      0.250    0.286      0.276    0.951     0.258     38
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.332     0.005     39
                 1.000    0.015    0.400      1.000    0.571      0.628    1.000     1.000     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.925     0.275     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.334     0.005     42
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.935     0.159     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.421     0.005     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.416     0.005     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.381     0.005     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.406     0.005     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.005     48
                 0.500    0.025    0.286      0.500    0.364      0.362    0.957     0.648     49
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.245     0.005     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.463     0.005     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.381     0.005     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.423     0.005     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.475     0.005     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.292     0.005     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.394     0.005     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.005     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.379     0.005     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.386     0.005     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.005     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.396     0.005     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.369     0.005     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.406     0.005     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.005     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.136     0.005     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.416     0.005     66
Weighted Avg.    0.507    0.023    0.493      0.507    0.460      0.464    0.834     0.568     
