
 Results 
=====

Correctly Classified Instances         195               60      %
Incorrectly Classified Instances       130               40      %
Kappa statistic                          0.5614
K&B Relative Info Score              14960.446  %
K&B Information Score                  767.8575 bits      2.3626 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme            37108.0207 bits    114.1785 bits/instance
Complexity improvement     (Sf)     -35488.1546 bits   -109.1943 bits/instance
Mean absolute error                      0.0236
Root mean squared error                  0.102 
Relative absolute error                 73.4795 %
Root relative squared error             80.6754 %
Coverage of cases (0.95 level)          88.6154 %
Mean rel. region size (0.95 level)      22.5554 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.846    0.084    0.579      0.846    0.688      0.651    0.953     0.808     1
                 0.500    0.006    0.500      0.500    0.500      0.494    0.988     0.703     2
                 0.818    0.016    0.643      0.818    0.720      0.715    0.990     0.875     3
                 0.550    0.013    0.733      0.550    0.629      0.615    0.893     0.672     4
                 0.333    0.000    1.000      0.333    0.500      0.576    0.995     0.643     5
                 0.538    0.006    0.778      0.538    0.636      0.635    0.925     0.776     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.722     7
                 0.231    0.000    1.000      0.231    0.375      0.473    0.795     0.328     8
                 0.750    0.043    0.581      0.750    0.655      0.629    0.949     0.783     9
                 0.800    0.000    1.000      0.800    0.889      0.893    0.887     0.803     10
                 1.000    0.010    0.769      1.000    0.870      0.873    0.996     0.810     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.787     0.225     12
                 0.898    0.203    0.440      0.898    0.591      0.539    0.961     0.883     13
                 0.333    0.003    0.500      0.333    0.400      0.404    0.992     0.656     14
                 0.647    0.019    0.647      0.647    0.647      0.628    0.928     0.741     15
                 0.429    0.006    0.600      0.429    0.500      0.498    0.971     0.574     16
                 0.750    0.003    0.750      0.750    0.750      0.747    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.402     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.454     0.003     19
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     0.967     20
                 0.667    0.000    1.000      0.667    0.800      0.814    1.000     0.976     21
                 0.700    0.003    0.875      0.700    0.778      0.777    0.995     0.763     22
                 0.400    0.003    0.667      0.400    0.500      0.511    0.980     0.495     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.003     24
                 0.500    0.000    1.000      0.500    0.667      0.705    0.947     0.553     25
                 0.250    0.009    0.250      0.250    0.250      0.241    0.783     0.118     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.174     27
                 0.700    0.010    0.700      0.700    0.700      0.690    0.918     0.714     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.341     0.003     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.446     0.006     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.003     31
                 0.500    0.000    1.000      0.500    0.667      0.706    0.999     0.833     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.612     0.010     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.003     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.692     0.027     35
                 0.750    0.003    0.750      0.750    0.750      0.747    0.986     0.793     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.003     37
                 0.333    0.003    0.667      0.333    0.444      0.465    0.937     0.445     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.407     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.481     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.458     0.003     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.451     0.003     42
                 1.000    0.003    0.667      1.000    0.800      0.815    1.000     1.000     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.003     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.583     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.360     0.003     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.427     0.003     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.421     0.003     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.003     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.443     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.415     0.003     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.461     0.003     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.432     0.003     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.222     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.003     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.395     0.003     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.449     0.003     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.003     59
Weighted Avg.    0.600    0.048    0.571      0.600    0.551      0.541    0.899     0.666     
