
 Results 
=====

Correctly Classified Instances         186               59.6154 %
Incorrectly Classified Instances       126               40.3846 %
Kappa statistic                          0.5613
K&B Relative Info Score              14866.6328 %
K&B Information Score                  760.0569 bits      2.4361 bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme            33894.8054 bits    108.6372 bits/instance
Complexity improvement     (Sf)     -32322.1176 bits   -103.5965 bits/instance
Mean absolute error                      0.0271
Root mean squared error                  0.1093
Relative absolute error                 73.8458 %
Root relative squared error             80.8686 %
Coverage of cases (0.95 level)          87.8205 %
Mean rel. region size (0.95 level)      25.5424 %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.006    0.000      0.000    0.000      -0.006   0.992     0.417     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.871     0.039     2
                 0.200    0.000    1.000      0.200    0.333      0.444    0.887     0.341     3
                 0.500    0.010    0.625      0.500    0.556      0.546    0.822     0.566     4
                 0.750    0.003    0.750      0.750    0.750      0.747    0.997     0.830     5
                 0.375    0.007    0.600      0.375    0.462      0.464    0.890     0.572     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.933     0.072     7
                 0.333    0.000    1.000      0.333    0.500      0.575    0.999     0.917     8
                 0.867    0.013    0.765      0.867    0.813      0.804    0.936     0.835     9
                 0.500    0.000    1.000      0.500    0.667      0.705    0.840     0.587     10
                 0.897    0.220    0.368      0.897    0.522      0.487    0.921     0.835     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.337     0.010     12
                 0.931    0.057    0.628      0.931    0.750      0.737    0.989     0.921     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.939     0.514     14
                 0.750    0.000    1.000      0.750    0.857      0.863    0.998     0.946     15
                 0.667    0.000    1.000      0.667    0.800      0.814    0.892     0.837     16
                 0.778    0.003    0.875      0.778    0.824      0.820    0.967     0.771     17
                 0.200    0.003    0.500      0.200    0.286      0.310    0.978     0.347     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.448     19
                 0.667    0.003    0.667      0.667    0.667      0.663    0.999     0.867     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.450     21
                 0.758    0.068    0.568      0.758    0.649      0.609    0.971     0.825     22
                 0.625    0.000    1.000      0.625    0.769      0.787    0.927     0.769     23
                 0.947    0.014    0.818      0.947    0.878      0.872    0.998     0.978     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.434     0.003     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.250    0.000    1.000      0.250    0.400      0.498    0.997     0.771     27
                 0.727    0.000    1.000      0.727    0.842      0.849    0.964     0.814     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.450     0.003     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.342     0.003     30
                 0.636    0.017    0.583      0.636    0.609      0.594    0.983     0.715     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.522     0.055     32
                 0.333    0.006    0.333      0.333    0.333      0.327    0.729     0.162     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.925     0.052     34
                 0.500    0.003    0.750      0.500    0.600      0.606    0.991     0.798     35
                 0.000    0.003    0.000      0.000    0.000      -0.008   0.844     0.183     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.763     0.061     37
                 0.500    0.003    0.750      0.500    0.600      0.606    0.711     0.513     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.392     0.003     40
                 1.000    0.003    0.667      1.000    0.800      0.815    1.000     1.000     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.667     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.379     0.006     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.003     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.463     0.003     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.465     0.003     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.415     0.006     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.006     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.862     0.026     49
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.994     0.450     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.415     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.405     0.003     52
Weighted Avg.    0.596    0.043    0.559      0.596    0.543      0.538    0.902     0.676     
