
 Results 
=====

Correctly Classified Instances         158               62.6984 %
Incorrectly Classified Instances        94               37.3016 %
Kappa statistic                          0.4763
K&B Relative Info Score              11261.6116 %
K&B Information Score                  533.9248 bits      2.1187 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme             1833.2104 bits      7.2746 bits/instance
Complexity improvement     (Sf)       -706.5045 bits     -2.8036 bits/instance
Mean absolute error                      0.0167
Root mean squared error                  0.0966
Relative absolute error                 58.9688 %
Root relative squared error             82.4652 %
Coverage of cases (0.95 level)          82.9365 %
Mean rel. region size (0.95 level)      17.2261 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.875    0.004    0.875      0.875    0.875      0.871    0.995     0.922     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     2
                 0.960    0.523    0.551      0.960    0.700      0.467    0.902     0.878     3
                 0.667    0.004    0.800      0.667    0.727      0.724    0.861     0.550     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.098     0.007     5
                 0.333    0.000    1.000      0.333    0.500      0.575    0.995     0.722     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.800    0.000    1.000      0.800    0.889      0.893    0.877     0.806     8
                 0.714    0.012    0.625      0.714    0.667      0.658    0.979     0.538     9
                 0.600    0.000    1.000      0.600    0.750      0.771    0.985     0.733     10
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.912     0.043     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.167     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.884     0.033     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.876     0.031     14
                 0.643    0.004    0.900      0.643    0.750      0.749    0.930     0.781     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.359     0.006     16
                 0.600    0.000    1.000      0.600    0.750      0.771    0.999     0.967     17
                 0.500    0.000    1.000      0.500    0.667      0.704    0.789     0.518     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.982     0.278     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.492     0.024     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.344     0.009     21
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.108     0.007     22
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.730     0.022     23
                 0.714    0.000    1.000      0.714    0.833      0.842    0.883     0.791     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.892     0.036     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.134     0.007     27
                 0.750    0.000    1.000      0.750    0.857      0.864    0.918     0.762     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     29
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.056     32
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.790     0.111     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.077     34
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.102     0.007     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.766     0.672     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.789     0.019     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     40
                 0.556    0.004    0.833      0.556    0.667      0.671    0.874     0.761     41
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.110     0.007     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.645     0.011     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.146     0.007     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.111     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.183     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.361     0.012     47
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.992     0.417     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.741     0.015     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.430     0.007     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.845     0.025     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.250     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.327     0.006     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.394     0.007     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.745     0.015     55
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.777     0.018     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.900     0.038     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.849     0.026     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     61
Weighted Avg.    0.627    0.211    0.543      0.627    0.552      0.462    0.852     0.666     
