
 Results 
=====

Correctly Classified Instances         105               51.7241 %
Incorrectly Classified Instances        98               48.2759 %
Kappa statistic                          0.4942
K&B Relative Info Score              10745.3666 %
K&B Information Score                  611.0484 bits      3.0101 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme              913.9289 bits      4.5021 bits/instance
Complexity improvement     (Sf)        250.8613 bits      1.2358 bits/instance
Mean absolute error                      0.0203
Root mean squared error                  0.0989
Relative absolute error                 68.9407 %
Root relative squared error             81.4925 %
Coverage of cases (0.95 level)          89.1626 %
Mean rel. region size (0.95 level)      23.3766 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.941    0.129    0.400      0.941    0.561      0.566    0.960     0.905     1
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.495     0.033     2
                 0.000    0.015    0.000      0.000    0.000      -0.012   0.866     0.052     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.667    0.005    0.667      0.667    0.667      0.662    0.713     0.672     5
                 0.667    0.000    1.000      0.667    0.800      0.814    0.997     0.867     6
                 0.750    0.015    0.667      0.750    0.706      0.694    0.990     0.767     7
                 0.667    0.000    1.000      0.667    0.800      0.814    1.000     1.000     8
                 0.875    0.010    0.778      0.875    0.824      0.817    0.994     0.876     9
                 0.667    0.000    1.000      0.667    0.800      0.814    0.995     0.833     10
                 0.400    0.005    0.667      0.400    0.500      0.507    0.847     0.766     11
                 0.833    0.042    0.556      0.833    0.667      0.657    0.986     0.871     12
                 0.500    0.005    0.500      0.500    0.500      0.495    0.995     0.583     13
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.995     0.583     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     15
                 0.889    0.021    0.667      0.889    0.762      0.758    0.939     0.837     16
                 0.200    0.030    0.143      0.200    0.167      0.144    0.743     0.120     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.738     0.019     18
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     19
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     20
                 0.833    0.005    0.833      0.833    0.833      0.828    0.968     0.856     21
                 0.571    0.000    1.000      0.571    0.727      0.750    0.709     0.591     22
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     23
                 0.643    0.079    0.375      0.643    0.474      0.442    0.848     0.644     24
                 0.875    0.000    1.000      0.875    0.933      0.933    0.910     0.882     25
                 1.000    0.005    0.667      1.000    0.800      0.814    0.995     0.583     26
                 0.167    0.015    0.250      0.167    0.200      0.185    0.844     0.325     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.757     0.020     28
                 0.571    0.010    0.667      0.571    0.615      0.605    0.822     0.625     29
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.950     0.091     30
                 0.000    0.005    0.000      0.000    0.000      -0.009   0.737     0.036     31
                 0.750    0.000    1.000      0.750    0.857      0.864    0.975     0.792     32
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.980     0.200     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.250     34
                 0.429    0.015    0.500      0.429    0.462      0.445    0.969     0.477     35
                 1.000    0.030    0.143      1.000    0.250      0.372    0.985     0.250     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.361     37
