@relation 'Dataset kitsi publish-venue_title_co-authors jchen'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61}
@data
'icpr modif adaboost base detector partial occlud face s shan s yan x chen w gao',1
'isca robust watermark method base wavelet zernik transform h yao w gao s liu',1
'avbpa face detect base manifold r wang s yan w gao',1
'amfg train classifi base huge face databas r wang s yan s shan x chen w gao',1
'icpr isomap base imag euclidean distanc r wang s shan x chen w gao',1
'pcm face sampl re light detect base harmon imag y li l qing b yin w gao',1
'icpr resampl face detect self adapt genet algorithm x chen w gao',1
'icpr enhanc train set face detect r wang s shan w gao',1
'isci interact method fuzzi multipl attribut group decis make z xu',2
'mfc polynomi time approxim scheme parameter complex x huang i kanj g xia',3
'wg constrain minimum vertex cover bipartit graph improv algorithm i kanj',3
'jct limit point averag genu connect connect simplici graph j gross',3
'smi guarante manifold properti mesh e akleman',3
'isaac approxim minimum vertex cover graph perfect match i kanj',3
'algorithmica label search tree amort analysi improv upper bound np hard problem i kanj g xia',3
'pg interact construct multi segment curv handl v srinivasan e akleman',3
'tc differ tape two tape respect revers complex nan',3
'dam strong menger connect star graph e oh',3
'dam construct reliabl network h deng q li r li q gao',3
'jal vertex cover observ improv i kanj w jia',3
'smi gener distanc function e akleman',3
'tc approxim minimum vertex cover graph perfect match i kanj',3
'icpp pfed predict base fair activ queue manag algorithm w gao j wang s chen',3
'pg two method creat chines paint c chan e akleman',3
'isaac label search tree amort analysi improv upper bound np hard problem i kanj g xia',3
'algorithmica us nondetermin design effici determinist algorithm d friesen w jia i kanj',3
'icc strong fault toler parallel rout network fault e oh',3
'icpp hypercub network fault toler probabilist approach i kanj g wang',3
'tc optim parallel rout star network c chen',3
'stoc linear fpt reduct comput lower bound x huang i kanj g xia',3
'join hypercub network fault toler probabilist approach i kanj g wang',3
'jal effici parameter algorithm m set pack w jia c zhang',3
'ipl cost becom anonym particip payload crowd h sui j wang s chen',3
'isaac approxim multiprocessor task schedul problem a miranda l torres',3
'cvgip minim complet set oper develop robust manifold mesh model e akleman v srinivasan',3
'icpad probabilist approach fault toler rout algorithm mesh network g wang t li',3
'jct limit point averag genu connect non simplici graph j gross',3
'mfc improv parameter upper bound vertex cover i kanj g xia',3
'siamdm graph ear decomposit graph embed s kanchi',3
'tpd nearli optim mani parallel rout star network c chen',3
'siamcomp revers complex c yap',3
'ipl note practic construct maximum bandwidth path n malpani',3
'sma regular mesh e akleman',3
'siamcomp amount nondetermin power verifi l cai',3
'itcc probabilist analysi connect mesh network g wang g wang',3
