@relation 'Dataset kitsi publish-venue_title_co-authors jwang'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}
@data
'eccv studi aesthet photograph imag us comput approach r datta d joshi j li',1
'visual simplic semant sensit integr match pictur librari j li g wiederhold',1
'tip studi digit imageri ancient paint mixtur stochast model j li',1
'comcom system screen objection imag j li g wiederhold o firschein',1
'pami unsupervis multiresolut segment imag low depth field j li r gray g wiederhold',1
'mir divers multimedia inform retriev research n boujemaa a bimbo d geman a hauptmann j tesic',1
'icip classif textur non textur imag us region segment j li g wiederhold',1
'iciap multiresolut object interest detect imag low depth field j li r gray g wiederhold',1
'mm region base retriev biomed imag nan',1
'pami region base fuzzi featur match approach content base imag retriev y chen',1
'widm architectur creat collabor semant capabl scientif data share infrastructur a jaiswal c giles p mitra',1
'cvpr spars support vector machin approach region base imag categor j bi y chen',1
'mm toward bridg annot retriev gap imag search gener model approach r datta w ge j li',1
'pami automat linguist index pictur statist model approach j li',1
'icip evalu strategi automat linguist index pictur j li s lin',1
'mm irm integr region match imag retriev j li g wiederhold',1
'iciap rf ipf weight scheme multimedia inform retriev y du',1
'tomccap stori pictur engin system automat text illustr d joshi j li',1
'mm imagin robust imag base captcha gener system r datta j li',1
'mir content base imag retriev cluster y chen r krovetz',1
'pami mile multipl instanc learn via embed instanc select y chen j bi',1
'jodl machin annot retriev digit imageri histor materi k grieb y zhang c chen y chen j li',1
'bioinformat sst algorithm find near exact sequenc match time proport logarithm databas size e giladi m walker w volkmuth',1
'jcdl automat categor figur scientif document x lu p mitra c giles',1
'tip clue cluster base retriev imag unsupervis learn y chen r krovetz',1
'adl wavelet base imag index techniqu partial sketch retriev capabl g wiederhold o firschein s wei',1
'www deriv knowledg figur digit librari x lu p mitra c giles',1
'mm real time computer annot pictur j li',1
'jodl digit imageri signific cultur histor materi c chen h wactlar k kiernan',1
'pami simplic semant sensit integr match pictur librari j li g wiederhold',1
'idm classifi objection websit base imag content j li g wiederhold o firschein',1
'vldb paragrab comprehens architectur web imag manag multimod queri d joshi r datta z zhuang w weiss m friedenberg j li',1
'jcdl scalabl integr region base imag retriev us irm statist cluster y du',1
'jmlr imag categor learn reason region y chen',1
'mm learn base linguist index pictur d mhmm j li',1
'tip computation effici approach estim two three dimension hidden markov model d joshi j li',1
'icip scalabl integr region base imag retriev system y du',1
'jodl content base imag index search us daubechi wavelet g wiederhold o firschein s wei',1
'icip stochast model imag d hidden markov model j li d joshi',1
'iccv iter optim approach unifi imag segment mat m cohen',2
'eccv imag video segment anisotrop kernel mean shift b thiesson y xu m cohen',2
'tog interact video cutout p bhat a colburn m agrawala m cohen',2
'tog video toon y xu h shum m cohen',2
'tase resourc constrain workflow model w tepfenhart d rosca a tsai',3
'ijsek constraint propag progress verif compon base process model y deng x he j tsai',3
'tsmc composit time petri net reduct rule y deng m zhou',3
'icfem increment architectur model verif real time concurr system y deng r sinha',3
'cais dynam workflow model verif d rosca',3
'icecc perform analysi traffic network base stochast time petri net model c jin y deng',3
'tkde approach model analysi secur system architectur y deng j tsai k beznosov',3
'bpm intuit formal approach dynam workflow model analysi d rosca w tepfenhart a milewski m stoute',3
'ansoft integr architectur model analysi high assur command control system design y deng',3
'hase integr architectur model analysi high assur command control system design y deng',3
'infsof introduc softwar architectur specif analysi sam exampl x he y deng',3
'cmg perform model analysi web switch j lu',4
'gca new variat chord novel improv lookup local z yu',4
'tc p creativ set p complet creativ set nan',4
'tc minim roundoff error prefix sum via dynam construct huffman tree m kao',4
'jco pack unequ sphere autom radiosurg treatment plan nan',4
'corr linear time approxim algorithm comput numer summat provabl small error m kao',4
'siamcomp linear time approxim algorithm comput numer summat provabl small error m kao',4
'coco averag p vs averag np j belanger',4
'siamcomp polynomi time product approxim level nan',4
'acsac toward practic secur larg scale onlin elect j karro',4
'stoc averag case complet word problem group nan',4
'dagstuhl averag p vs averag np j belanger',4
'jc complet averag boolean satisfi nan',4
'infocom perform mac protocol wdm network line schedul k sivalingam',4
'jcss np isomorph problem respect random instanc j belanger',4
'iandc immun complet problem s homer',4
'icalp effici minim numer summat error m kao',4
'tc optim problem virtual endoscopi y ge',4
'mst absolut result concern wai function applic s homer',4
'jco effici point coverag wireless sensor network n zhong',4
'wicomm medium access control mobil ad hoc network challeng solut h zhai x chen y fang',5
'tmc omar util multius divers wireless ad hoc network h zhai y fang j shea d wu',5
'infocom power save multi radio multi channel mac protocol wireless local area network y fang d wu',5
'sigir translat unknown queri web corpora cross languag inform retriev p cheng j teng r chen w lu l chien',6
'ic enhanc dhcp base infrastructur intranet manag t lee',6
'jcdl translat unknown cross lingual queri digit librari us web base approach j teng p cheng w lu l chien',6
'icadl peer peer approach collabor repositori digit librari h chang c lin l chien',6
'compsac enhanc intranet manag dhcp enabl environ t lee',6
'icadl construct wrapper base drm system digit content protect digit librari j hsiao m chen c chen l chien',6
'isi gener concept hierarchi text intellig analysi c huang j teng l chien',6
'ercimdl effect content track digit right manag digit librari j hsiao c li c chiu c chen l chien',6
'icadl toward web mine queri translat cross languag inform retriev digit librari w lu l chien',6
'pcm peer peer support file transfer cach mechan t lee',6
'jodl toward web mine cross languag queri translat digit librari w lu l chien',6
'jcdl resolv unencod charact problem chines digit librari d juang c lai c hsieh l chien j ho',6
'jasi exploit web multilingu corpu unknown queri translat j teng w lu l chien',6
'miccai shape base curv grow model adapt regular pulmonari fissur segment ct m betke j ko',7
'eccv detect instanc shape class exhibit variabl structur v athitsos s sclaroff m betke',7
'cvpr mosaicshap stochast region group shape prior e gu m betke',7
'icpr content base audio classif us support vector machin independ compon analysi j wang c lin k jian w kuok',8
'pr skew detect reconstruct base maxim varianc transit count y chen',8
'integr chip design mfcc extract speech recognit j wang y weng',8
'ijprai robust stroke extract method handwritten chines charact h chang',8
'icmc constrain textur synthesi scalabl sub patch algorithm h hsu h wang',8
