
 Results 
=====

Correctly Classified Instances         140               55.5556 %
Incorrectly Classified Instances       112               44.4444 %
Kappa statistic                          0.4023
K&B Relative Info Score               8915.4089 %
K&B Information Score                  422.6889 bits      1.6773 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme            92537.1246 bits    367.2108 bits/instance
Complexity improvement     (Sf)     -91410.4188 bits   -362.7398 bits/instance
Mean absolute error                      0.0167
Root mean squared error                  0.1111
Relative absolute error                 59.2582 %
Root relative squared error             94.7879 %
Coverage of cases (0.95 level)          61.5079 %
Mean rel. region size (0.95 level)      13.3945 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.500    0.012    0.571      0.500    0.533      0.520    0.710     0.275     1
                 0.000    0.012    0.000      0.000    0.000      -0.007   0.494     0.004     2
                 0.881    0.444    0.571      0.881    0.693      0.441    0.722     0.542     3
                 0.167    0.020    0.167      0.167    0.167      0.146    0.737     0.252     4
                 0.000    0.012    0.000      0.000    0.000      -0.010   0.458     0.010     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 0.667    0.004    0.667      0.667    0.667      0.663    0.831     0.448     7
                 0.800    0.000    1.000      0.800    0.889      0.893    0.900     0.804     8
                 0.143    0.012    0.250      0.143    0.182      0.172    0.787     0.150     9
                 0.200    0.004    0.500      0.200    0.286      0.308    0.680     0.245     10
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.498     0.004     11
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.498     0.004     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     13
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.466     0.004     14
                 0.571    0.008    0.800      0.571    0.667      0.661    0.801     0.555     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.225     0.004     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.250    0.004    0.500      0.250    0.333      0.346    0.538     0.262     18
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.715     0.032     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.720     0.035     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.008     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.008     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.470     0.008     23
                 0.714    0.004    0.833      0.714    0.769      0.766    0.801     0.603     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.470     0.004     25
                 0.750    0.004    0.750      0.750    0.750      0.746    0.873     0.566     26
                 0.500    0.004    0.500      0.500    0.500      0.496    0.747     0.254     27
                 0.000    0.004    0.000      0.000    0.000      -0.008   0.432     0.017     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.255     0.004     29
                 0.333    0.000    1.000      0.333    0.500      0.575    0.667     0.341     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.249     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     32
                 0.000    0.016    0.000      0.000    0.000      -0.014   0.490     0.012     33
                 0.000    0.008    0.000      0.000    0.000      -0.006   0.496     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.004     35
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.996     0.667     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.008     37
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.703     0.042     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.382     0.004     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.004     40
                 0.667    0.000    1.000      0.667    0.800      0.812    0.786     0.679     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.008     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.004     43
                 1.000    0.004    0.667      1.000    0.800      0.815    0.996     0.667     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.215     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.008     46
                 1.000    0.016    0.429      1.000    0.600      0.649    0.984     0.429     47
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.935     0.059     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.285     0.004     49
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.428     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.339     0.004     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.436     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.343     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.271     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.213     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     61
Weighted Avg.    0.556    0.181    0.477      0.556    0.494      0.394    0.696     0.404     
