
 Results 
=====

Correctly Classified Instances          85               41.8719 %
Incorrectly Classified Instances       118               58.1281 %
Kappa statistic                          0.3912
K&B Relative Info Score               8151.4284 %
K&B Information Score                  463.541  bits      2.2835 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme           108535.3813 bits    534.6571 bits/instance
Complexity improvement     (Sf)    -107370.5912 bits   -528.9192 bits/instance
Mean absolute error                      0.0187
Root mean squared error                  0.1164
Relative absolute error                 63.2761 %
Root relative squared error             95.8674 %
Coverage of cases (0.95 level)          50.2463 %
Mean rel. region size (0.95 level)       4.5828 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.941    0.194    0.308      0.941    0.464      0.474    0.880     0.322     1
                 1.000    0.015    0.400      1.000    0.571      0.628    0.985     0.292     2
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.470     0.010     3
                 1.000    0.010    0.500      1.000    0.667      0.704    0.995     0.500     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.667    0.005    0.667      0.667    0.667      0.662    0.831     0.449     6
                 0.625    0.021    0.556      0.625    0.588      0.571    0.927     0.626     7
                 0.333    0.000    1.000      0.333    0.500      0.574    0.667     0.343     8
                 0.500    0.026    0.444      0.500    0.471      0.448    0.729     0.520     9
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.509     0.028     11
                 0.833    0.026    0.667      0.833    0.741      0.728    0.912     0.767     12
                 0.500    0.000    1.000      0.500    0.667      0.705    0.749     0.505     13
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.475     0.010     14
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.498     0.005     15
                 0.889    0.000    1.000      0.889    0.941      0.940    0.938     0.894     16
                 0.000    0.030    0.000      0.000    0.000      -0.028   0.482     0.025     17
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.490     0.005     18
                 0.500    0.015    0.250      0.500    0.333      0.345    0.733     0.130     19
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.498     0.010     20
                 0.333    0.015    0.400      0.333    0.364      0.348    0.787     0.406     21
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.999     0.833     23
                 0.357    0.053    0.333      0.357    0.345      0.295    0.612     0.303     24
                 0.375    0.010    0.600      0.375    0.462      0.458    0.739     0.428     25
                 1.000    0.010    0.500      1.000    0.667      0.704    0.990     0.500     26
                 0.333    0.005    0.667      0.333    0.444      0.461    0.662     0.242     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.005     28
                 0.714    0.020    0.556      0.714    0.625      0.615    0.849     0.542     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.005     30
                 0.000    0.020    0.000      0.000    0.000      -0.017   0.468     0.015     31
                 0.250    0.010    0.333      0.250    0.286      0.276    0.616     0.265     32
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.475     0.005     33
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.493     0.005     34
                 0.000    0.010    0.000      0.000    0.000      -0.019   0.560     0.101     35
                 0.000    0.025    0.000      0.000    0.000      -0.011   0.463     0.005     36
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.498     0.010     37
                 0.000    0.015    0.000      0.000    0.000      -0.017   0.715     0.135     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.423     0.005     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.745     0.172     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.010     41
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.488     0.005     42
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.005     44
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.490     0.005     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.463     0.005     46
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.485     0.005     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.005     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.741     0.260     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.005     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.463     0.005     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.005     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.005     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.005     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.485     0.005     55
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.493     0.005     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.005     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.005     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.463     0.005     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.005     60
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.450     0.005     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.005     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.005     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.005     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.413     0.005     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.005     66
Weighted Avg.    0.419    0.028    0.368      0.419    0.369      0.364    0.724     0.366     
