
 Results 
=====

Correctly Classified Instances         170               54.4872 %
Incorrectly Classified Instances       142               45.5128 %
Kappa statistic                          0.5121
K&B Relative Info Score              15652.9666 %
K&B Information Score                  800.2583 bits      2.5649 bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme           125762.0691 bits    403.0836 bits/instance
Complexity improvement     (Sf)    -124189.3813 bits   -398.0429 bits/instance
Mean absolute error                      0.0184
Root mean squared error                  0.1219
Relative absolute error                 50.2652 %
Root relative squared error             90.1392 %
Coverage of cases (0.95 level)          61.2179 %
Mean rel. region size (0.95 level)       4.481  %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.500    0.003    0.500      0.500    0.500      0.497    0.748     0.503     1
                 0.000    0.010    0.000      0.000    0.000      -0.008   0.495     0.006     2
                 0.200    0.007    0.333      0.200    0.250      0.249    0.638     0.119     3
                 0.700    0.003    0.875      0.700    0.778      0.776    0.895     0.795     4
                 1.000    0.010    0.571      1.000    0.727      0.752    0.994     0.554     5
                 0.375    0.030    0.250      0.375    0.300      0.284    0.664     0.129     6
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.497     0.010     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.010     8
                 0.600    0.017    0.643      0.600    0.621      0.603    0.819     0.636     9
                 0.250    0.003    0.500      0.250    0.333      0.348    0.610     0.135     10
                 0.667    0.125    0.433      0.667    0.525      0.455    0.808     0.409     11
                 0.000    0.006    0.000      0.000    0.000      -0.008   0.440     0.010     12
                 0.724    0.120    0.382      0.724    0.500      0.460    0.861     0.421     13
                 0.333    0.000    1.000      0.333    0.500      0.575    0.667     0.340     14
                 0.375    0.000    1.000      0.375    0.545      0.607    0.686     0.391     15
                 0.667    0.016    0.444      0.667    0.533      0.534    0.818     0.540     16
                 0.667    0.003    0.857      0.667    0.750      0.750    0.832     0.676     17
                 0.400    0.016    0.286      0.400    0.333      0.325    0.692     0.143     18
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     19
                 0.667    0.000    1.000      0.667    0.800      0.815    0.833     0.670     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.006     21
                 0.636    0.061    0.553      0.636    0.592      0.541    0.816     0.408     22
                 0.375    0.007    0.600      0.375    0.462      0.464    0.770     0.270     23
                 0.947    0.003    0.947      0.947    0.947      0.944    0.972     0.951     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     25
                 1.000    0.003    0.750      1.000    0.857      0.865    0.998     0.750     26
                 0.500    0.003    0.667      0.500    0.571      0.573    0.739     0.340     27
                 0.727    0.000    1.000      0.727    0.842      0.849    0.863     0.737     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.476     0.003     29
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.498     0.003     30
                 0.182    0.007    0.500      0.182    0.267      0.287    0.695     0.217     31
                 0.000    0.010    0.000      0.000    0.000      -0.013   0.492     0.016     32
                 0.667    0.006    0.500      0.667    0.571      0.573    0.831     0.448     33
                 0.000    0.006    0.000      0.000    0.000      -0.006   0.727     0.039     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.333    0.000    1.000      0.333    0.500      0.574    0.746     0.414     36
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.474     0.010     37
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.481     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.503     41
                 0.500    0.000    1.000      0.500    0.667      0.706    0.750     0.503     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.411     0.006     43
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.498     0.003     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.003     46
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.739     0.253     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.489     0.006     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.503     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.740     0.128     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     52
Weighted Avg.    0.545    0.037    0.545      0.545    0.520      0.505    0.783     0.449     
