
 Results 
=====

Correctly Classified Instances         120               57.6923 %
Incorrectly Classified Instances        88               42.3077 %
Kappa statistic                          0.534 
K&B Relative Info Score              10103.2487 %
K&B Information Score                  526.8025 bits      2.5327 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme            68855.9518 bits    331.0382 bits/instance
Complexity improvement     (Sf)     -67794.4603 bits   -325.9349 bits/instance
Mean absolute error                      0.0167
Root mean squared error                  0.1104
Relative absolute error                 49.2228 %
Root relative squared error             85.0606 %
Coverage of cases (0.95 level)          67.7885 %
Mean rel. region size (0.95 level)       6.6192 %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.005     1
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.495     0.005     2
                 0.889    0.000    1.000      0.889    0.941      0.940    1.000     1.000     3
                 0.667    0.010    0.667      0.667    0.667      0.657    0.979     0.574     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.750    0.000    1.000      0.750    0.857      0.864    0.875     0.755     6
                 0.667    0.010    0.500      0.667    0.571      0.570    0.799     0.505     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.396     0.005     8
                 0.000    0.005    0.000      0.000    0.000      -0.011   0.478     0.037     9
                 0.917    0.233    0.452      0.917    0.606      0.542    0.845     0.435     10
                 0.850    0.005    0.944      0.850    0.895      0.886    0.923     0.864     11
                 0.714    0.000    1.000      0.714    0.833      0.841    0.846     0.724     12
                 0.750    0.000    1.000      0.750    0.857      0.864    0.875     0.755     13
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.440     0.005     14
                 0.500    0.010    0.333      0.500    0.400      0.401    0.990     0.500     15
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.495     0.005     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.737    0.053    0.583      0.737    0.651      0.617    0.886     0.596     18
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.495     0.005     19
                 0.923    0.010    0.857      0.923    0.889      0.882    0.961     0.916     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.005     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.345     0.005     22
                 0.667    0.030    0.400      0.667    0.500      0.498    0.807     0.228     23
                 0.000    0.005    0.000      0.000    0.000      -0.008   0.623     0.065     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.664     0.176     25
                 0.000    0.005    0.000      0.000    0.000      -0.010   0.959     0.205     26
                 0.167    0.010    0.333      0.167    0.222      0.220    0.738     0.244     27
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.495     0.005     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.473     0.005     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.420     0.005     30
                 0.000    0.010    0.000      0.000    0.000      -0.012   0.734     0.042     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.386     0.005     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.005     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.459     0.005     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.495     0.005     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.005     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.384     0.005     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.423     0.005     39
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.995     0.667     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.005     41
                 0.000    0.014    0.000      0.000    0.000      -0.008   0.493     0.005     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.483     0.005     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.010     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.010     45
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.495     0.005     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.010     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.005     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.964     0.118     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.483     0.005     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.005     51
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.473     0.005     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.005     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.973     0.154     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.726     0.050     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.005     56
Weighted Avg.    0.577    0.049    0.505      0.577    0.522      0.506    0.809     0.491     
